Freq.	V(output)/V(input)
1.00000000000000e+001	(1.99979868043489e+001dB,1.79983112588447e+002°)
1.25892541179417e+001	(1.99979866042512e+001dB,1.79978740008767e+002°)
1.58489319246111e+001	(1.99979862871177e+001dB,1.79973235257402e+002°)
1.99526231496888e+001	(1.99979857844952e+001dB,1.79966305186640e+002°)
2.51188643150958e+001	(1.99979849878921e+001dB,1.79957580745681e+002°)
3.16227766016838e+001	(1.99979837253615e+001dB,1.79946597327706e+002°)
3.98107170553497e+001	(1.99979817243861e+001dB,1.79932770028604e+002°)
5.01187233627272e+001	(1.99979785530561e+001dB,1.79915362500165e+002°)
6.30957344480194e+001	(1.99979735268411e+001dB,1.79893447739741e+002°)
7.94328234724282e+001	(1.99979655608392e+001dB,1.79865858729839e+002°)
1.00000000000000e+002	(1.99979529356068e+001dB,1.79831126301780e+002°)
1.25892541179417e+002	(1.99979329260369e+001dB,1.79787400920294e+002°)
1.58489319246111e+002	(1.99979012131942e+001dB,1.79732354235298e+002°)
1.99526231496888e+002	(1.99978509521992e+001dB,1.79663055181083e+002°)
2.51188643150958e+002	(1.99977712950786e+001dB,1.79575814070379e+002°)
3.16227766016838e+002	(1.99976450500363e+001dB,1.79465986472680e+002°)
3.98107170553498e+002	(1.99974449726269e+001dB,1.79327726614017e+002°)
5.01187233627273e+002	(1.99971278901379e+001dB,1.79153677530472e+002°)
6.30957344480194e+002	(1.99966253955634e+001dB,1.78934582198916e+002°)
7.94328234724282e+002	(1.99958291141247e+001dB,1.78658796381681e+002°)
1.00000000000000e+003	(1.99945673913680e+001dB,1.78311680120461e+002°)
1.25892541179417e+003	(1.99925684443261e+001dB,1.77874841200384e+002°)
1.58489319246111e+003	(1.99894022057306e+001dB,1.77325201673608e+002°)
1.99526231496888e+003	(1.99843887681160e+001dB,1.76633860276890e+002°)
2.51188643150958e+003	(1.99764548127238e+001dB,1.75764734661191e+002°)
3.16227766016838e+003	(1.99639098848664e+001dB,1.74672998393624e+002°)
3.98107170553498e+003	(1.99441012682547e+001dB,1.73303398879867e+002°)
5.01187233627273e+003	(1.99128901912815e+001dB,1.71588690029670e+002°)
6.30957344480194e+003	(1.98638777924355e+001dB,1.69448697236733e+002°)
7.94328234724283e+003	(1.97873112314336e+001dB,1.66791033137564e+002°)
1.00000000000000e+004	(1.96686539077402e+001dB,1.63515260536219e+002°)
1.25892541179417e+004	(1.94869775105764e+001dB,1.59523232064237e+002°)
1.58489319246112e+004	(1.92137192499479e+001dB,1.54738732841267e+002°)
1.99526231496888e+004	(1.88129565838548e+001dB,1.49137615288625e+002°)
2.51188643150958e+004	(1.82448342333921e+001dB,1.42782760404629e+002°)
3.16227766016839e+004	(1.74731581641009e+001dB,1.35846611324571e+002°)
3.98107170553498e+004	(1.64755191140154e+001dB,1.28597203392834e+002°)
5.01187233627273e+004	(1.52509255603416e+001dB,1.21337740279928e+002°)
6.30957344480195e+004	(1.38198737729308e+001dB,1.14323325926106e+002°)
7.94328234724283e+004	(1.22167048706816e+001dB,1.07698211828468e+002°)
1.00000000000000e+005	(1.04791551424385e+001dB,1.01478593240336e+002°)
1.25892541179417e+005	(8.64015876452597e+000dB,9.55722764451366e+001°)
1.58489319246112e+005	(6.72361152786747e+000dB,8.98115285643221e+001°)
1.99526231496888e+005	(4.74305522356794e+000dB,8.39820445962519e+001°)
2.51188643150959e+005	(2.70154871773418e+000dB,7.78432906714260e+001°)
3.16227766016839e+005	(5.91506289840278e-001dB,7.11436732958291e+001°)
3.98107170553498e+005	(-1.60591317321190e+000dB,6.36375864006297e+001°)
5.01187233627273e+005	(-3.92145042184952e+000dB,5.51124157793737e+001°)
6.30957344480195e+005	(-6.39709397873075e+000dB,4.54321907750866e+001°)
7.94328234724283e+005	(-9.08201027616054e+000dB,3.45988060412633e+001°)
1.00000000000000e+006	(-1.20231095141971e+001dB,2.28211557457988e+001°)
1.25892541179417e+006	(-1.52503260840167e+001dB,1.05742633927032e+001°)
1.58489319246112e+006	(-1.87594001788109e+001dB,-1.36399529943233e+000°)
1.99526231496888e+006	(-2.24944018566339e+001dB,-1.18990515945308e+001°)
2.51188643150959e+006	(-2.63259702748282e+001dB,-1.96535079809339e+001°)
3.16227766016839e+006	(-3.00163510284950e+001dB,-2.31957689380531e+001°)
3.98107170553498e+006	(-3.31954802179499e+001dB,-2.18072225392640e+001°)
5.01187233627274e+006	(-3.54830739301941e+001dB,-1.67015344477803e+001°)
6.30957344480195e+006	(-3.67997183996364e+001dB,-1.07788647671598e+001°)
7.94328234724284e+006	(-3.74241399200670e+001dB,-6.20048205384381e+000°)
1.00000000000000e+007	(-3.76870303312929e+001dB,-3.34212742536142e+000°)
1.25892541179417e+007	(-3.77913708365327e+001dB,-1.73952658005157e+000°)
1.58489319246112e+007	(-3.78315165370448e+001dB,-8.86636631185356e-001°)
1.99526231496889e+007	(-3.78465559502329e+001dB,-4.43801173060112e-001°)
2.51188643150959e+007	(-3.78519718749485e+001dB,-2.16039160773928e-001°)
3.16227766016839e+007	(-3.78537796206231e+001dB,-9.85258463842733e-002°)
3.98107170553499e+007	(-3.78542834421478e+001dB,-3.65823775326212e-002°)
5.01187233627274e+007	(-3.78543488508038e+001dB,-2.06149650991555e-003°)
6.30957344480195e+007	(-3.78542897041563e+001dB,1.95041991483522e-002°)
7.94328234724284e+007	(-3.78542121445712e+001dB,3.56463961060666e-002°)
1.00000000000000e+008	(-3.78541466587726e+001dB,5.04405640854451e-002°)
