Freq.	V(out)
1.00000000000000e+001	(1.11893480780526e+001dB,1.66038485152574e+002°)
1.25892541179417e+001	(1.50631012586666e+001dB,1.47983985633203e+002°)
1.58489319246111e+001	(1.82791715218605e+001dB,1.28944325028765e+002°)
1.99526231496888e+001	(2.08143908508179e+001dB,1.09951509405571e+002°)
2.51188643150958e+001	(2.27135635976405e+001dB,9.19867044022626e+001°)
3.16227766016838e+001	(2.40729356818934e+001dB,7.57698213888233e+001°)
3.98107170553497e+001	(2.50103619166989e+001dB,6.16734025590152e+001°)
5.01187233627272e+001	(2.56387730755772e+001dB,4.97631597182066e+001°)
6.30957344480194e+001	(2.60515625269683e+001dB,3.98998455000694e+001°)
7.94328234724282e+001	(2.63189480599499e+001dB,3.18401544644928e+001°)
1.00000000000000e+002	(2.64905305151409e+001dB,2.53086015579815e+001°)
1.25892541179417e+002	(2.65999510414502e+001dB,2.00387271683427e+001°)
1.58489319246111e+002	(2.66694326225973e+001dB,1.57921295233616e+001°)
1.99526231496888e+002	(2.67134058719673e+001dB,1.23643114228527e+001°)
2.51188643150958e+002	(2.67411337530690e+001dB,9.58373665940602e+000°)
3.16227766016838e+002	(2.67585095558525e+001dB,7.30789933247730e+000°)
3.98107170553498e+002	(2.67692471413901e+001dB,5.41841620930395e+000°)
5.01187233627273e+002	(2.67756496019411e+001dB,3.81609229189210e+000°)
6.30957344480194e+002	(2.67790931884733e+001dB,2.41633814419762e+000°)
7.94328234724282e+002	(2.67803191941462e+001dB,1.14502990403606e+000°)
1.00000000000000e+003	(2.67795921429172e+001dB,-6.52314482863013e-002°)
1.25892541179417e+003	(2.67767567863568e+001dB,-1.27855959582689e+000°)
1.58489319246111e+003	(2.67712061179874e+001dB,-2.55903084197790e+000°)
1.99526231496888e+003	(2.67617548678986e+001dB,-3.97383244492219e+000°)
2.51188643150958e+003	(2.67463951962499e+001dB,-5.59635239114939e+000°)
3.16227766016838e+003	(2.67218920107233e+001dB,-7.50914651855117e+000°)
3.98107170553498e+003	(2.66831553666463e+001dB,-9.80651615098722e+000°)
5.01187233627273e+003	(2.66223137432318e+001dB,-1.25960593890372e+001°)
6.30957344480194e+003	(2.65274254591981e+001dB,-1.59979389473038e+001°)
7.94328234724283e+003	(2.63808532621151e+001dB,-2.01397209126228e+001°)
1.00000000000000e+004	(2.61575707930927e+001dB,-2.51437701669446e+001°)
1.25892541179417e+004	(2.58241484775956e+001dB,-3.11044198137812e+001°)
1.58489319246112e+004	(2.53397865780118e+001dB,-3.80557242163419e+001°)
1.99526231496888e+004	(2.46609258104567e+001dB,-4.59396590528935e+001°)
2.51188643150958e+004	(2.37495407353114e+001dB,-5.45957776071913e+001°)
3.00000000000000e+004	(2.28722325159801e+001dB,-6.16536747347252e+001°)
