Freq.	V(out)
Step Information: Run=1  (Run: 1/100)
5.00000000000000e+000	(-3.34470945331718e+000dB,-1.49882820420843e+002°)
6.29462705897084e+000	(1.95356128053384e+000dB,-1.60911408120241e+002°)
7.92446596230557e+000	(6.93249589967865e+000dB,-1.74491290634124e+002°)
9.97631157484440e+000	(1.14731675255871e+001dB,1.69536093243489e+002°)
1.25594321575479e+001	(1.54567652623271e+001dB,1.51636263633507e+002°)
1.58113883008419e+001	(1.87922852475997e+001dB,1.32604299569675e+002°)
1.99053585276749e+001	(2.14450140374105e+001dB,1.13453261719704e+002°)
2.50593616813636e+001	(2.34487653311159e+001dB,9.51889744282029e+001°)
3.15478672240097e+001	(2.48931707352758e+001dB,7.85851074883709e+001°)
3.97164117362141e+001	(2.58947833939742e+001dB,6.40720995478764e+001°)
5.00000000000000e+001	(2.65689700452006e+001dB,5.17598459645500e+001°)
6.29462705897084e+001	(2.70130963491210e+001dB,4.15346035879818e+001°)
7.92446596230557e+001	(2.73013372246878e+001dB,3.31632395150625e+001°)
9.97631157484440e+001	(2.74865393962363e+001dB,2.63707488858056e+001°)
1.25594321575479e+002	(2.76047445166606e+001dB,2.08861782058354e+001°)
1.58113883008419e+002	(2.76798462842820e+001dB,1.64646960556711e+001°)
1.99053585276749e+002	(2.77273958389183e+001dB,1.28950974736989e+001°)
2.50593616813636e+002	(2.77573904909252e+001dB,9.99963383765832e+000°)
3.15478672240097e+002	(2.77761976556940e+001dB,7.63036200053062e+000°)
3.97164117362141e+002	(2.77878340723581e+001dB,5.66426781945249e+000°)
5.00000000000000e+002	(2.77947944144321e+001dB,3.99825071702152e+000°)
6.29462705897084e+002	(2.77985743848445e+001dB,2.54441774030933e+000°)
7.92446596230557e+002	(2.77999875101184e+001dB,1.22581095530963e+000°)
9.97631157484441e+002	(2.77993385808152e+001dB,-2.74616449632365e-002°)
1.25594321575479e+003	(2.77964892280547e+001dB,-1.28178565385588e+000°)
1.58113883008419e+003	(2.77908295962365e+001dB,-2.60340002722133e+000°)
1.99053585276749e+003	(2.77811513769657e+001dB,-4.06165054469112e+000°)
2.50593616813636e+003	(2.77653989589976e+001dB,-5.73217884558259e+000°)
3.15478672240097e+003	(2.77402555101741e+001dB,-7.69998108941346e+000°)
3.97164117362141e+003	(2.77005003622095e+001dB,-1.00620620917988e+001°)
5.00000000000001e+003	(2.76380603624341e+001dB,-1.29290314577015e+001°)
6.29462705897085e+003	(2.75406924101185e+001dB,-1.64243547150179e+001°)
7.92446596230558e+003	(2.73903255969888e+001dB,-2.06790717255551e+001°)
9.97631157484441e+003	(2.71613418921564e+001dB,-2.58189335361419e+001°)
1.25594321575479e+004	(2.68195610820129e+001dB,-3.19412073213177e+001°)
1.58113883008419e+004	(2.63233120003798e+001dB,-3.90821506067382e+001°)
1.99053585276749e+004	(2.56280943981436e+001dB,-4.71853625482980e+001°)
2.50593616813637e+004	(2.46948324906309e+001dB,-5.60921305220189e+001°)
3.15478672240097e+004	(2.34983924664037e+001dB,-6.55732837718278e+001°)
3.97164117362142e+004	(2.20307387286871e+001dB,-7.53959216342664e+001°)
5.00000000000001e+004	(2.02957873437880e+001dB,-8.53852205097964e+001°)
6.29462705897085e+004	(1.82993874809716e+001dB,-9.54393387812668e+001°)
7.92446596230558e+004	(1.60416092749164e+001dB,-1.05490162355425e+002°)
9.97631157484442e+004	(1.35166118532449e+001dB,-1.15440701335286e+002°)
1.25594321575479e+005	(1.07201724379740e+001dB,-1.25124750290278e+002°)
1.58113883008419e+005	(7.65972048905887e+000dB,-1.34320447904241e+002°)
1.99053585276749e+005	(4.35967178570241e+000dB,-1.42811735418830e+002°)
2.50593616813637e+005	(8.58449191163370e-001dB,-1.50456343776587e+002°)
3.15478672240097e+005	(-2.80003634832758e+000dB,-1.57219883471220e+002°)
3.97164117362142e+005	(-6.57483081582237e+000dB,-1.63168385007190e+002°)
