Freq.,Vout.,Phase.
Step,Information:,Run=1,Run:,1/100
5.00000000000000e+000,-2.79629791551059e+000,-1.52304231584968e+002
6.29462705897084e+000,2.44570230088636e+000,-1.63722404115726e+002
7.92446596230557e+000,7.34771543245184e+000,-1.77700397866912e+002
9.97631157484440e+000,1.17887355448395e+001,1.65976564068167e+002
1.25594321575479e+001,1.56526451009900e+001,1.47842175375384e+002
1.58113883008419e+001,1.88571510444536e+001,1.28748895534571e+002
1.99053585276749e+001,2.13803904403815e+001,1.09729620712891e+002
2.50593616813636e+001,2.32684981998080e+001,9.17621423262339e+001
3.15478672240097e+001,2.46186283579070e+001,7.55596340775877e+001
3.97164117362141e+001,2.55489446656017e+001,6.14871104827995e+001
5.00000000000000e+001,2.61722187191472e+001,4.96041452530998e+001
6.29462705897084e+001,2.65814606474965e+001,3.97675300342943e+001
7.92446596230557e+001,2.68464717879907e+001,3.17319125840139e+001
9.97631157484440e+001,2.70164980962678e+001,2.52210518572569e+001
1.25594321575479e+002,2.71249129104671e+001,1.99684588918273e+001
1.58113883008419e+002,2.71937506957673e+001,1.57360469828002e+001
1.99053585276749e+002,2.72373148614452e+001,1.23197581560929e+001
2.50593616813636e+002,2.72647848524340e+001,9.54850741682940e+000
3.15478672240097e+002,2.72820002224440e+001,7.28020235450003e+000
3.97164117362141e+002,2.72926409769718e+001,5.39681858822758e+000
5.00000000000000e+002,2.72989896149449e+001,3.79946419838799e+000
6.29462705897084e+002,2.73024108873887e+001,2.40380263983295e+000
7.92446596230557e+002,2.73036413048075e+001,1.13592046233571e+000
9.97631157484441e+002,2.73029463240360e+001,-7.14059255048553e-002
1.25594321575479e+003,2.73001775289007e+001,-1.28214388064447e+000
1.58113883008419e+003,2.72947420379195e+001,-2.56024958075747e+000
1.99053585276749e+003,2.72854788300561e+001,-3.97281862377648e+000
2.50593616813636e+003,2.72704191261589e+001,-5.59318739270324e+000
3.15478672240097e+003,2.72463887897826e+001,-7.50392908526988e+000
3.97164117362141e+003,2.72083906006522e+001,-9.79949236243402e+000
5.00000000000001e+003,2.71486896881491e+001,-1.25878714631454e+001
6.29462705897085e+003,2.70555361673670e+001,-1.59900906744628e+001
7.92446596230558e+003,2.69115404692738e+001,-2.01354069441926e+001
9.97631157484441e+003,2.66919489321108e+001,-2.51492424402116e+001
1.25594321575479e+004,2.63635320194464e+001,-3.11309749090816e+001
1.58113883008419e+004,2.58854182739886e+001,-3.81220380316753e+001
1.99053585276749e+004,2.52134204219314e+001,-4.60735152679833e+001
2.50593616813637e+004,2.43080881133670e+001,-5.48336494118892e+001
3.15478672240097e+004,2.31434893197394e+001,-6.41760533595025e+001
3.97164117362142e+004,2.17111149182614e+001,-7.38654464341649e+001
5.00000000000001e+004,2.00154211476419e+001,-8.37235220813549e+001
6.29462705897085e+004,1.80637565098324e+001,-9.36510588294084e+001
7.92446596230558e+004,1.58576494940179e+001,-1.03593998089420e+002
9.97631157484442e+004,1.33911661660158e+001,-1.13479579244046e+002
1.25594321575479e+005,1.06573581933424e+001,-1.23166482090651e+002
1.58113883008419e+005,7.65866355791590e+000,-1.32444925271106e+002
1.99053585276749e+005,4.41414555904119e+000,-1.41090391541447e+002
2.50593616813637e+005,9.58627127032593e-001,-1.48935869702925e+002
3.15478672240097e+005,-2.66498184588174e+000,-1.55917761604252e+002
3.97164117362142e+005,-6.41469261175552e+000,-1.62078440594456e+002
5.00000000000000e+005,-1.02554906728380e+001,-1.67540049949942e+002
Step,Information:,Run=2,Run:,2/100
5.00000000000000e+000,-4.31121765936816e+000,-1.50303615162651e+002
6.29462705897084e+000,9.89872893884320e-001,-1.61104237254007e+002
7.92446596230557e+000,5.97713683076983e+000,-1.74484626687757e+002
9.97631157484440e+000,1.05313484382879e+001,1.69710500124145e+002
1.25594321575479e+001,1.45329518267986e+001,1.51940174526735e+002
1.58113883008419e+001,1.78893694836207e+001,1.32993031985384e+002
1.99053585276749e+001,2.05636057335100e+001,1.13880431717715e+002
2.50593616813636e+001,2.25871626285176e+001,9.56139696009724e+001
3.15478672240097e+001,2.40480976517468e+001,7.89789368187224e+001
3.97164117362141e+001,2.50624313103570e+001,6.44187990512416e+001
5.00000000000000e+001,2.57458161147540e+001,5.20540939329590e+001
6.29462705897084e+001,2.61962990519671e+001,4.17779290400127e+001
7.92446596230557e+001,2.64887967700921e+001,3.33606608193131e+001
9.97631157484440e+001,2.66767894647813e+001,2.65284936991003e+001
1.25594321575479e+002,2.67967975893932e+001,2.10103936933539e+001
1.58113883008419e+002,2.68730521132243e+001,1.65608327270965e+001
1.99053585276749e+002,2.69213316081144e+001,1.29676800500089e+001
2.50593616813636e+002,2.69517822377459e+001,1.00522261239119e+001
3.15478672240097e+002,2.69708663277746e+001,7.66561323493103e+000
3.97164117362141e+002,2.69826589842139e+001,5.68398054753425e+000
5.00000000000000e+002,2.69896880497618e+001,4.00344033061003e+000
6.29462705897084e+002,2.69934638601954e+001,2.53534968168978e+000
7.92446596230557e+002,2.69947990157901e+001,1.20200948342422e+000
9.97631157484441e+002,2.69939815963227e+001,-6.72352458725339e-002
1.25594321575479e+003,2.69908372382323e+001,-1.33958484538165e+000
1.58113883008419e+003,2.69846933752600e+001,-2.68217062761927e+000
1.99053585276749e+003,2.69742396039385e+001,-4.16532305217869e+000
2.50593616813636e+003,2.69572589579538e+001,-5.86574990830740e+000
3.15478672240097e+003,2.69301844835211e+001,-7.86952984816220e+000
3.97164117362141e+003,2.68874155707645e+001,-1.02745931619634e+001
5.00000000000001e+003,2.68203181343329e+001,-1.31919423257263e+001
6.29462705897085e+003,2.67158574047807e+001,-1.67441807299466e+001
7.92446596230558e+003,2.65549265130493e+001,-2.10589904915935e+001
9.97631157484441e+003,2.63107255101488e+001,-2.62544445721811e+001
1.25594321575479e+004,2.59480762220201e+001,-3.24137881097742e+001
1.58113883008419e+004,2.54251530040075e+001,-3.95520353095791e+001
1.99053585276749e+004,2.46990218088545e+001,-4.75868930689772e+001
2.50593616813637e+004,2.37344811876280e+001,-5.63365926152155e+001
3.15478672240097e+004,2.25122180123842e+001,-6.55616471595678e+001
3.97164117362142e+004,2.10306118033909e+001,-7.50378074574640e+001
5.00000000000001e+004,1.92990801794082e+001,-8.46171047705526e+001
6.29462705897085e+004,1.73271050412091e+001,-9.42383066441884e+001
7.92446596230558e+004,1.51158650893125e+001,-1.03883589207952e+002
9.97631157484442e+004,1.26572333563137e+001,-1.13510303919492e+002
1.25594321575479e+005,9.94066649738581e+000,-1.22998510863486e+002
1.58113883008419e+005,6.96414867300582e+000,-1.32147817343075e+002
1.99053585276749e+005,3.74240755405261e+000,-1.40729392442947e+002
2.50593616813637e+005,3.07110362866753e-001,-1.48561277973189e+002
3.15478672240097e+005,-3.30033659685555e+000,-1.55561060492858e+002
3.97164117362142e+005,-7.03807416150739e+000,-1.61754513501580e+002
5.00000000000000e+005,-1.08704605386515e+001,-1.67252101881881e+002
Step,Information:,Run=3,Run:,3/100
5.00000000000000e+000,-2.71335464346684e+000,-1.52516911288488e+002
6.29462705897084e+000,2.52131051728509e+000,-1.64026620550353e+002
7.92446596230557e+000,7.41242592995587e+000,-1.78092047314637e+002
9.97631157484440e+000,1.18387492580857e+001,1.65508984324177e+002
1.25594321575479e+001,1.56845848641631e+001,1.47319830470784e+002
1.58113883008419e+001,1.88689696898707e+001,1.28201522805681e+002
1.99053585276749e+001,2.13720528226859e+001,1.09190148256584e+002
2.50593616813636e+001,2.32419627004643e+001,9.12592871373394e+001
3.15478672240097e+001,2.45771311798856e+001,7.51125618516597e+001
3.97164117362141e+001,2.54960613430815e+001,6.11043760138656e+001
5.00000000000000e+001,2.61111686132197e+001,4.92859517976977e+001
6.29462705897084e+001,2.65147983973275e+001,3.95090610220574e+001
7.92446596230557e+001,2.67760658628380e+001,3.15261702201978e+001
9.97631157484440e+001,2.69436449250405e+001,2.50607165046946e+001
1.25594321575479e+002,2.70504823560777e+001,1.98468988275340e+001
1.58113883008419e+002,2.71183147251494e+001,1.56477721291700e+001
1.99053585276749e+002,2.71612459328025e+001,1.22605693017296e+001
2.50593616813636e+002,2.71883259154607e+001,9.51550641590301e+000
3.15478672240097e+002,2.72053129118723e+001,7.27175889078199e+000
3.97164117362141e+002,2.72158387804144e+001,5.41254487475783e+000
5.00000000000000e+002,2.72221616708873e+001,3.84022453187550e+000
6.29462705897084e+002,2.72256409306173e+001,2.47177258321440e+000
