v3	V(vo)
-1.500000000000000e+001	1.349535e+001
-1.490000000000000e+001	1.349535e+001
-1.480000000000000e+001	1.349534e+001
-1.470000000000000e+001	1.349534e+001
-1.460000000000000e+001	1.349533e+001
-1.450000000000000e+001	1.349533e+001
-1.440000000000000e+001	1.349532e+001
-1.430000000000000e+001	1.349531e+001
-1.420000000000000e+001	1.349530e+001
-1.410000000000000e+001	1.349525e+001
-1.400000000000000e+001	1.349508e+001
-1.390000000000000e+001	1.349451e+001
-1.380000000000000e+001	1.349272e+001
-1.370000000000001e+001	1.348773e+001
-1.360000000000001e+001	1.347666e+001
-1.350000000000001e+001	1.345287e+001
-1.340000000000001e+001	1.339458e+001
-1.330000000000001e+001	1.329931e+001
-1.320000000000001e+001	1.319943e+001
-1.310000000000001e+001	1.309944e+001
-1.300000000000001e+001	1.299944e+001
-1.290000000000001e+001	1.289945e+001
-1.280000000000001e+001	1.279945e+001
-1.270000000000001e+001	1.269945e+001
-1.260000000000001e+001	1.259946e+001
-1.250000000000001e+001	1.249946e+001
-1.240000000000001e+001	1.239946e+001
-1.230000000000001e+001	1.229947e+001
-1.220000000000001e+001	1.219947e+001
-1.210000000000001e+001	1.209947e+001
-1.200000000000001e+001	1.199948e+001
-1.190000000000001e+001	1.189948e+001
-1.180000000000001e+001	1.179948e+001
-1.170000000000001e+001	1.169949e+001
-1.160000000000001e+001	1.159949e+001
-1.150000000000001e+001	1.149949e+001
-1.140000000000001e+001	1.139950e+001
-1.130000000000001e+001	1.129950e+001
-1.120000000000001e+001	1.119950e+001
-1.110000000000001e+001	1.109951e+001
-1.100000000000001e+001	1.099951e+001
-1.090000000000002e+001	1.089951e+001
-1.080000000000002e+001	1.079952e+001
-1.070000000000002e+001	1.069952e+001
-1.060000000000002e+001	1.059952e+001
-1.050000000000002e+001	1.049953e+001
-1.040000000000002e+001	1.039953e+001
-1.030000000000002e+001	1.029953e+001
-1.020000000000002e+001	1.019954e+001
-1.010000000000002e+001	1.009954e+001
-1.000000000000002e+001	9.999542e+000
-9.900000000000018e+000	9.899546e+000
-9.800000000000019e+000	9.799549e+000
-9.700000000000019e+000	9.699553e+000
-9.600000000000019e+000	9.599555e+000
-9.500000000000020e+000	9.499558e+000
-9.400000000000020e+000	9.399562e+000
-9.300000000000020e+000	9.299565e+000
-9.200000000000021e+000	9.199569e+000
-9.100000000000021e+000	9.099572e+000
-9.000000000000021e+000	8.999576e+000
-8.900000000000022e+000	8.899579e+000
-8.800000000000022e+000	8.799582e+000
-8.700000000000022e+000	8.699585e+000
-8.600000000000023e+000	8.599588e+000
-8.500000000000023e+000	8.499592e+000
-8.400000000000023e+000	8.399595e+000
-8.300000000000024e+000	8.299599e+000
-8.200000000000024e+000	8.199602e+000
-8.100000000000025e+000	8.099606e+000
-8.000000000000025e+000	7.999609e+000
-7.900000000000025e+000	7.899612e+000
-7.800000000000026e+000	7.799615e+000
-7.700000000000026e+000	7.699619e+000
-7.600000000000026e+000	7.599622e+000
-7.500000000000027e+000	7.499625e+000
-7.400000000000027e+000	7.399629e+000
-7.300000000000027e+000	7.299632e+000
-7.200000000000028e+000	7.199636e+000
-7.100000000000028e+000	7.099638e+000
-7.000000000000028e+000	6.999642e+000
-6.900000000000029e+000	6.899645e+000
-6.800000000000029e+000	6.799649e+000
-6.700000000000030e+000	6.699652e+000
-6.600000000000030e+000	6.599655e+000
-6.500000000000030e+000	6.499659e+000
-6.400000000000031e+000	6.399662e+000
-6.300000000000031e+000	6.299665e+000
-6.200000000000031e+000	6.199668e+000
-6.100000000000032e+000	6.099672e+000
-6.000000000000032e+000	5.999675e+000
-5.900000000000032e+000	5.899679e+000
-5.800000000000033e+000	5.799682e+000
-5.700000000000033e+000	5.699685e+000
-5.600000000000033e+000	5.599689e+000
-5.500000000000034e+000	5.499692e+000
-5.400000000000034e+000	5.399695e+000
-5.300000000000035e+000	5.299699e+000
-5.200000000000035e+000	5.199702e+000
-5.100000000000035e+000	5.099705e+000
-5.000000000000036e+000	4.999709e+000
-4.900000000000036e+000	4.899712e+000
-4.800000000000036e+000	4.799715e+000
-4.700000000000037e+000	4.699718e+000
-4.600000000000037e+000	4.599722e+000
-4.500000000000037e+000	4.499725e+000
-4.400000000000038e+000	4.399729e+000
-4.300000000000038e+000	4.299732e+000
-4.200000000000038e+000	4.199735e+000
-4.100000000000039e+000	4.099739e+000
-4.000000000000039e+000	3.999742e+000
-3.900000000000039e+000	3.899745e+000
-3.800000000000039e+000	3.799749e+000
-3.700000000000039e+000	3.699752e+000
-3.600000000000039e+000	3.599755e+000
-3.500000000000039e+000	3.499758e+000
-3.400000000000039e+000	3.399762e+000
-3.300000000000039e+000	3.299765e+000
-3.200000000000038e+000	3.199769e+000
-3.100000000000038e+000	3.099772e+000
-3.000000000000038e+000	2.999775e+000
-2.900000000000038e+000	2.899779e+000
-2.800000000000038e+000	2.799782e+000
-2.700000000000038e+000	2.699785e+000
-2.600000000000038e+000	2.599788e+000
-2.500000000000038e+000	2.499792e+000
-2.400000000000038e+000	2.399795e+000
-2.300000000000038e+000	2.299798e+000
-2.200000000000038e+000	2.199802e+000
-2.100000000000037e+000	2.099805e+000
-2.000000000000037e+000	1.999809e+000
-1.900000000000037e+000	1.899812e+000
-1.800000000000037e+000	1.799815e+000
-1.700000000000037e+000	1.699818e+000
-1.600000000000037e+000	1.599822e+000
-1.500000000000037e+000	1.499825e+000
-1.400000000000037e+000	1.399828e+000
-1.300000000000037e+000	1.299832e+000
-1.200000000000037e+000	1.199835e+000
-1.100000000000037e+000	1.099838e+000
-1.000000000000036e+000	9.998418e-001
-9.000000000000364e-001	8.998451e-001
-8.000000000000365e-001	7.998485e-001
-7.000000000000365e-001	6.998518e-001
-6.000000000000365e-001	5.998551e-001
-5.000000000000365e-001	4.998585e-001
-4.000000000000366e-001	3.998618e-001
-3.000000000000366e-001	2.998651e-001
-2.000000000000366e-001	1.998685e-001
-1.000000000000366e-001	9.987178e-002
-3.655409308578328e-014	-1.248837e-004
9.999999999996345e-002	-1.001216e-001
1.999999999999635e-001	-2.001182e-001
2.999999999999635e-001	-3.001149e-001
3.999999999999635e-001	-4.001116e-001
4.999999999999635e-001	-5.001082e-001
5.999999999999635e-001	-6.001049e-001
6.999999999999634e-001	-7.001016e-001
7.999999999999634e-001	-8.000982e-001
8.999999999999634e-001	-9.000949e-001
9.999999999999634e-001	-1.000092e+000
1.099999999999964e+000	-1.100088e+000
1.199999999999964e+000	-1.200085e+000
1.299999999999964e+000	-1.300082e+000
1.399999999999964e+000	-1.400078e+000
1.499999999999964e+000	-1.500075e+000
1.599999999999964e+000	-1.600072e+000
1.699999999999964e+000	-1.700068e+000
1.799999999999964e+000	-1.800065e+000
1.899999999999964e+000	-1.900062e+000
1.999999999999964e+000	-2.000058e+000
2.099999999999964e+000	-2.100055e+000
2.199999999999964e+000	-2.200052e+000
2.299999999999964e+000	-2.300048e+000
2.399999999999964e+000	-2.400045e+000
2.499999999999965e+000	-2.500042e+000
2.599999999999965e+000	-2.600038e+000
2.699999999999965e+000	-2.700035e+000
2.799999999999965e+000	-2.800032e+000
2.899999999999965e+000	-2.900028e+000
2.999999999999965e+000	-3.000025e+000
3.099999999999965e+000	-3.100022e+000
3.199999999999965e+000	-3.200018e+000
3.299999999999965e+000	-3.300015e+000
3.399999999999965e+000	-3.400012e+000
3.499999999999965e+000	-3.500008e+000
3.599999999999965e+000	-3.600005e+000
3.699999999999966e+000	-3.700002e+000
3.799999999999966e+000	-3.799998e+000
3.899999999999966e+000	-3.899995e+000
3.999999999999966e+000	-3.999992e+000
4.099999999999966e+000	-4.099988e+000
4.199999999999966e+000	-4.199985e+000
4.299999999999965e+000	-4.299982e+000
4.399999999999965e+000	-4.399978e+000
4.499999999999965e+000	-4.499975e+000
4.599999999999964e+000	-4.599972e+000
4.699999999999964e+000	-4.699968e+000
4.799999999999963e+000	-4.799965e+000
4.899999999999963e+000	-4.899961e+000
4.999999999999963e+000	-4.999959e+000
5.099999999999962e+000	-5.099955e+000
5.199999999999962e+000	-5.199952e+000
5.299999999999962e+000	-5.299948e+000
5.399999999999961e+000	-5.399945e+000
5.499999999999961e+000	-5.499942e+000
5.599999999999961e+000	-5.599938e+000
5.699999999999960e+000	-5.699935e+000
5.799999999999960e+000	-5.799932e+000
5.899999999999960e+000	-5.899929e+000
5.999999999999959e+000	-5.999925e+000
6.099999999999959e+000	-6.099922e+000
6.199999999999958e+000	-6.199918e+000
6.299999999999958e+000	-6.299915e+000
6.399999999999958e+000	-6.399912e+000
6.499999999999957e+000	-6.499908e+000
6.599999999999957e+000	-6.599905e+000
6.699999999999957e+000	-6.699902e+000
6.799999999999956e+000	-6.799899e+000
6.899999999999956e+000	-6.899895e+000
6.999999999999956e+000	-6.999892e+000
7.099999999999955e+000	-7.099888e+000
7.199999999999955e+000	-7.199885e+000
7.299999999999955e+000	-7.299882e+000
7.399999999999954e+000	-7.399879e+000
7.499999999999954e+000	-7.499875e+000
7.599999999999954e+000	-7.599872e+000
7.699999999999953e+000	-7.699869e+000
7.799999999999953e+000	-7.799865e+000
7.899999999999952e+000	-7.899862e+000
7.999999999999952e+000	-7.999858e+000
8.099999999999952e+000	-8.099855e+000
8.199999999999951e+000	-8.199852e+000
8.299999999999951e+000	-8.299849e+000
8.399999999999951e+000	-8.399845e+000
8.499999999999950e+000	-8.499842e+000
8.599999999999950e+000	-8.599838e+000
8.699999999999950e+000	-8.699835e+000
8.799999999999949e+000	-8.799831e+000
8.899999999999949e+000	-8.899829e+000
8.999999999999949e+000	-8.999825e+000
9.099999999999948e+000	-9.099822e+000
9.199999999999948e+000	-9.199819e+000
9.299999999999947e+000	-9.299815e+000
9.399999999999947e+000	-9.399812e+000
9.499999999999947e+000	-9.499808e+000
9.599999999999946e+000	-9.599805e+000
9.699999999999946e+000	-9.699801e+000
9.799999999999946e+000	-9.799799e+000
9.899999999999945e+000	-9.899796e+000
9.999999999999945e+000	-9.999792e+000
1.009999999999995e+001	-1.009979e+001
1.019999999999994e+001	-1.019979e+001
1.029999999999994e+001	-1.029978e+001
1.039999999999994e+001	-1.039978e+001
1.049999999999994e+001	-1.049977e+001
1.059999999999994e+001	-1.059977e+001
1.069999999999994e+001	-1.069977e+001
1.079999999999994e+001	-1.079977e+001
1.089999999999994e+001	-1.089976e+001
1.099999999999994e+001	-1.099976e+001
1.109999999999994e+001	-1.109976e+001
1.119999999999994e+001	-1.119975e+001
1.129999999999994e+001	-1.129975e+001
1.139999999999994e+001	-1.139974e+001
1.149999999999994e+001	-1.149974e+001
1.159999999999994e+001	-1.159974e+001
1.169999999999994e+001	-1.169974e+001
1.179999999999994e+001	-1.179973e+001
1.189999999999994e+001	-1.189973e+001
1.199999999999994e+001	-1.199973e+001
1.209999999999994e+001	-1.209972e+001
1.219999999999994e+001	-1.219972e+001
1.229999999999994e+001	-1.229972e+001
1.239999999999994e+001	-1.239971e+001
1.249999999999994e+001	-1.249971e+001
1.259999999999994e+001	-1.259971e+001
1.269999999999994e+001	-1.269970e+001
1.279999999999994e+001	-1.279970e+001
1.289999999999994e+001	-1.289970e+001
1.299999999999993e+001	-1.299969e+001
1.309999999999993e+001	-1.309969e+001
1.319999999999993e+001	-1.319969e+001
1.329999999999993e+001	-1.329968e+001
1.339999999999993e+001	-1.339968e+001
1.349999999999993e+001	-1.349968e+001
1.359999999999993e+001	-1.359967e+001
1.369999999999993e+001	-1.369967e+001
1.379999999999993e+001	-1.379967e+001
1.389999999999993e+001	-1.389966e+001
1.399999999999993e+001	-1.399966e+001
1.409999999999993e+001	-1.409966e+001
1.419999999999993e+001	-1.419965e+001
1.429999999999993e+001	-1.429965e+001
1.439999999999993e+001	-1.439964e+001
1.449999999999993e+001	-1.449964e+001
1.459999999999993e+001	-1.459964e+001
1.469999999999993e+001	-1.469963e+001
1.479999999999993e+001	-1.479951e+001
1.489999999999993e+001	-1.489475e+001
1.500000000000000e+001	-1.495294e+001
