v3	V(vo)
-1.500000000000000e+001	-1.499662e+001
-1.490000000000000e+001	-1.499661e+001
-1.480000000000000e+001	-1.499660e+001
-1.470000000000000e+001	-1.499659e+001
-1.460000000000000e+001	-1.499658e+001
-1.450000000000000e+001	-1.499657e+001
-1.440000000000000e+001	-1.499656e+001
-1.430000000000000e+001	-1.499656e+001
-1.420000000000000e+001	-1.499655e+001
-1.410000000000000e+001	-1.499654e+001
-1.400000000000000e+001	-1.499653e+001
-1.390000000000000e+001	-1.499652e+001
-1.380000000000000e+001	-1.499651e+001
-1.370000000000001e+001	-1.499650e+001
-1.360000000000001e+001	-1.499650e+001
-1.350000000000001e+001	-1.499649e+001
-1.340000000000001e+001	-1.499648e+001
-1.330000000000001e+001	-1.499647e+001
-1.320000000000001e+001	-1.499646e+001
-1.310000000000001e+001	-1.499645e+001
-1.300000000000001e+001	-1.499644e+001
-1.290000000000001e+001	-1.499644e+001
-1.280000000000001e+001	-1.499643e+001
-1.270000000000001e+001	-1.499642e+001
-1.260000000000001e+001	-1.499641e+001
-1.250000000000001e+001	-1.499640e+001
-1.240000000000001e+001	-1.499639e+001
-1.230000000000001e+001	-1.499638e+001
-1.220000000000001e+001	-1.499638e+001
-1.210000000000001e+001	-1.499637e+001
-1.200000000000001e+001	-1.499636e+001
-1.190000000000001e+001	-1.499635e+001
-1.180000000000001e+001	-1.499634e+001
-1.170000000000001e+001	-1.499633e+001
-1.160000000000001e+001	-1.499632e+001
-1.150000000000001e+001	-1.499632e+001
-1.140000000000001e+001	-1.499631e+001
-1.130000000000001e+001	-1.499630e+001
-1.120000000000001e+001	-1.499629e+001
-1.110000000000001e+001	-1.499628e+001
-1.100000000000001e+001	-1.499627e+001
-1.090000000000002e+001	-1.499626e+001
-1.080000000000002e+001	-1.499625e+001
-1.070000000000002e+001	-1.499625e+001
-1.060000000000002e+001	-1.499624e+001
-1.050000000000002e+001	-1.499623e+001
-1.040000000000002e+001	-1.499622e+001
-1.030000000000002e+001	-1.499621e+001
-1.020000000000002e+001	-1.499620e+001
-1.010000000000002e+001	-1.499619e+001
-1.000000000000002e+001	-1.499619e+001
-9.900000000000018e+000	-1.499618e+001
-9.800000000000019e+000	-1.499617e+001
-9.700000000000019e+000	-1.499616e+001
-9.600000000000019e+000	-1.499615e+001
-9.500000000000020e+000	-1.499614e+001
-9.400000000000020e+000	-1.499613e+001
-9.300000000000020e+000	-1.499612e+001
-9.200000000000021e+000	-1.499612e+001
-9.100000000000021e+000	-1.499611e+001
-9.000000000000021e+000	-1.499610e+001
-8.900000000000022e+000	-1.499609e+001
-8.800000000000022e+000	-1.499608e+001
-8.700000000000022e+000	-1.499607e+001
-8.600000000000023e+000	-1.499606e+001
-8.500000000000023e+000	-1.499605e+001
-8.400000000000023e+000	-1.499605e+001
-8.300000000000024e+000	-1.499604e+001
-8.200000000000024e+000	-1.499603e+001
-8.100000000000025e+000	-1.499602e+001
-8.000000000000025e+000	-1.499601e+001
-7.900000000000025e+000	-1.499600e+001
-7.800000000000026e+000	-1.499599e+001
-7.700000000000026e+000	-1.499599e+001
-7.600000000000026e+000	-1.499598e+001
-7.500000000000027e+000	-1.499597e+001
-7.400000000000027e+000	-1.499596e+001
-7.300000000000027e+000	-1.499595e+001
-7.200000000000028e+000	-1.499594e+001
-7.100000000000028e+000	-1.499593e+001
-7.000000000000028e+000	-1.499592e+001
-6.900000000000029e+000	-1.499591e+001
