Freq.	V(output)/V(input)
1.00000000000000e+004	(-1.99988909586541e+001dB,1.78853398521870e+002°)
1.02329299228075e+004	(-1.99988322546723e+001dB,1.78826687880562e+002°)
1.04712854805090e+004	(-1.99987707843815e+001dB,1.78799354863816e+002°)
1.07151930523761e+004	(-1.99987064174418e+001dB,1.78771384960002e+002°)
1.09647819614318e+004	(-1.99986390173709e+001dB,1.78742763318382e+002°)
1.12201845430196e+004	(-1.99985684412620e+001dB,1.78713474741139e+002°)
1.14815362149688e+004	(-1.99984945394733e+001dB,1.78683503675446e+002°)
1.17489755493953e+004	(-1.99984171553152e+001dB,1.78652834204713e+002°)
1.20226443461741e+004	(-1.99983361247189e+001dB,1.78621450040435e+002°)
1.23026877081238e+004	(-1.99982512758866e+001dB,1.78589334512918e+002°)
1.25892541179417e+004	(-1.99981624289316e+001dB,1.78556470562851e+002°)
1.28824955169313e+004	(-1.99980693954920e+001dB,1.78522840731915e+002°)
1.31825673855641e+004	(-1.99979719783380e+001dB,1.78488427152943e+002°)
1.34896288259165e+004	(-1.99978699709514e+001dB,1.78453211540958e+002°)
1.38038426460288e+004	(-1.99977631570850e+001dB,1.78417175182740e+002°)
1.41253754462275e+004	(-1.99976513103126e+001dB,1.78380298927483e+002°)
1.44543977074593e+004	(-1.99975341935438e+001dB,1.78342563175204e+002°)
1.47910838816821e+004	(-1.99974115585261e+001dB,1.78303947866995e+002°)
1.51356124843621e+004	(-1.99972831453163e+001dB,1.78264432474326e+002°)
1.54881661891248e+004	(-1.99971486817344e+001dB,1.78223995987172e+002°)
1.58489319246111e+004	(-1.99970078827849e+001dB,1.78182616903114e+002°)
1.62181009735893e+004	(-1.99968604500555e+001dB,1.78140273215372e+002°)
1.65958690743756e+004	(-1.99967060710885e+001dB,1.78096942400799e+002°)
1.69824365246174e+004	(-1.99965444187126e+001dB,1.78052601408311e+002°)
1.73780082874937e+004	(-1.99963751503617e+001dB,1.78007226644879e+002°)
1.77827941003892e+004	(-1.99961979073458e+001dB,1.77960793963983e+002°)
1.81970085860998e+004	(-1.99960123140861e+001dB,1.77913278652063e+002°)
1.86208713666287e+004	(-1.99958179773384e+001dB,1.77864655414054e+002°)
1.90546071796325e+004	(-1.99956144853501e+001dB,1.77814898360630e+002°)
1.94984459975804e+004	(-1.99954014069891e+001dB,1.77763980993662e+002°)
1.99526231496888e+004	(-1.99951782908429e+001dB,1.77711876191128e+002°)
2.04173794466953e+004	(-1.99949446642588e+001dB,1.77658556192529e+002°)
2.08929613085404e+004	(-1.99947000323509e+001dB,1.77603992583541e+002°)
2.13796208950223e+004	(-1.99944438769480e+001dB,1.77548156280269e+002°)
2.18776162394955e+004	(-1.99941756555156e+001dB,1.77491017513177e+002°)
2.23872113856834e+004	(-1.99938947999935e+001dB,1.77432545809729e+002°)
2.29086765276777e+004	(-1.99936007156176e+001dB,1.77372709978467e+002°)
2.34422881531992e+004	(-1.99932927796491e+001dB,1.77311478091196e+002°)
2.39883291901949e+004	(-1.99929703400701e+001dB,1.77248817464837e+002°)
2.45470891568503e+004	(-1.99926327142192e+001dB,1.77184694642950e+002°)
2.51188643150958e+004	(-1.99922791873348e+001dB,1.77119075377747e+002°)
2.57039578276886e+004	(-1.99919090110661e+001dB,1.77051924609334e+002°)
2.63026799189538e+004	(-1.99915214018947e+001dB,1.76983206447628e+002°)
2.69153480392691e+004	(-1.99911155394860e+001dB,1.76912884150141e+002°)
2.75422870333816e+004	(-1.99906905649725e+001dB,1.76840920102111e+002°)
2.81838293126445e+004	(-1.99902455791317e+001dB,1.76767275794303e+002°)
2.88403150312660e+004	(-1.99897796405066e+001dB,1.76691911802398e+002°)
2.95120922666638e+004	(-1.99892917634452e+001dB,1.76614787762392e+002°)
3.01995172040201e+004	(-1.99887809160077e+001dB,1.76535862347476e+002°)
3.09029543251359e+004	(-1.99882460178171e+001dB,1.76455093245970e+002°)
3.16227766016837e+004	(-1.99876859377805e+001dB,1.76372437133857e+002°)
