Freq.	V(output)/V(input)
1.00000000000000e+002	(1.99979526720778e+001dB,1.79831104958024e+002°)
1.02329299228075e+002	(1.99979510593481e+001dB,1.79827170907464e+002°)
1.04712854805090e+002	(1.99979493706133e+001dB,1.79823145222536e+002°)
1.07151930523761e+002	(1.99979476022914e+001dB,1.79819025768899e+002°)
1.09647819614318e+002	(1.99979457506321e+001dB,1.79814810362556e+002°)
1.12201845430196e+002	(1.99979438117074e+001dB,1.79810496768562e+002°)
1.14815362149688e+002	(1.99979417814052e+001dB,1.79806082699988e+002°)
1.17489755493953e+002	(1.99979396554186e+001dB,1.79801565816588e+002°)
1.20226443461741e+002	(1.99979374292385e+001dB,1.79796943723667e+002°)
1.23026877081238e+002	(1.99979350981431e+001dB,1.79792213970737e+002°)
1.25892541179417e+002	(1.99979326571879e+001dB,1.79787374050237e+002°)
1.28824955169313e+002	(1.99979301011954e+001dB,1.79782421396198e+002°)
1.31825673855641e+002	(1.99979274247444e+001dB,1.79777353382945e+002°)
1.34896288259165e+002	(1.99979246221577e+001dB,1.79772167323591e+002°)
1.38038426460288e+002	(1.99979216874911e+001dB,1.79766860468728e+002°)
1.41253754462275e+002	(1.99979186145204e+001dB,1.79761430004933e+002°)
1.44543977074593e+002	(1.99979153967271e+001dB,1.79755873053194e+002°)
1.47910838816821e+002	(1.99979120272864e+001dB,1.79750186667519e+002°)
1.51356124843621e+002	(1.99979084990517e+001dB,1.79744367833291e+002°)
1.54881661891248e+002	(1.99979048045395e+001dB,1.79738413465717e+002°)
1.58489319246111e+002	(1.99979009359136e+001dB,1.79732320408148e+002°)
1.62181009735893e+002	(1.99978968849687e+001dB,1.79726085430439e+002°)
1.65958690743756e+002	(1.99978926431127e+001dB,1.79719705227233e+002°)
1.69824365246174e+002	(1.99978882013487e+001dB,1.79713176416218e+002°)
1.73780082874937e+002	(1.99978835502555e+001dB,1.79706495536284e+002°)
1.77827941003892e+002	(1.99978786799686e+001dB,1.79699659045811e+002°)
1.81970085860998e+002	(1.99978735801577e+001dB,1.79692663320628e+002°)
1.86208713666287e+002	(1.99978682400066e+001dB,1.79685504652251e+002°)
1.90546071796324e+002	(1.99978626481891e+001dB,1.79678179245853e+002°)
