Freq.	V(output)/V(input)
<<<<<<< HEAD
1.00000000000000e+004	(4.14909944161020e+000dB,-1.53299751863645e+000°)
1.02329299228075e+004	(4.14909889014950e+000dB,-1.56871129035730e+000°)
1.04712854805090e+004	(4.14909831129334e+000dB,-1.60525734835163e+000°)
1.07151930523761e+004	(4.14909770361694e+000dB,-1.64265510786251e+000°)
1.09647819614318e+004	(4.14909706561133e+000dB,-1.68092443883154e+000°)
1.12201845430196e+004	(4.14909639568402e+000dB,-1.72008567592405e+000°)
1.14815362149688e+004	(4.14909569215295e+000dB,-1.76015963018276e+000°)
1.17489755493953e+004	(4.14909495323742e+000dB,-1.80116759945930e+000°)
1.20226443461741e+004	(4.14909417705426e+000dB,-1.84313138107328e+000°)
1.23026877081238e+004	(4.14909336161346e+000dB,-1.88607328226453e+000°)
1.25892541179417e+004	(4.14909250480594e+000dB,-1.93001613345183e+000°)
1.28824955169313e+004	(4.14909160439781e+000dB,-1.97498330036289e+000°)
1.31825673855641e+004	(4.14909065802310e+000dB,-2.02099869611379e+000°)
1.34896288259165e+004	(4.14908966317679e+000dB,-2.06808679491899e+000°)
1.38038426460288e+004	(4.14908861719969e+000dB,-2.11627264554023e+000°)
1.41253754462275e+004	(4.14908751727473e+000dB,-2.16558188369739e+000°)
1.44543977074593e+004	(4.14908636040598e+000dB,-2.21604074809613e+000°)
1.47910838816821e+004	(4.14908514342208e+000dB,-2.26767609292548e+000°)
1.51356124843621e+004	(4.14908386294325e+000dB,-2.32051540395966e+000°)
1.54881661891248e+004	(4.14908251539453e+000dB,-2.37458681211206e+000°)
1.58489319246111e+004	(4.14908109695642e+000dB,-2.42991911092337e+000°)
1.62181009735893e+004	(4.14907960358565e+000dB,-2.48654177006852e+000°)
1.65958690743756e+004	(4.14907803096068e+000dB,-2.54448495430820e+000°)
1.69824365246174e+004	(4.14907637449725e+000dB,-2.60377953731486e+000°)
1.73780082874937e+004	(4.14907462930529e+000dB,-2.66445712083957e+000°)
1.77827941003892e+004	(4.14907279017409e+000dB,-2.72655005144933e+000°)
1.81970085860998e+004	(4.14907085154388e+000dB,-2.79009143917027e+000°)
1.86208713666287e+004	(4.14906880749543e+000dB,-2.85511517405188e+000°)
1.90546071796325e+004	(4.14906665169674e+000dB,-2.92165594761958e+000°)
1.94984459975804e+004	(4.14906437739707e+000dB,-2.98974927064402e+000°)
1.99526231496888e+004	(4.14906197738633e+000dB,-3.05943149325032e+000°)
2.04173794466953e+004	(4.14905944394605e+000dB,-3.13073982608599e+000°)
2.08929613085404e+004	(4.14905676882875e+000dB,-3.20371236020822e+000°)
2.13796208950223e+004	(4.14905394321015e+000dB,-3.27838808986174e+000°)
2.18776162394955e+004	(4.14905095763057e+000dB,-3.35480693385954e+000°)
2.23872113856834e+004	(4.14904780198067e+000dB,-3.43300975828172e+000°)
2.29086765276777e+004	(4.14904446539596e+000dB,-3.51303839948620e+000°)
2.34422881531992e+004	(4.14904093625654e+000dB,-3.59493568946000e+000°)
2.39883291901949e+004	(4.14903720207266e+000dB,-3.67874547846701e+000°)
2.45470891568503e+004	(4.14903324944332e+000dB,-3.76451266172024e+000°)
2.51188643150958e+004	(4.14902906398387e+000dB,-3.85228320556186e+000°)
2.57039578276886e+004	(4.14902463022778e+000dB,-3.94210417186350e+000°)
2.63026799189538e+004	(4.14901993153520e+000dB,-4.03402374914474e+000°)
2.69153480392691e+004	(4.14901495004215e+000dB,-4.12809127740384e+000°)
2.75422870333816e+004	(4.14900966646823e+000dB,-4.22435727965344e+000°)
2.81838293126445e+004	(4.14900406011258e+000dB,-4.32287348915791e+000°)
2.88403150312660e+004	(4.14899810862971e+000dB,-4.42369288276977e+000°)
2.95120922666638e+004	(4.14899178795134e+000dB,-4.52686971068868e+000°)
3.01995172040201e+004	(4.14898507210676e+000dB,-4.63245953092676e+000°)
3.09029543251359e+004	(4.14897793309582e+000dB,-4.74051923990947e+000°)
3.16227766016837e+004	(4.14897034067282e+000dB,-4.85110710946194e+000°)
3.23593656929628e+004	(4.14896226219404e+000dB,-4.96428282163831e+000°)
3.31131121482591e+004	(4.14895366237881e+000dB,-5.08010750368834e+000°)
3.38844156139202e+004	(4.14894450308400e+000dB,-5.19864376850053e+000°)
3.46736850452531e+004	(4.14893474305982e+000dB,-5.31995575255382e+000°)
3.54813389233575e+004	(4.14892433767194e+000dB,-5.44410915384717e+000°)
3.63078054770101e+004	(4.14891323862934e+000dB,-5.57117127591909e+000°)
3.71535229097172e+004	(4.14890139360700e+000dB,-5.70121106966028e+000°)
3.80189396320560e+004	(4.14888874597382e+000dB,-5.83429917524660e+000°)
3.89045144994280e+004	(4.14887523427736e+000dB,-5.97050797229531e+000°)
3.98107170553496e+004	(4.14886079195955e+000dB,-6.10991162102454e+000°)
4.07380277804112e+004	(4.14884534677482e+000dB,-6.25258611554973e+000°)
4.16869383470335e+004	(4.14882882038260e+000dB,-6.39860933009635e+000°)
4.26579518801592e+004	(4.14881112776052e+000dB,-6.54806107284397e+000°)
4.36515832240165e+004	(4.14879217647884e+000dB,-6.70102314045994e+000°)
4.46683592150962e+004	(4.14877186629537e+000dB,-6.85757936954577e+000°)
4.57088189614874e+004	(4.14875008816057e+000dB,-7.01781569737697e+000°)
4.67735141287197e+004	(4.14872672362207e+000dB,-7.18182021960481e+000°)
4.78630092322637e+004	(4.14870164383192e+000dB,-7.34968325174736e+000°)
4.89778819368445e+004	(4.14867470870109e+000dB,-7.52149739330480e+000°)
5.01187233627271e+004	(4.14864576581867e+000dB,-7.69735759048610e+000°)
5.12861383991363e+004	(4.14861464926752e+000dB,-7.87736121036674e+000°)
5.24807460249771e+004	(4.14858117841875e+000dB,-8.06160810554087e+000°)
5.37031796370251e+004	(4.14854515666106e+000dB,-8.25020069080111e+000°)
5.49540873857623e+004	(4.14850636979282e+000dB,-8.44324401721370e+000°)
5.62341325190347e+004	(4.14846458447233e+000dB,-8.64084585305527e+000°)
5.75439937337155e+004	(4.14841954639010e+000dB,-8.84311676445799e+000°)
5.88843655355587e+004	(4.14837097832827e+000dB,-9.05017020088051e+000°)
6.02559586074356e+004	(4.14831857808694e+000dB,-9.26212258324657e+000°)
6.16595001861480e+004	(4.14826201602659e+000dB,-9.47909339695340e+000°)
6.30957344480191e+004	(4.14820093269675e+000dB,-9.70120528731643e+000°)
6.45654229034654e+004	(4.14813493586561e+000dB,-9.92858415703391e+000°)
6.60693448007594e+004	(4.14806359750426e+000dB,-1.01613592712047e+001°)
6.76082975391980e+004	(4.14798645050354e+000dB,-1.03996633676620e+001°)
6.91830970918934e+004	(4.14790298483276e+000dB,-1.06436327642921e+001°)
7.07945784384136e+004	(4.14781264376284e+000dB,-1.08934074784470e+001°)
7.24435960074988e+004	(4.14771481927250e+000dB,-1.11491313509171e+001°)
7.41310241300915e+004	(4.14760884712746e+000dB,-1.14109521694734e+001°)
7.58577575029181e+004	(4.14749400198849e+000dB,-1.16790218009343e+001°)
7.76247116628689e+004	(4.14736949098689e+000dB,-1.19534963353627e+001°)
7.94328234724279e+004	(4.14723444806257e+000dB,-1.22345362208555e+001°)
8.12830516164096e+004	(4.14708792656094e+000dB,-1.25223064225258e+001°)
8.31763771102668e+004	(4.14692889173536e+000dB,-1.28169765737907e+001°)
8.51138038202373e+004	(4.14675621237879e+000dB,-1.31187211425652e+001°)
8.70963589956077e+004	(4.14656865186785e+000dB,-1.34277196019618e+001°)
8.91250938133742e+004	(4.14636485772169e+000dB,-1.37441566091141e+001°)
9.12010839355906e+004	(4.14614335110287e+000dB,-1.40682221898656e+001°)
9.33254300796988e+004	(4.14590251462843e+000dB,-1.44001119367294e+001°)
9.54992586021432e+004	(4.14564057905944e+000dB,-1.47400272094741e+001°)
9.77237220955807e+004	(4.14535560879079e+000dB,-1.50881753510612e+001°)
9.99999999999996e+004	(4.14504548662097e+000dB,-1.54447699035511e+001°)
1.02329299228075e+005	(4.14470789573964e+000dB,-1.58100308476915e+001°)
1.04712854805090e+005	(4.14434030115692e+000dB,-1.61841848386422e+001°)
1.07151930523760e+005	(4.14393992890600e+000dB,-1.65674654623397e+001°)
1.09647819614318e+005	(4.14350374311340e+000dB,-1.69601134957819e+001°)
1.12201845430196e+005	(4.14302842134872e+000dB,-1.73623771856932e+001°)
1.14815362149688e+005	(4.14251032668875e+000dB,-1.77745125356971e+001°)
1.17489755493952e+005	(4.14194547893279e+000dB,-1.81967836009475e+001°)
1.20226443461741e+005	(4.14132952088030e+000dB,-1.86294628013080e+001°)
1.23026877081238e+005	(4.14065768253844e+000dB,-1.90728312533698e+001°)
1.25892541179416e+005	(4.13992474285165e+000dB,-1.95271790948271e+001°)
1.28824955169313e+005	(4.13912498542546e+000dB,-1.99928058440904e+001°)
1.31825673855640e+005	(4.13825215236148e+000dB,-2.04700207648555e+001°)
1.34896288259165e+005	(4.13729939266818e+000dB,-2.09591432361304e+001°)
1.38038426460288e+005	(4.13625920619984e+000dB,-2.14605031514840e+001°)
1.41253754462275e+005	(4.13512338078653e+000dB,-2.19744413182835e+001°)
1.44543977074592e+005	(4.13388292738169e+000dB,-2.25013098732045e+001°)
1.47910838816820e+005	(4.13252800356855e+000dB,-2.30414727211938e+001°)
1.51356124843620e+005	(4.13104783517109e+000dB,-2.35953059609782e+001°)
1.54881661891247e+005	(4.12943062821378e+000dB,-2.41631983500531e+001°)
1.58489319246111e+005	(4.12766347166321e+000dB,-2.47455517573578e+001°)
1.62181009735892e+005	(4.12573223333475e+000dB,-2.53427816378564e+001°)
1.65958690743755e+005	(4.12362144625465e+000dB,-2.59553175022542e+001°)
1.69824365246174e+005	(4.12131418270062e+000dB,-2.65836033970505e+001°)
1.73780082874937e+005	(4.11879191895738e+000dB,-2.72280983818884e+001°)
1.77827941003891e+005	(4.11603438681088e+000dB,-2.78892770108414e+001°)
1.81970085860998e+005	(4.11301941299099e+000dB,-2.85676297845673e+001°)
1.86208713666286e+005	(4.10972274275789e+000dB,-2.92636636276171e+001°)
1.90546071796324e+005	(4.10611785006576e+000dB,-2.99779023049623e+001°)
1.94984459975804e+005	(4.10217573046735e+000dB,-3.07108868459327e+001°)
1.99526231496887e+005	(4.09786467580940e+000dB,-3.14631759210112e+001°)
2.04173794466952e+005	(4.09315003282229e+000dB,-3.22353461685912e+001°)
2.08929613085403e+005	(4.08799393789741e+000dB,-3.30279924843189e+001°)
2.13796208950222e+005	(4.08235503460490e+000dB,-3.38417282309391e+001°)
2.18776162394954e+005	(4.07618816572742e+000dB,-3.46771853752592e+001°)
2.23872113856833e+005	(4.06944404416308e+000dB,-3.55350145185657e+001°)
2.29086765276776e+005	(4.06206889836775e+000dB,-3.64158848137353e+001°)
2.34422881531991e+005	(4.05400409116489e+000dB,-3.73204837571639e+001°)
2.39883291901948e+005	(4.04518571500333e+000dB,-3.82495167971187e+001°)
2.45470891568502e+005	(4.03554415808943e+000dB,-3.92037067705075e+001°)
2.51188643150957e+005	(4.02500364294347e+000dB,-4.01837931124653e+001°)
2.57039578276885e+005	(4.01348174181244e+000dB,-4.11905308151615e+001°)
2.63026799189537e+005	(4.00088886070093e+000dB,-4.22246891109898e+001°)
2.69153480392690e+005	(3.98712770238742e+000dB,-4.32870498061831e+001°)
2.75422870333815e+005	(3.97209270434946e+000dB,-4.43784052542902e+001°)
2.81838293126444e+005	(3.95566945541417e+000dB,-4.54995559147533e+001°)
2.88403150312659e+005	(3.93773409768575e+000dB,-4.66513074441078e+001°)
2.95120922666637e+005	(3.91815271691546e+000dB,-4.78344672456846e+001°)
3.01995172040200e+005	(3.89678072475205e+000dB,-4.90498404851704e+001°)
3.09029543251358e+005	(3.87346224961589e+000dB,-5.02982254363750e+001°)
3.16227766016836e+005	(3.84802953259730e+000dB,-5.15804081754562e+001°)
3.23593656929627e+005	(3.82030235570855e+000dB,-5.28971565148606e+001°)
3.31131121482589e+005	(3.79008750206828e+000dB,-5.42492131895741e+001°)
3.38844156139201e+005	(3.75717827772275e+000dB,-5.56372881873248e+001°)
3.46736850452530e+005	(3.72135410034625e+000dB,-5.70620502400933e+001°)
3.54813389233574e+005	(3.68238018849518e+000dB,-5.85241174520319e+001°)
3.63078054770099e+005	(3.64000736739597e+000dB,-6.00240470550466e+001°)
3.71535229097171e+005	(3.59397202137947e+000dB,-6.15623243204889e+001°)
3.80189396320559e+005	(3.54399621753787e+000dB,-6.31393506929676e+001°)
3.89045144994279e+005	(3.48978803322553e+000dB,-6.47554311980221e+001°)
3.98107170553495e+005	(3.43104211662177e+000dB,-6.64107612904077e+001°)
4.07380277804111e+005	(3.36744050838307e+000dB,-6.81054132739984e+001°)
4.16869383470333e+005	(3.29865375632734e+000dB,-6.98393225252453e+001°)
4.26579518801590e+005	(3.22434234392123e+000dB,-7.16122737691378e+001°)
4.36515832240164e+005	(3.14415845519644e+000dB,-7.34238877416072e+001°)
4.46683592150961e+005	(3.05774809120826e+000dB,-7.52736085471465e+001°)
4.57088189614873e+005	(2.96475354262984e+000dB,-7.71606921912299e+001°)
4.67735141287196e+005	(2.86481620652567e+000dB,-7.90841966390470e+001°)
4.78630092322636e+005	(2.75757974021202e+000dB,-8.10429739227725e+001°)
4.89778819368444e+005	(2.64269350748444e+000dB,-8.30356646926163e+001°)
5.01187233627270e+005	(2.51981627793886e+000dB,-8.50606957545508e+001°)
5.12861383991362e+005	(2.38862011104973e+000dB,-8.71162808703768e+001°)
5.24807460249770e+005	(2.24879434615427e+000dB,-8.92004252691233e+001°)
5.37031796370250e+005	(2.10004961112977e+000dB,-9.13109340579319e+001°)
5.49540873857621e+005	(1.94212173802387e+000dB,-9.34454246851987e+001°)
5.62341325190346e+005	(1.77477548097310e+000dB,-9.56013434567074e+001°)
5.75439937337154e+005	(1.59780792644443e+000dB,-9.77759859182364e+001°)
5.88843655355586e+005	(1.41105148032440e+000dB,-9.99665208496407e+001°)
6.02559586074354e+005	(1.21437632983975e+000dB,-1.02170017354710e+002°)
6.16595001861479e+005	(1.00769230257465e+000dB,-1.04383474457556e+002°)
6.30957344480189e+005	(7.90950046819898e-001dB,-1.06603852493964e+002°)
6.45654229034652e+005	(5.64141495032079e-001dB,-1.08828105486802e+002°)
6.60693448007592e+005	(3.27299587392854e-001dB,-1.11053213599912e+002°)
6.76082975391978e+005	(8.04972704184297e-002dB,-1.13276214881635e+002°)
6.91830970918932e+005	(-1.76154195116443e-001dB,-1.15494235391410e+002°)
7.07945784384134e+005	(-4.42507554677578e-001dB,-1.17704517033170e+002°)
7.24435960074986e+005	(-7.18382429538192e-001dB,-1.19904442384604e+002°)
7.41310241300913e+005	(-1.00356863527705e+000dB,-1.22091556045836e+002°)
7.58577575029179e+005	(-1.29782984410925e+000dB,-1.24263582167205e+002°)
7.76247116628687e+005	(-1.60090747289475e+000dB,-1.26418437915301e+002°)
7.94328234724276e+005	(-1.91252469396260e+000dB,-1.28554242880034e+002°)
8.12830516164094e+005	(-2.23239045328896e+000dB,-1.30669324480846e+002°)
8.31763771102666e+005	(-2.56020340818749e+000dB,-1.32762219596930e+002°)
8.51138038202371e+005	(-2.89565569360458e+000dB,-1.34831672772396e+002°)
8.70963589956075e+005	(-3.23843645712157e+000dB,-1.36876631315862e+002°)
8.91250938133740e+005	(-3.58823510049502e+000dB,-1.38896237819066e+002°)
9.12010839355904e+005	(-3.94474419852220e+000dB,-1.40889820468351e+002°)
9.33254300796985e+005	(-4.30766206718467e+000dB,-1.42856881661980e+002°)
9.54992586021430e+005	(-4.67669497287789e+000dB,-1.44797085377794e+002°)
9.77237220955804e+005	(-5.05155898549449e+000dB,-1.46710243675302e+002°)
1.00000000000000e+006	(-5.43198148616173e+000dB,-1.48596302719728e+002°)
=======
5.00000000000000e+004	(-1.02443042197552e+000dB,-4.22942588033718e+000°)
5.01152619038950e+004	(-1.02434220967470e+000dB,-4.23921641941108e+000°)
5.02307895139198e+004	(-1.02425359083395e+000dB,-4.24902981088035e+000°)
5.03465834425902e+004	(-1.02416456357003e+000dB,-4.25886610956387e+000°)
5.04626443038342e+004	(-1.02407512599678e+000dB,-4.26872536991329e+000°)
5.05789727129949e+004	(-1.02398527623263e+000dB,-4.27860764685633e+000°)
5.06955692868340e+004	(-1.02389501239444e+000dB,-4.28851299597121e+000°)
5.08124346435348e+004	(-1.02380433255684e+000dB,-4.29844147179034e+000°)
5.09295694027058e+004	(-1.02371323482613e+000dB,-4.30839313051605e+000°)
5.10469741853840e+004	(-1.02362171724594e+000dB,-4.31836802662045e+000°)
5.11646496140377e+004	(-1.02352977791782e+000dB,-4.32836621642122e+000°)
5.12825963125704e+004	(-1.02343741489442e+000dB,-4.33838775535447e+000°)
5.14008149063236e+004	(-1.02334462620720e+000dB,-4.34843269968673e+000°)
5.15193060220808e+004	(-1.02325140992414e+000dB,-4.35850110565676e+000°)
5.16380702880698e+004	(-1.02315776406385e+000dB,-4.36859302861031e+000°)
5.17571083339672e+004	(-1.02306368665762e+000dB,-4.37870852576593e+000°)
5.18764207909006e+004	(-1.02296917570608e+000dB,-4.38884765292944e+000°)
5.19960082914529e+004	(-1.02287422922852e+000dB,-4.39901046726516e+000°)
