v3	V(vo)
-1.500000000000000e+001	1.349623e+001
-1.490000000000000e+001	1.349622e+001
-1.480000000000000e+001	1.349622e+001
-1.470000000000000e+001	1.349621e+001
-1.460000000000000e+001	1.349620e+001
-1.450000000000000e+001	1.349620e+001
-1.440000000000000e+001	1.349619e+001
-1.430000000000000e+001	1.349618e+001
-1.420000000000000e+001	1.349618e+001
-1.410000000000000e+001	1.349617e+001
-1.400000000000000e+001	1.349616e+001
-1.390000000000000e+001	1.349615e+001
-1.380000000000000e+001	1.349615e+001
-1.370000000000001e+001	1.349614e+001
-1.360000000000001e+001	1.349613e+001
-1.350000000000001e+001	1.349613e+001
-1.340000000000001e+001	1.349612e+001
-1.330000000000001e+001	1.349611e+001
-1.320000000000001e+001	1.349611e+001
-1.310000000000001e+001	1.349610e+001
-1.300000000000001e+001	1.349609e+001
-1.290000000000001e+001	1.349609e+001
-1.280000000000001e+001	1.349608e+001
-1.270000000000001e+001	1.349607e+001
-1.260000000000001e+001	1.349607e+001
-1.250000000000001e+001	1.349606e+001
-1.240000000000001e+001	1.349605e+001
-1.230000000000001e+001	1.349605e+001
-1.220000000000001e+001	1.349604e+001
-1.210000000000001e+001	1.349603e+001
-1.200000000000001e+001	1.349603e+001
-1.190000000000001e+001	1.349602e+001
-1.180000000000001e+001	1.349601e+001
-1.170000000000001e+001	1.349600e+001
-1.160000000000001e+001	1.349600e+001
-1.150000000000001e+001	1.349599e+001
-1.140000000000001e+001	1.349598e+001
-1.130000000000001e+001	1.349598e+001
-1.120000000000001e+001	1.349597e+001
-1.110000000000001e+001	1.349596e+001
-1.100000000000001e+001	1.349596e+001
-1.090000000000002e+001	1.349595e+001
-1.080000000000002e+001	1.349594e+001
-1.070000000000002e+001	1.349594e+001
-1.060000000000002e+001	1.349593e+001
-1.050000000000002e+001	1.349592e+001
-1.040000000000002e+001	1.349591e+001
-1.030000000000002e+001	1.349591e+001
-1.020000000000002e+001	1.349590e+001
-1.010000000000002e+001	1.349589e+001
-1.000000000000002e+001	1.349589e+001
-9.900000000000018e+000	1.349588e+001
-9.800000000000019e+000	1.349587e+001
-9.700000000000019e+000	1.349587e+001
-9.600000000000019e+000	1.349586e+001
-9.500000000000020e+000	1.349585e+001
