Freq.	V(input)/I(R1)
1.00000000000000e+005	(8.15868010812892e+001dB,-1.79033730968505e+002°)
1.02329299228075e+005	(8.15869635169032e+001dB,-1.79010615363421e+002°)
1.04712854805090e+005	(8.15871349118947e+001dB,-1.78986917838746e+002°)
1.07151930523761e+005	(8.15873158176484e+001dB,-1.78962621734648e+002°)
1.09647819614319e+005	(8.15875068245001e+001dB,-1.78937709782068e+002°)
1.12201845430196e+005	(8.15877085648842e+001dB,-1.78912164073300e+002°)
1.14815362149688e+005	(8.15879217167813e+001dB,-1.78885966030115e+002°)
1.17489755493953e+005	(8.15881470074819e+001dB,-1.78859096370719e+002°)
1.20226443461741e+005	(8.15883852177013e+001dB,-1.78831535074153e+002°)
1.23026877081238e+005	(8.15886371860575e+001dB,-1.78803261342763e+002°)
1.25892541179417e+005	(8.15889038140255e+001dB,-1.78774253562489e+002°)
1.28824955169313e+005	(8.15891860712527e+001dB,-1.78744489260798e+002°)
1.31825673855641e+005	(8.15894850015183e+001dB,-1.78713945062246e+002°)
1.34896288259165e+005	(8.15898017291417e+001dB,-1.78682596640749e+002°)
1.38038426460288e+005	(8.15901374660714e+001dB,-1.78650418669992e+002°)
1.41253754462275e+005	(8.15904935196845e+001dB,-1.78617384770043e+002°)
1.44543977074593e+005	(8.15908713012600e+001dB,-1.78583467451597e+002°)
1.47910838816821e+005	(8.15912723353973e+001dB,-1.78548638056279e+002°)
1.51356124843621e+005	(8.15916982702940e+001dB,-1.78512866693793e+002°)
1.54881661891248e+005	(8.15921508891012e+001dB,-1.78476122175761e+002°)
1.58489319246111e+005	(8.15926321223342e+001dB,-1.78438371945481e+002°)
1.62181009735893e+005	(8.15931440616838e+001dB,-1.78399582003527e+002°)
1.65958690743756e+005	(8.15936889751113e+001dB,-1.78359716830360e+002°)
1.69824365246174e+005	(8.15942693235391e+001dB,-1.78318739303274e+002°)
1.73780082874937e+005	(8.15948877793180e+001dB,-1.78276610610512e+002°)
1.77827941003892e+005	(8.15955472464627e+001dB,-1.78233290160393e+002°)
1.81970085860998e+005	(8.15962508832290e+001dB,-1.78188735485830e+002°)
1.86208713666287e+005	(8.15970021268795e+001dB,-1.78142902144842e+002°)
1.90546071796325e+005	(8.15978047211661e+001dB,-1.78095743617125e+002°)
1.94984459975804e+005	(8.15986627467422e+001dB,-1.78047211195525e+002°)
1.99526231496888e+005	(8.15995806547060e+001dB,-1.77997253875088e+002°)
2.04173794466953e+005	(8.16005633040863e+001dB,-1.77945818236629e+002°)
2.08929613085404e+005	(8.16016160029374e+001dB,-1.77892848329563e+002°)
2.13796208950223e+005	(8.16027445542905e+001dB,-1.77838285550632e+002°)
2.18776162394955e+005	(8.16039553069650e+001dB,-1.77782068522440e+002°)
2.23872113856834e+005	(8.16052552119351e+001dB,-1.77724132971357e+002°)
2.29086765276777e+005	(8.16066518850424e+001dB,-1.77664411606972e+002°)
2.34422881531992e+005	(8.16081536765096e+001dB,-1.77602834005315e+002°)
2.39883291901949e+005	(8.16097697482371e+001dB,-1.77539326497784e+002°)
2.45470891568503e+005	(8.16115101596413e+001dB,-1.77473812069225e+002°)
2.51188643150958e+005	(8.16133859632910e+001dB,-1.77406210268090e+002°)
2.57039578276886e+005	(8.16154093106569e+001dB,-1.77336437136760e+002°)
2.63026799189538e+005	(8.16175935703025e+001dB,-1.77264405162766e+002°)
2.69153480392691e+005	(8.16199534587281e+001dB,-1.77190023261975e+002°)
2.75422870333816e+005	(8.16225051857986e+001dB,-1.77113196802067e+002°)
2.81838293126445e+005	(8.16252666163535e+001dB,-1.77033827674998e+002°)
2.88403150312660e+005	(8.16282574494321e+001dB,-1.76951814434243e+002°)
2.95120922666638e+005	(8.16314994167635e+001dB,-1.76867052510566e+002°)
3.01995172040201e+005	(8.16350165027362e+001dB,-1.76779434525242e+002°)
3.09029543251359e+005	(8.16388351874562e+001dB,-1.76688850727202e+002°)
3.16227766016838e+005	(8.16429847149269e+001dB,-1.76595189576554e+002°)
3.23593656929628e+005	(8.16474973880344e+001dB,-1.76498338512030e+002°)
3.31131121482591e+005	(8.16524088925013e+001dB,-1.76398184941122e+002°)
3.38844156139202e+005	(8.16577586510027e+001dB,-1.76294617497886e+002°)
3.46736850452531e+005	(8.16635902083894e+001dB,-1.76187527629758e+002°)
3.54813389233575e+005	(8.16699516486080e+001dB,-1.76076811575453e+002°)
3.63078054770101e+005	(8.16768960428457e+001dB,-1.75962372814846e+002°)
3.71535229097172e+005	(8.16844819262973e+001dB,-1.75844125083944e+002°)
3.80189396320561e+005	(8.16927738004182e+001dB,-1.75721996057994e+002°)
3.89045144994280e+005	(8.17018426534641e+001dB,-1.75595931831695e+002°)
3.98107170553497e+005	(8.17117664893619e+001dB,-1.75465902330125e+002°)
4.07380277804112e+005	(8.17226308505165e+001dB,-1.75331907814781e+002°)
4.16869383470335e+005	(8.17345293132848e+001dB,-1.75193986652576e+002°)
4.26579518801592e+005	(8.17475639283192e+001dB,-1.75052224540364e+002°)
4.36515832240165e+005	(8.17618455670385e+001dB,-1.74906765375391e+002°)
4.46683592150962e+005	(8.17774941249528e+001dB,-1.74757823970026e+002°)
4.57088189614874e+005	(8.17946385164953e+001dB,-1.74605700782087e+002°)
4.67735141287197e+005	(8.18134163806058e+001dB,-1.74450798804366e+002°)
4.78630092322637e+005	(8.18339733939441e+001dB,-1.74293642674590e+002°)
4.89778819368445e+005	(8.18564620703354e+001dB,-1.74134899964835e+002°)
5.01187233627271e+005	(8.18810398978527e+001dB,-1.73975404424329e+002°)
5.12861383991364e+005	(8.19078666472032e+001dB,-1.73816180719931e+002°)
5.24807460249771e+005	(8.19371006649950e+001dB,-1.73658469865212e+002°)
5.37031796370251e+005	(8.19688939591089e+001dB,-1.73503754112848e+002°)
5.49540873857623e+005	(8.20033858904620e+001dB,-1.73353779518570e+002°)
5.62341325190348e+005	(8.20406953210921e+001dB,-1.73210573759093e+002°)
5.75439937337156e+005	(8.20809111359220e+001dB,-1.73076456055532e+002°)
5.88843655355588e+005	(8.21240811764787e+001dB,-1.72954035366034e+002°)
6.02559586074356e+005	(8.21701997974442e+001dB,-1.72846192389570e+002°)
6.16595001861481e+005	(8.22191944992522e+001dB,-1.72756040638757e+002°)
6.30957344480192e+005	(8.22709123853521e+001dB,-1.72686862006231e+002°)
6.45654229034654e+005	(8.23251075328044e+001dB,-1.72642013222171e+002°)
6.60693448007594e+005	(8.23814306950749e+001dB,-1.72624801533327e+002°)
6.76082975391980e+005	(8.24394230228044e+001dB,-1.72638330997780e+002°)
6.91830970918935e+005	(8.24985155937731e+001dB,-1.72685324984169e+002°)
7.07945784384136e+005	(8.25580364002390e+001dB,-1.72767935330622e+002°)
7.24435960074988e+005	(8.26172259702491e+001dB,-1.72887553577807e+002°)
7.41310241300916e+005	(8.26752619695492e+001dB,-1.73044643586772e+002°)
7.58577575029182e+005	(8.27312920051942e+001dB,-1.73238616578773e+002°)
7.76247116628690e+005	(8.27844725758506e+001dB,-1.73467768086891e+002°)
7.94328234724279e+005	(8.28340109381993e+001dB,-1.73729291043104e+002°)
8.12830516164097e+005	(8.28792058581941e+001dB,-1.74019370568723e+002°)
8.31763771102669e+005	(8.29194830232198e+001dB,-1.74333355409956e+002°)
8.51138038202374e+005	(8.29544214165558e+001dB,-1.74665990387718e+002°)
8.70963589956078e+005	(8.29837681305114e+001dB,-1.75011686017700e+002°)
8.91250938133743e+005	(8.30074406747760e+001dB,-1.75364797330010e+002°)
9.12010839355907e+005	(8.30255174950117e+001dB,-1.75719884584578e+002°)
9.33254300796989e+005	(8.30382188037089e+001dB,-1.76071933554052e+002°)
9.54992586021433e+005	(8.30458807151290e+001dB,-1.76416520826298e+002°)
9.77237220955808e+005	(8.30489259740052e+001dB,-1.76749918299316e+002°)
9.99999999999997e+005	(8.30478343358060e+001dB,-1.77069138928285e+002°)
1.02329299228075e+006	(8.30431150499892e+001dB,-1.77371931664875e+002°)
1.04712854805090e+006	(8.30352831156580e+001dB,-1.77656736931923e+002°)
1.07151930523760e+006	(8.30248401896757e+001dB,-1.77922615032377e+002°)
1.09647819614318e+006	(8.30122603556460e+001dB,-1.78169159149087e+002°)
1.12201845430196e+006	(8.29979804680540e+001dB,-1.78396402721695e+002°)
1.14815362149688e+006	(8.29823944766234e+001dB,-1.78604728624248e+002°)
1.17489755493953e+006	(8.29658509905745e+001dB,-1.78794785187074e+002°)
1.20226443461741e+006	(8.29486533195323e+001dB,-1.78967412026138e+002°)
1.23026877081238e+006	(8.29310612848653e+001dB,-1.79123576986226e+002°)
1.25892541179416e+006	(8.29132941965527e+001dB,-1.79264324307099e+002°)
1.28824955169313e+006	(8.28955345081428e+001dB,-1.79390733338879e+002°)
1.31825673855640e+006	(8.28779317780251e+001dB,-1.79503886682704e+002°)
1.34896288259165e+006	(8.28606066680127e+001dB,-1.79604846429527e+002°)
1.38038426460288e+006	(8.28436547965001e+001dB,-1.79694637142223e+002°)
1.41253754462275e+006	(8.28271503309597e+001dB,-1.79774234298113e+002°)
1.44543977074592e+006	(8.28111492560177e+001dB,-1.79844557046133e+002°)
1.47910838816820e+006	(8.27956922900653e+001dB,-1.79906464290973e+002°)
1.51356124843620e+006	(8.27808074488880e+001dB,-1.79960753279486e+002°)
1.54881661891248e+006	(8.27665122710768e+001dB,1.79991839982386e+002°)
1.58489319246111e+006	(8.27528157299884e+001dB,1.79950639019042e+002°)
1.62181009735892e+006	(8.27397198619232e+001dB,1.79915024298607e+002°)
1.65958690743755e+006	(8.27272211421498e+001dB,1.79884430094250e+002°)
1.69824365246174e+006	(8.27153116399742e+001dB,1.79858341033518e+002°)
1.73780082874937e+006	(8.27039799824172e+001dB,1.79836288516024e+002°)
1.77827941003892e+006	(8.26932121536368e+001dB,1.79817847128107e+002°)
1.81970085860998e+006	(8.26829921544993e+001dB,1.79802631143755e+002°)
1.86208713666286e+006	(8.26733025438456e+001dB,1.79790291172690e+002°)
1.90546071796324e+006	(8.26641248802283e+001dB,1.79780510993624e+002°)
1.94984459975804e+006	(8.26554400803716e+001dB,1.79773004593826e+002°)
1.99526231496887e+006	(8.26472287082325e+001dB,1.79767513424669e+002°)
2.04173794466952e+006	(8.26394712064908e+001dB,1.79763803874218e+002°)
2.08929613085403e+006	(8.26321480804403e+001dB,1.79761664951005e+002°)
