Freq.	V(input)/I(R1)
1.00000000000000e+004	(6.15877653338500e+001dB,-1.79000163053169e+002°)
1.02329299228075e+004	(6.15879547550849e+001dB,-1.78976902423869e+002°)
1.04712854805090e+004	(6.15881530946812e+001dB,-1.78953102026636e+002°)
1.07151930523761e+004	(6.15883607721029e+001dB,-1.78928749434535e+002°)
1.09647819614318e+004	(6.15885782264990e+001dB,-1.78903831941615e+002°)
1.12201845430196e+004	(6.15888059176243e+001dB,-1.78878336557127e+002°)
1.14815362149688e+004	(6.15890443268060e+001dB,-1.78852249999546e+002°)
1.17489755493953e+004	(6.15892939579497e+001dB,-1.78825558690814e+002°)
1.20226443461741e+004	(6.15895553385840e+001dB,-1.78798248750597e+002°)
1.23026877081238e+004	(6.15898290209770e+001dB,-1.78770305989591e+002°)
1.25892541179417e+004	(6.15901155832790e+001dB,-1.78741715903900e+002°)
1.28824955169313e+004	(6.15904156307346e+001dB,-1.78712463668577e+002°)
1.31825673855641e+004	(6.15907297969381e+001dB,-1.78682534131578e+002°)
1.34896288259165e+004	(6.15910587451630e+001dB,-1.78651911807041e+002°)
1.38038426460288e+004	(6.15914031697358e+001dB,-1.78620580869276e+002°)
1.41253754462275e+004	(6.15917637974780e+001dB,-1.78588525146087e+002°)
1.44543977074593e+004	(6.15921413892210e+001dB,-1.78555728112536e+002°)
1.47910838816821e+004	(6.15925367413856e+001dB,-1.78522172884033e+002°)
1.51356124843621e+004	(6.15929506876304e+001dB,-1.78487842209979e+002°)
1.54881661891248e+004	(6.15933841005777e+001dB,-1.78452718467319e+002°)
1.58489319246111e+004	(6.15938378936156e+001dB,-1.78416783654000e+002°)
1.62181009735893e+004	(6.15943130228007e+001dB,-1.78380019381673e+002°)
1.65958690743756e+004	(6.15948104888126e+001dB,-1.78342406869955e+002°)
1.69824365246174e+004	(6.15953313390263e+001dB,-1.78303926939333e+002°)
1.73780082874937e+004	(6.15958766696628e+001dB,-1.78264560004898e+002°)
1.77827941003892e+004	(6.15964476280473e+001dB,-1.78224286069519e+002°)
1.81970085860998e+004	(6.15970454149599e+001dB,-1.78183084717632e+002°)
1.86208713666287e+004	(6.15976712870982e+001dB,-1.78140935108576e+002°)
1.90546071796325e+004	(6.15983265596448e+001dB,-1.78097815970546e+002°)
1.94984459975804e+004	(6.15990126089531e+001dB,-1.78053705594407e+002°)
1.99526231496888e+004	(6.15997308753519e+001dB,-1.78008581827384e+002°)
2.04173794466953e+004	(6.16004828660854e+001dB,-1.77962422067130e+002°)
2.08929613085404e+004	(6.16012701583551e+001dB,-1.77915203256315e+002°)
2.13796208950223e+004	(6.16020944025365e+001dB,-1.77866901876405e+002°)
2.18776162394955e+004	(6.16029573254790e+001dB,-1.77817493943483e+002°)
2.23872113856834e+004	(6.16038607340295e+001dB,-1.77766955001956e+002°)
2.29086765276777e+004	(6.16048065186579e+001dB,-1.77715260119961e+002°)
2.34422881531992e+004	(6.16057966572242e+001dB,-1.77662383885745e+002°)
2.39883291901949e+004	(6.16068332189549e+001dB,-1.77608300402700e+002°)
2.45470891568503e+004	(6.16079183685911e+001dB,-1.77552983285780e+002°)
2.51188643150958e+004	(6.16090543706466e+001dB,-1.77496405658600e+002°)
2.57039578276886e+004	(6.16102435939619e+001dB,-1.77438540149981e+002°)
2.63026799189538e+004	(6.16114885163176e+001dB,-1.77379358892826e+002°)
2.69153480392691e+004	(6.16127917293790e+001dB,-1.77318833521002e+002°)
2.75422870333816e+004	(6.16141559437402e+001dB,-1.77256935169346e+002°)
2.81838293126445e+004	(6.16155839942502e+001dB,-1.77193634473258e+002°)
2.88403150312660e+004	(6.16170788455121e+001dB,-1.77128901568646e+002°)
2.95120922666638e+004	(6.16186435976437e+001dB,-1.77062706094202e+002°)
3.01995172040201e+004	(6.16202814923054e+001dB,-1.76995017191768e+002°)
3.09029543251359e+004	(6.16219959188211e+001dB,-1.76925803512645e+002°)
3.16227766016837e+004	(6.16237904207794e+001dB,-1.76855033218593e+002°)
3.23593656929628e+004	(6.16256687027264e+001dB,-1.76782673989647e+002°)
3.31131121482591e+004	(6.16276346371446e+001dB,-1.76708693030271e+002°)
3.38844156139202e+004	(6.16296922717844e+001dB,-1.76633057077433e+002°)
3.46736850452531e+004	(6.16318458372587e+001dB,-1.76555732409725e+002°)
3.54813389233575e+004	(6.16340997548102e+001dB,-1.76476684860508e+002°)
3.63078054770101e+004	(6.16364586445632e+001dB,-1.76395879829211e+002°)
3.71535229097172e+004	(6.16389273339811e+001dB,-1.76313282296777e+002°)
3.80189396320560e+004	(6.16415108665979e+001dB,-1.76228856843517e+002°)
3.89045144994280e+004	(6.16442145111729e+001dB,-1.76142567667557e+002°)
3.98107170553496e+004	(6.16470437711512e+001dB,-1.76054378605849e+002°)
4.07380277804112e+004	(6.16500043943222e+001dB,-1.75964253160515e+002°)
4.16869383470335e+004	(6.16531023830703e+001dB,-1.75872154522973e+002°)
4.26579518801592e+004	(6.16563440047086e+001dB,-1.75778045605965e+002°)
4.36515832240165e+004	(6.16597358023672e+001dB,-1.75681889075313e+002°)
4.46683592150962e+004	(6.16632846061019e+001dB,-1.75583647386242e+002°)
4.57088189614874e+004	(6.16669975444412e+001dB,-1.75483282824053e+002°)
4.67735141287197e+004	(6.16708820562168e+001dB,-1.75380757547015e+002°)
4.78630092322637e+004	(6.16749459027618e+001dB,-1.75276033635803e+002°)
4.89778819368445e+004	(6.16791971806630e+001dB,-1.75169073143315e+002°)
5.01187233627271e+004	(6.16836443344219e+001dB,-1.75059838153995e+002°)
5.12861383991363e+004	(6.16882961699989e+001dB,-1.74948290844899e+002°)
5.24807460249771e+004	(6.16931618682234e+001dB,-1.74834393553546e+002°)
5.37031796370251e+004	(6.16982509988912e+001dB,-1.74718108850441e+002°)
5.49540873857623e+004	(6.17035735349670e+001dB,-1.74599399618748e+002°)
5.62341325190347e+004	(6.17091398671672e+001dB,-1.74478229139802e+002°)
5.75439937337155e+004	(6.17149608188103e+001dB,-1.74354561185780e+002°)
5.88843655355587e+004	(6.17210476610418e+001dB,-1.74228360118876e+002°)
6.02559586074356e+004	(6.17274121279715e+001dB,-1.74099591000210e+002°)
6.16595001861480e+004	(6.17340664325492e+001dB,-1.73968219703811e+002°)
6.30957344480191e+004	(6.17410232820919e+001dB,-1.73834213042439e+002°)
6.45654229034654e+004	(6.17482958942882e+001dB,-1.73697538900138e+002°)
6.60693448007594e+004	(6.17558980130540e+001dB,-1.73558166377179e+002°)
6.76082975391980e+004	(6.17638439247694e+001dB,-1.73416065941151e+002°)
6.91830970918934e+004	(6.17721484741451e+001dB,-1.73271209592863e+002°)
7.07945784384136e+004	(6.17808270801827e+001dB,-1.73123571041963e+002°)
7.24435960074988e+004	(6.17898957518569e+001dB,-1.72973125894767e+002°)
7.41310241300915e+004	(6.17993711039069e+001dB,-1.72819851853005e+002°)
7.58577575029181e+004	(6.18092703717747e+001dB,-1.72663728929810e+002°)
7.76247116628689e+004	(6.18196114266157e+001dB,-1.72504739674113e+002°)
7.94328234724279e+004	(6.18304127894753e+001dB,-1.72342869414492e+002°)
8.12830516164096e+004	(6.18416936448330e+001dB,-1.72178106515565e+002°)
8.31763771102668e+004	(6.18534738534831e+001dB,-1.72010442650039e+002°)
8.51138038202373e+004	(6.18657739645450e+001dB,-1.71839873087064e+002°)
8.70963589956077e+004	(6.18786152260501e+001dB,-1.71666397000267e+002°)
8.91250938133742e+004	(6.18920195943827e+001dB,-1.71490017790073e+002°)
9.12010839355906e+004	(6.19060097426603e+001dB,-1.71310743425357e+002°)
9.33254300796988e+004	(6.19206090665888e+001dB,-1.71128586806308e+002°)
9.54992586021432e+004	(6.19358416895671e+001dB,-1.70943566140656e+002°)
9.77237220955807e+004	(6.19517324643119e+001dB,-1.70755705348633e+002°)
9.99999999999996e+004	(6.19683069732555e+001dB,-1.70565034479270e+002°)
1.02329299228075e+005	(6.19855915254883e+001dB,-1.70371590154447e+002°)
1.04712854805090e+005	(6.20036131511390e+001dB,-1.70175416030135e+002°)
1.07151930523760e+005	(6.20223995918019e+001dB,-1.69976563279848e+002°)
1.09647819614318e+005	(6.20419792882987e+001dB,-1.69775091099576e+002°)
1.12201845430196e+005	(6.20623813635424e+001dB,-1.69571067234381e+002°)
1.14815362149688e+005	(6.20836356006237e+001dB,-1.69364568527458e+002°)
1.17489755493952e+005	(6.21057724176925e+001dB,-1.69155681485201e+002°)
1.20226443461741e+005	(6.21288228351282e+001dB,-1.68944502871861e+002°)
1.23026877081238e+005	(6.21528184390231e+001dB,-1.68731140312730e+002°)
1.25892541179416e+005	(6.21777913370043e+001dB,-1.68515712926740e+002°)
1.28824955169313e+005	(6.22037741076998e+001dB,-1.68298351969804e+002°)
1.31825673855640e+005	(6.22307997428326e+001dB,-1.68079201497591e+002°)
1.34896288259165e+005	(6.22589015810954e+001dB,-1.67858419043996e+002°)
1.38038426460288e+005	(6.22881132337805e+001dB,-1.67636176305999e+002°)
1.41253754462275e+005	(6.23184685009849e+001dB,-1.67412659847806e+002°)
1.44543977074592e+005	(6.23500012777612e+001dB,-1.67188071804965e+002°)
1.47910838816820e+005	(6.23827454506139e+001dB,-1.66962630592826e+002°)
1.51356124843620e+005	(6.24167347816766e+001dB,-1.66736571620106e+002°)
1.54881661891247e+005	(6.24520027820947e+001dB,-1.66510147991261e+002°)
1.58489319246111e+005	(6.24885825724830e+001dB,-1.66283631203375e+002°)
1.62181009735892e+005	(6.25265067303215e+001dB,-1.66057311825777e+002°)
1.65958690743755e+005	(6.25658071224946e+001dB,-1.65831500161557e+002°)
1.69824365246174e+005	(6.26065147260512e+001dB,-1.65606526874154e+002°)
1.73780082874937e+005	(6.26486594308104e+001dB,-1.65382743583136e+002°)
1.77827941003891e+005	(6.26922698280482e+001dB,-1.65160523412116e+002°)
1.81970085860998e+005	(6.27373729826330e+001dB,-1.64940261482602e+002°)
1.86208713666286e+005	(6.27839941881811e+001dB,-1.64722375341648e+002°)
1.90546071796324e+005	(6.28321567062224e+001dB,-1.64507305311598e+002°)
1.94984459975804e+005	(6.28818814872171e+001dB,-1.64295514753509e+002°)
1.99526231496887e+005	(6.29331868734547e+001dB,-1.64087490222551e+002°)
2.04173794466952e+005	(6.29860882864675e+001dB,-1.63883741509534e+002°)
2.08929613085403e+005	(6.30405978958481e+001dB,-1.63684801547501e+002°)
2.13796208950222e+005	(6.30967242706811e+001dB,-1.63491226163022e+002°)
2.18776162394954e+005	(6.31544720173131e+001dB,-1.63303593667024e+002°)
2.23872113856833e+005	(6.32138413978963e+001dB,-1.63122504246264e+002°)
2.29086765276776e+005	(6.32748279385784e+001dB,-1.62948579158732e+002°)
2.34422881531991e+005	(6.33374220224689e+001dB,-1.62782459687770e+002°)
2.39883291901948e+005	(6.34016084729827e+001dB,-1.62624805853821e+002°)
2.45470891568502e+005	(6.34673661298247e+001dB,-1.62476294845440e+002°)
2.51188643150957e+005	(6.35346674175922e+001dB,-1.62337619159718e+002°)
2.57039578276885e+005	(6.36034779156919e+001dB,-1.62209484419899e+002°)
2.63026799189537e+005	(6.36737559272405e+001dB,-1.62092606850345e+002°)
2.69153480392690e+005	(6.37454520583282e+001dB,-1.61987710391693e+002°)
2.75422870333815e+005	(6.38185088076718e+001dB,-1.61895523432529e+002°)
2.81838293126444e+005	(6.38928601774102e+001dB,-1.61816775139101e+002°)
2.88403150312659e+005	(6.39684313078430e+001dB,-1.61752191369057e+002°)
2.95120922666637e+005	(6.40451381478642e+001dB,-1.61702490160238e+002°)
3.01995172040200e+005	(6.41228871682647e+001dB,-1.61668376794888e+002°)
3.09029543251358e+005	(6.42015751258471e+001dB,-1.61650538418322e+002°)
3.16227766016836e+005	(6.42810888917959e+001dB,-1.61649638248473e+002°)
3.23593656929627e+005	(6.43613053529099e+001dB,-1.61666309376939e+002°)
3.31131121482589e+005	(6.44420913980582e+001dB,-1.61701148190705e+002°)
3.38844156139201e+005	(6.45233040013592e+001dB,-1.61754707456159e+002°)
