Freq.	V(input)/I(R3)
1.00000000000000e+004	(7.58324090996792e+001dB,-6.50255893410999e-002°)
1.02329299228075e+004	(7.58323445584799e+001dB,-6.64788699124160e-002°)
1.04712854805090e+004	(7.58322771020767e+001dB,-6.79617363393953e-002°)
1.07151930523761e+004	(7.58322066048894e+001dB,-6.94745873222107e-002°)
1.09647819614318e+004	(7.58321329365010e+001dB,-7.10178117969211e-002°)
1.12201845430196e+004	(7.58320559615273e+001dB,-7.25917875275157e-002°)
1.14815362149688e+004	(7.58319755394858e+001dB,-7.41968796404635e-002°)
1.17489755493953e+004	(7.58318915246694e+001dB,-7.58334390253220e-002°)
1.20226443461741e+004	(7.58318037660234e+001dB,-7.75018006497978e-002°)
1.23026877081238e+004	(7.58317121070250e+001dB,-7.92022817780788e-002°)
1.25892541179417e+004	(7.58316163855696e+001dB,-8.09351800737506e-002°)
1.28824955169313e+004	(7.58315164338650e+001dB,-8.27007715566387e-002°)
1.31825673855641e+004	(7.58314120783283e+001dB,-8.44993085147284e-002°)
1.34896288259165e+004	(7.58313031394981e+001dB,-8.63310171940846e-002°)
1.38038426460288e+004	(7.58311894319501e+001dB,-8.81960954801322e-002°)
1.41253754462275e+004	(7.58310707642295e+001dB,-9.00947103494923e-002°)
1.44543977074593e+004	(7.58309469387938e+001dB,-9.20269952507618e-002°)
1.47910838816821e+004	(7.58308177519710e+001dB,-9.39930473334871e-002°)
1.51356124843621e+004	(7.58306829939346e+001dB,-9.59929245454417e-002°)
1.54881661891248e+004	(7.58305424486969e+001dB,-9.80266425965865e-002°)
1.58489319246111e+004	(7.58303958941238e+001dB,-1.00094171779150e-001°)
1.62181009735893e+004	(7.58302431019683e+001dB,-1.02195433692404e-001°)
1.65958690743756e+004	(7.58300838379380e+001dB,-1.04330297738445e-001°)
1.69824365246174e+004	(7.58299178617790e+001dB,-1.06498577611410e-001°)
1.73780082874937e+004	(7.58297449273963e+001dB,-1.08700027583751e-001°)
1.77827941003892e+004	(7.58295647830079e+001dB,-1.10934338657684e-001°)
1.81970085860998e+004	(7.58293771713293e+001dB,-1.13201134656817e-001°)
1.86208713666287e+004	(7.58291818297975e+001dB,-1.15499968200289e-001°)
1.90546071796325e+004	(7.58289784908429e+001dB,-1.17830316493504e-001°)
1.94984459975804e+004	(7.58287668821934e+001dB,-1.20191577171975e-001°)
1.99526231496888e+004	(7.58285467272349e+001dB,-1.22583063964769e-001°)
2.04173794466953e+004	(7.58283177454182e+001dB,-1.25004002347416e-001°)
2.08929613085404e+004	(7.58280796527201e+001dB,-1.27453525142744e-001°)
2.13796208950223e+004	(7.58278321621583e+001dB,-1.29930668124849e-001°)
2.18776162394955e+004	(7.58275749843700e+001dB,-1.32434365593733e-001°)
2.23872113856834e+004	(7.58273078282478e+001dB,-1.34963446017514e-001°)
2.29086765276777e+004	(7.58270304016417e+001dB,-1.37516627722731e-001°)
2.34422881531992e+004	(7.58267424121318e+001dB,-1.40092514663325e-001°)
2.39883291901949e+004	(7.58264435678596e+001dB,-1.42689592376679e-001°)
2.45470891568503e+004	(7.58261335784498e+001dB,-1.45306223996693e-001°)
2.51188643150958e+004	(7.58258121559784e+001dB,-1.47940646638046e-001°)
2.57039578276886e+004	(7.58254790160415e+001dB,-1.50590967860434e-001°)
2.63026799189538e+004	(7.58251338788772e+001dB,-1.53255162579177e-001°)
2.69153480392691e+004	(7.58247764705806e+001dB,-1.55931070206296e-001°)
2.75422870333816e+004	(7.58244065243731e+001dB,-1.58616392317732e-001°)
2.81838293126445e+004	(7.58240237819612e+001dB,-1.61308690686637e-001°)
2.88403150312660e+004	(7.58236279949525e+001dB,-1.64005385882745e-001°)
2.95120922666638e+004	(7.58232189263508e+001dB,-1.66703756428652e-001°)
3.01995172040201e+004	(7.58227963521079e+001dB,-1.69400938588125e-001°)
3.09029543251359e+004	(7.58223600627279e+001dB,-1.72093926897990e-001°)
3.16227766016837e+004	(7.58219098649368e+001dB,-1.74779575393261e-001°)
3.23593656929628e+004	(7.58214455833891e+001dB,-1.77454599681120e-001°)
3.31131121482591e+004	(7.58209670624089e+001dB,-1.80115579909196e-001°)
3.38844156139202e+004	(7.58204741677587e+001dB,-1.82758964631631e-001°)
3.46736850452531e+004	(7.58199667884307e+001dB,-1.85381075666770e-001°)
3.54813389233575e+004	(7.58194448384335e+001dB,-1.87978113973817e-001°)
3.63078054770101e+004	(7.58189082585729e+001dB,-1.90546166618515e-001°)
3.71535229097172e+004	(7.58183570182061e+001dB,-1.93081214810367e-001°)
3.80189396320560e+004	(7.58177911169478e+001dB,-1.95579143124921e-001°)
3.89045144994280e+004	(7.58172105863544e+001dB,-1.98035749724986e-001°)
3.98107170553496e+004	(7.58166154914742e+001dB,-2.00446757934963e-001°)
4.07380277804112e+004	(7.58160059323759e+001dB,-2.02807828723405e-001°)
4.16869383470335e+004	(7.58153820454972e+001dB,-2.05114574508111e-001°)
4.26579518801592e+004	(7.58147440049178e+001dB,-2.07362573890765e-001°)
4.36515832240165e+004	(7.58140920234490e+001dB,-2.09547387512546e-001°)
4.46683592150962e+004	(7.58134263535807e+001dB,-2.11664574808554e-001°)
4.57088189614874e+004	(7.58127472882128e+001dB,-2.13709711743526e-001°)
4.67735141287197e+004	(7.58120551612156e+001dB,-2.15678409233120e-001°)
4.78630092322637e+004	(7.58113503477412e+001dB,-2.17566332337124e-001°)
4.89778819368445e+004	(7.58106332643120e+001dB,-2.19369219964534e-001°)
5.01187233627271e+004	(7.58099043686651e+001dB,-2.21082905001304e-001°)
5.12861383991363e+004	(7.58091641593234e+001dB,-2.22703334715581e-001°)
5.24807460249771e+004	(7.58084131749118e+001dB,-2.24226591247137e-001°)
5.37031796370251e+004	(7.58076519931761e+001dB,-2.25648912022447e-001°)
5.49540873857623e+004	(7.58068812297550e+001dB,-2.26966709930178e-001°)
5.62341325190347e+004	(7.58061015366411e+001dB,-2.28176593025239e-001°)
5.75439937337155e+004	(7.58053136003875e+001dB,-2.29275383614873e-001°)
5.88843655355587e+004	(7.58045181400289e+001dB,-2.30260136478795e-001°)
6.02559586074356e+004	(7.58037159047671e+001dB,-2.31128156133708e-001°)
6.16595001861480e+004	(7.58029076713744e+001dB,-2.31877012808236e-001°)
6.30957344480191e+004	(7.58020942414065e+001dB,-2.32504557125297e-001°)
6.45654229034654e+004	(7.58012764381797e+001dB,-2.33008933172274e-001°)
6.60693448007594e+004	(7.58004551035641e+001dB,-2.33388589941906e-001°)
6.76082975391980e+004	(7.57996310946271e+001dB,-2.33642290882382e-001°)
6.91830970918934e+004	(7.57988052801448e+001dB,-2.33769121573065e-001°)
