Freq.	V(OUTPUT)/V(INPUT)
1.00000000000000e+002	(-2.39672073616194e+001dB,-9.00004590794571e+001°)
1.25892541179417e+002	(-2.19672048296068e+001dB,-9.00005779467986e+001°)
1.58489319246111e+002	(-1.99672008166357e+001dB,-9.00007275919195e+001°)
1.99526231496888e+002	(-1.79671944565014e+001dB,-9.00009159839728e+001°)
2.51188643150958e+002	(-1.59671843763582e+001dB,-9.00011531555321e+001°)
3.16227766016838e+002	(-1.39671684003840e+001dB,-9.00014517368669e+001°)
3.98107170553497e+002	(-1.19671430801110e+001dB,-9.00018276285602e+001°)
5.01187233627272e+002	(-9.96710295003157e+000dB,-9.00023008482916e+001°)
6.30957344480193e+002	(-7.96703934776198e+000dB,-9.00028965968894e+001°)
7.94328234724282e+002	(-5.96693854400376e+000dB,-9.00036466004423e+001°)
1.00000000000000e+003	(-3.96677877841690e+000dB,-9.00045907999798e+001°)
1.25892541179417e+003	(-1.96652556100546e+000dB,-9.00057794787782e+001°)
1.58489319246111e+003	(3.38757766697585e-002dB,-9.00072759407287e+001°)
1.99526231496888e+003	(2.03451189201160e+000dB,-9.00091598826977e+001°)
2.51188643150958e+003	(4.03552016233440e+000dB,-9.00115316410669e+001°)
3.16227766016838e+003	(6.03711840291909e+000dB,-9.00145175397857e+001°)
3.98107170553498e+003	(8.03965204616478e+000dB,-9.00182766271253e+001°)
5.01187233627273e+003	(1.00436691147649e+001dB,-9.00230091646630e+001°)
6.30957344480194e+003	(1.20500395478917e+001dB,-9.00289673301681e+001°)
7.94328234724282e+003	(1.40601455854375e+001dB,-9.00364687237208e+001°)
1.00000000000000e+004	(1.60761867032025e+001dB,-9.00459134356565e+001°)
1.25892541179417e+004	(1.81016710081071e+001dB,-9.00578056659867e+001°)
1.58489319246111e+004	(2.01422147147232e+001dB,-9.00727812148906e+001°)
1.99526231496888e+004	(2.22068623938343e+001dB,-9.00916426676913e+001°)
2.51188643150958e+004	(2.43103181003479e+001dB,-9.01154049445470e+001°)
3.16227766016838e+004	(2.64768513169222e+001dB,-9.01453555045309e+001°)
3.98107170553498e+004	(2.87475093815792e+001dB,-9.01831371322503e+001°)
5.01187233627273e+004	(3.11945373817555e+001dB,-9.02308711139188e+001°)
6.30957344480194e+004	(3.39538232964671e+001dB,-9.02913720744380e+001°)
7.94328234724283e+004	(3.73122927603430e+001dB,-9.03686559565623e+001°)
1.00000000000000e+005	(4.20258295328509e+001dB,-9.04699802585177e+001°)
1.25892541179417e+005	(5.15860061023589e+001dB,-9.06299084622678e+001°)
1.58489319246112e+005	(5.20044709074919e+001dB,8.93588945335084e+001°)
1.99526231496888e+005	(4.21694679891436e+001dB,8.91282482541909e+001°)
2.51188643150958e+005	(3.74031861065460e+001dB,8.88874215405438e+001°)
3.16227766016838e+005	(3.40232357079998e+001dB,8.85919787265728e+001°)
3.98107170553498e+005	(3.12522941159801e+001dB,8.82229801446964e+001°)
5.01187233627273e+005	(2.87972962106151e+001dB,8.77600827822181e+001°)
6.30957344480194e+005	(2.65195971252137e+001dB,8.71786053961193e+001°)
7.94328234724283e+005	(2.43450953915641e+001dB,8.64479663043376e+001°)
1.00000000000000e+006	(2.22309153913572e+001dB,8.55301931038693e+001°)
1.25892541179417e+006	(2.01504604646672e+001dB,8.43783435492095e+001°)
1.58489319246112e+006	(1.80856788620185e+001dB,8.29349314599819e+001°)
1.99526231496888e+006	(1.60224895538789e+001dB,8.11306837222375e+001°)
2.51188643150959e+006	(1.39476318562116e+001dB,7.88843319520229e+001°)
3.16227766016839e+006	(1.18461086688368e+001dB,7.61047649220598e+001°)
3.98107170553498e+006	(9.69887047804800e+000dB,7.26977524215948e+001°)
5.01187233627273e+006	(7.48082450181735e+000dB,6.85802963730009e+001°)
6.30957344480195e+006	(5.15984271896849e+000dB,6.37053610586474e+001°)
7.94328234724283e+006	(2.69813180509654e+000dB,5.80959826606861e+001°)
1.00000000000000e+007	(5.75278205249462e-002dB,5.18784578751338e+001°)
1.25892541179417e+007	(-2.79113778095957e+000dB,4.52929292631117e+001°)
1.58489319246112e+007	(-5.85775298032648e+000dB,3.86601684732190e+001°)
1.99526231496888e+007	(-9.12731943431658e+000dB,3.23081077829166e+001°)
2.51188643150959e+007	(-1.25623107802604e+001dB,2.64943557598733e+001°)
3.16227766016839e+007	(-1.61104167815823e+001dB,2.13647069270104e+001°)
3.98107170553498e+007	(-1.97118656146657e+001dB,1.69578514573442e+001°)
5.01187233627274e+007	(-2.33024882503251e+001dB,1.32380563064625e+001°)
6.30957344480195e+007	(-2.68125750510011e+001dB,1.01330331359936e+001°)
7.94328234724284e+007	(-3.01642681528688e+001dB,7.56423587396577e+000°)
1.00000000000000e+008	(-3.32715220146706e+001dB,5.46572755644028e+000°)
1.25892541179417e+008	(-3.60467883473907e+001dB,3.79055835233857e+000°)
1.58489319246112e+008	(-3.84161772279566e+001dB,2.50428049266066e+000°)
1.99526231496889e+008	(-4.03386862300974e+001dB,1.56972387626856e+000°)
2.51188643150959e+008	(-4.18188316667057e+001dB,9.34409941172311e-001°)
3.16227766016839e+008	(-4.29036993925519e+001dB,5.31265462929656e-001°)
3.98107170553499e+008	(-4.36661204748289e+001dB,2.90998359078887e-001°)
5.01187233627274e+008	(-4.41844795319546e+001dB,1.54984151535467e-001°)
6.30957344480195e+008	(-4.45283979968652e+001dB,8.09252467663894e-002°)
7.94328234724284e+008	(-4.47526992113510e+001dB,4.17013510770178e-002°)
1.00000000000000e+009	(-4.48972971985065e+001dB,2.13138844698582e-002°)
