Freq.	V(input)/I(C1)
1.00000000000000e+003	(6.90722092070650e+001dB,-8.99999176918373e+001°)
1.02329299228075e+003	(6.88721888052604e+001dB,-8.99999157743713e+001°)
1.04712854805090e+003	(6.86721674418971e+001dB,-8.99999138122229e+001°)
1.07151930523761e+003	(6.84721450716531e+001dB,-8.99999118043502e+001°)
1.09647819614319e+003	(6.82721216470702e+001dB,-8.99999097496865e+001°)
1.12201845430196e+003	(6.80720971184530e+001dB,-8.99999076471404e+001°)
1.14815362149688e+003	(6.78720714337634e+001dB,-8.99999054955950e+001°)
1.17489755493953e+003	(6.76720445385103e+001dB,-8.99999032939072e+001°)
1.20226443461741e+003	(6.74720163756337e+001dB,-8.99999010409070e+001°)
1.23026877081238e+003	(6.72719868853837e+001dB,-8.99998987353972e+001°)
1.25892541179417e+003	(6.70719560051937e+001dB,-8.99998963761525e+001°)
1.28824955169313e+003	(6.68719236695474e+001dB,-8.99998939619190e+001°)
1.31825673855641e+003	(6.66718898098401e+001dB,-8.99998914914133e+001°)
1.34896288259165e+003	(6.64718543542324e+001dB,-8.99998889633220e+001°)
1.38038426460288e+003	(6.62718172274983e+001dB,-8.99998863763008e+001°)
1.41253754462275e+003	(6.60717783508649e+001dB,-8.99998837289740e+001°)
1.44543977074593e+003	(6.58717376418457e+001dB,-8.99998810199337e+001°)
1.47910838816821e+003	(6.56716950140650e+001dB,-8.99998782477387e+001°)
1.51356124843621e+003	(6.54716503770746e+001dB,-8.99998754109144e+001°)
1.54881661891248e+003	(6.52716036361617e+001dB,-8.99998725079510e+001°)
1.58489319246111e+003	(6.50715546921479e+001dB,-8.99998695373039e+001°)
1.62181009735893e+003	(6.48715034411780e+001dB,-8.99998664973916e+001°)
1.65958690743756e+003	(6.46714497745002e+001dB,-8.99998633865960e+001°)
1.69824365246174e+003	(6.44713935782342e+001dB,-8.99998602032604e+001°)
1.73780082874937e+003	(6.42713347331301e+001dB,-8.99998569456895e+001°)
1.77827941003892e+003	(6.40712731143142e+001dB,-8.99998536121481e+001°)
1.81970085860998e+003	(6.38712085910244e+001dB,-8.99998502008598e+001°)
1.86208713666287e+003	(6.36711410263318e+001dB,-8.99998467100068e+001°)
1.90546071796325e+003	(6.34710702768498e+001dB,-8.99998431377282e+001°)
1.94984459975804e+003	(6.32709961924297e+001dB,-8.99998394821191e+001°)
1.99526231496888e+003	(6.30709186158410e+001dB,-8.99998357412300e+001°)
2.04173794466953e+003	(6.28708373824376e+001dB,-8.99998319130651e+001°)
2.08929613085404e+003	(6.26707523198072e+001dB,-8.99998279955814e+001°)
2.13796208950223e+003	(6.24706632474056e+001dB,-8.99998239866879e+001°)
2.18776162394955e+003	(6.22705699761717e+001dB,-8.99998198842439e+001°)
2.23872113856834e+003	(6.20704723081262e+001dB,-8.99998156860580e+001°)
2.29086765276777e+003	(6.18703700359502e+001dB,-8.99998113898869e+001°)
2.34422881531992e+003	(6.16702629425440e+001dB,-8.99998069934343e+001°)
2.39883291901949e+003	(6.14701508005655e+001dB,-8.99998024943491e+001°)
2.45470891568503e+003	(6.12700333719462e+001dB,-8.99997978902246e+001°)
2.51188643150958e+003	(6.10699104073845e+001dB,-8.99997931785968e+001°)
2.57039578276886e+003	(6.08697816458154e+001dB,-8.99997883569430e+001°)
2.63026799189538e+003	(6.06696468138540e+001dB,-8.99997834226805e+001°)
2.69153480392691e+003	(6.04695056252142e+001dB,-8.99997783731649e+001°)
2.75422870333816e+003	(6.02693577800984e+001dB,-8.99997732056888e+001°)
2.81838293126445e+003	(6.00692029645590e+001dB,-8.99997679174802e+001°)
2.88403150312660e+003	(5.98690408498297e+001dB,-8.99997625057004e+001°)
2.95120922666638e+003	(5.96688710916248e+001dB,-8.99997569674430e+001°)
