Freq.	V(output)/V(input)
1.00000000000000e+002	(-2.39672132183542e+001dB,-9.00669870827030e+001°)
1.02329299228075e+002	(-2.37672132903535e+001dB,-9.00685474124601e+001°)
1.04712854805090e+002	(-2.35672133657459e+001dB,-9.00701440869774e+001°)
1.07151930523761e+002	(-2.33672134446916e+001dB,-9.00717779528339e+001°)
1.09647819614318e+002	(-2.31672135273578e+001dB,-9.00734498763281e+001°)
1.12201845430196e+002	(-2.29672136139199e+001dB,-9.00751607439371e+001°)
1.14815362149688e+002	(-2.27672137045616e+001dB,-9.00769114627870e+001°)
1.17489755493953e+002	(-2.25672137994751e+001dB,-9.00787029611333e+001°)
1.20226443461741e+002	(-2.23672138988618e+001dB,-9.00805361888537e+001°)
1.23026877081238e+002	(-2.21672140029324e+001dB,-9.00824121179515e+001°)
1.25892541179417e+002	(-2.19672141119077e+001dB,-9.00843317430707e+001°)
1.28824955169313e+002	(-2.17672142260189e+001dB,-9.00862960820240e+001°)
1.31825673855641e+002	(-2.15672143455080e+001dB,-9.00883061763316e+001°)
1.34896288259165e+002	(-2.13672144706284e+001dB,-9.00903630917745e+001°)
1.38038426460288e+002	(-2.11672146016456e+001dB,-9.00924679189585e+001°)
1.41253754462275e+002	(-2.09672147388375e+001dB,-9.00946217738935e+001°)
1.44543977074593e+002	(-2.07672148824950e+001dB,-9.00968257985843e+001°)
1.47910838816821e+002	(-2.05672150329229e+001dB,-9.00990811616368e+001°)
1.51356124843621e+002	(-2.03672151904403e+001dB,-9.01013890588774e+001°)
1.54881661891248e+002	(-2.01672153553813e+001dB,-9.01037507139868e+001°)
1.58489319246111e+002	(-1.99672155280957e+001dB,-9.01061673791494e+001°)
1.62181009735893e+002	(-1.97672157089499e+001dB,-9.01086403357166e+001°)
1.65958690743756e+002	(-1.95672158983275e+001dB,-9.01111708948867e+001°)
1.69824365246174e+002	(-1.93672160966303e+001dB,-9.01137603983999e+001°)
1.73780082874937e+002	(-1.91672163042788e+001dB,-9.01164102192496e+001°)
1.77827941003892e+002	(-1.89672165217135e+001dB,-9.01191217624109e+001°)
1.81970085860998e+002	(-1.87672167493956e+001dB,-9.01218964655849e+001°)
1.86208713666287e+002	(-1.85672169878081e+001dB,-9.01247357999616e+001°)
1.90546071796324e+002	(-1.83672172374567e+001dB,-9.01276412709996e+001°)
1.94984459975804e+002	(-1.81672174988709e+001dB,-9.01306144192245e+001°)
1.99526231496888e+002	(-1.79672177726052e+001dB,-9.01336568210456e+001°)
2.04173794466953e+002	(-1.77672180592403e+001dB,-9.01367700895920e+001°)
2.08929613085404e+002	(-1.75672183593841e+001dB,-9.01399558755676e+001°)
2.13796208950223e+002	(-1.73672186736733e+001dB,-9.01432158681269e+001°)
2.18776162394955e+002	(-1.71672190027746e+001dB,-9.01465517957699e+001°)
2.23872113856834e+002	(-1.69672193473861e+001dB,-9.01499654272594e+001°)
2.29086765276777e+002	(-1.67672197082387e+001dB,-9.01534585725582e+001°)
2.34422881531992e+002	(-1.65672200860978e+001dB,-9.01570330837893e+001°)
2.39883291901949e+002	(-1.63672204817650e+001dB,-9.01606908562178e+001°)
2.45470891568503e+002	(-1.61672208960795e+001dB,-9.01644338292556e+001°)
2.51188643150958e+002	(-1.59672213299202e+001dB,-9.01682639874903e+001°)
2.57039578276886e+002	(-1.57672217842073e+001dB,-9.01721833617372e+001°)
2.63026799189538e+002	(-1.55672222599045e+001dB,-9.01761940301158e+001°)
2.69153480392691e+002	(-1.53672227580207e+001dB,-9.01802981191524e+001°)
2.75422870333816e+002	(-1.51672232796127e+001dB,-9.01844978049073e+001°)
2.81838293126445e+002	(-1.49672238257867e+001dB,-9.01887953141287e+001°)
2.88403150312660e+002	(-1.47672243977013e+001dB,-9.01931929254336e+001°)
2.95120922666638e+002	(-1.45672249965696e+001dB,-9.01976929705157e+001°)
3.01995172040201e+002	(-1.43672256236621e+001dB,-9.02022978353821e+001°)
3.09029543251358e+002	(-1.41672262803087e+001dB,-9.02070099616186e+001°)
3.16227766016837e+002	(-1.39672269679025e+001dB,-9.02118318476839e+001°)
3.23593656929628e+002	(-1.37672276879020e+001dB,-9.02167660502351e+001°)
3.31131121482590e+002	(-1.35672284418343e+001dB,-9.02218151854828e+001°)
3.38844156139202e+002	(-1.33672292312989e+001dB,-9.02269819305789e+001°)
3.46736850452531e+002	(-1.31672300579702e+001dB,-9.02322690250357e+001°)
3.54813389233575e+002	(-1.29672309236018e+001dB,-9.02376792721792e+001°)
3.63078054770101e+002	(-1.27672318300299e+001dB,-9.02432155406351e+001°)
3.71535229097172e+002	(-1.25672327791773e+001dB,-9.02488807658503e+001°)
3.80189396320560e+002	(-1.23672337730573e+001dB,-9.02546779516493e+001°)
3.89045144994280e+002	(-1.21672348137782e+001dB,-9.02606101718276e+001°)
3.98107170553496e+002	(-1.19672359035475e+001dB,-9.02666805717809e+001°)
4.07380277804112e+002	(-1.17672370446770e+001dB,-9.02728923701737e+001°)
4.16869383470335e+002	(-1.15672382395872e+001dB,-9.02792488606461e+001°)
4.26579518801592e+002	(-1.13672394908128e+001dB,-9.02857534135601e+001°)
4.36515832240165e+002	(-1.11672408010081e+001dB,-9.02924094777872e+001°)
4.46683592150962e+002	(-1.09672421729522e+001dB,-9.02992205825374e+001°)
4.57088189614874e+002	(-1.07672436095555e+001dB,-9.03061903392307e+001°)
4.67735141287197e+002	(-1.05672451138654e+001dB,-9.03133224434122e+001°)
4.78630092322637e+002	(-1.03672466890728e+001dB,-9.03206206767122e+001°)
4.89778819368445e+002	(-1.01672483385194e+001dB,-9.03280889088515e+001°)
5.01187233627271e+002	(-9.96725006570393e+000dB,-9.03357310996939e+001°)
5.12861383991364e+002	(-9.76725187429044e+000dB,-9.03435513013460e+001°)
5.24807460249771e+002	(-9.56725376811544e+000dB,-9.03515536603065e+001°)
5.37031796370251e+002	(-9.36725575119633e+000dB,-9.03597424196650e+001°)
5.49540873857623e+002	(-9.16725782773985e+000dB,-9.03681219213527e+001°)
5.62341325190348e+002	(-8.96726000215108e+000dB,-9.03766966084453e+001°)
5.75439937337155e+002	(-8.76726227904267e+000dB,-9.03854710275189e+001°)
5.88843655355587e+002	(-8.56726466324469e+000dB,-9.03944498310622e+001°)
6.02559586074356e+002	(-8.36726715981493e+000dB,-9.04036377799437e+001°)
6.16595001861481e+002	(-8.16726977404954e+000dB,-9.04130397459368e+001°)
6.30957344480192e+002	(-7.96727251149431e+000dB,-9.04226607143041e+001°)
6.45654229034654e+002	(-7.76727537795644e+000dB,-9.04325057864419e+001°)
6.60693448007594e+002	(-7.56727837951690e+000dB,-9.04425801825853e+001°)
6.76082975391980e+002	(-7.36728152254322e+000dB,-9.04528892445781e+001°)
6.91830970918935e+002	(-7.16728481370317e+000dB,-9.04634384387059e+001°)
7.07945784384136e+002	(-6.96728825997876e+000dB,-9.04742333585959e+001°)
7.24435960074988e+002	(-6.76729186868116e+000dB,-9.04852797281841e+001°)
7.41310241300916e+002	(-6.56729564746614e+000dB,-9.04965834047520e+001°)
7.58577575029182e+002	(-6.36729960435039e+000dB,-9.05081503820334e+001°)
7.76247116628690e+002	(-6.16730374772848e+000dB,-9.05199867933947e+001°)
7.94328234724279e+002	(-5.96730808639075e+000dB,-9.05320989150884e+001°)
8.12830516164097e+002	(-5.76731262954186e+000dB,-9.05444931695831e+001°)
8.31763771102669e+002	(-5.56731738682044e+000dB,-9.05571761289710e+001°)
8.51138038202374e+002	(-5.36732236831947e+000dB,-9.05701545184545e+001°)
8.70963589956078e+002	(-5.16732758460778e+000dB,-9.05834352199153e+001°)
8.91250938133743e+002	(-4.96733304675241e+000dB,-9.05970252755651e+001°)
9.12010839355907e+002	(-4.76733876634218e+000dB,-9.06109318916829e+001°)
9.33254300796988e+002	(-4.56734475551223e+000dB,-9.06251624424389e+001°)
9.54992586021433e+002	(-4.36735102696986e+000dB,-9.06397244738076e+001°)
9.77237220955808e+002	(-4.16735759402140e+000dB,-9.06546257075723e+001°)
9.99999999999997e+002	(-3.96736447060063e+000dB,-9.06698740454233e+001°)
1.02329299228075e+003	(-3.76737167129821e+000dB,-9.06854775731516e+001°)
1.04712854805090e+003	(-3.56737921139276e+000dB,-9.07014445649400e+001°)
1.07151930523760e+003	(-3.36738710688328e+000dB,-9.07177834877557e+001°)
1.09647819614318e+003	(-3.16739537452317e+000dB,-9.07345030058439e+001°)
1.12201845430196e+003	(-2.96740403185574e+000dB,-9.07516119853275e+001°)
1.14815362149688e+003	(-2.76741309725155e+000dB,-9.07691194989135e+001°)
1.17489755493953e+003	(-2.56742258994740e+000dB,-9.07870348307103e+001°)
1.20226443461741e+003	(-2.36743253008722e+000dB,-9.08053674811559e+001°)
1.23026877081238e+003	(-2.16744293876485e+000dB,-9.08241271720632e+001°)
1.25892541179416e+003	(-1.96745383806889e+000dB,-9.08433238517819e+001°)
1.28824955169313e+003	(-1.76746525112961e+000dB,-9.08629677004812e+001°)
1.31825673855640e+003	(-1.56747720216816e+000dB,-9.08830691355565e+001°)
1.34896288259165e+003	(-1.36748971654796e+000dB,-9.09036388171622e+001°)
1.38038426460288e+003	(-1.16750282082874e+000dB,-9.09246876538736e+001°)
1.41253754462275e+003	(-9.67516542822879e-001dB,-9.09462268084821e+001°)
1.44543977074592e+003	(-7.67530911654650e-001dB,-9.09682677039246e+001°)
1.47910838816820e+003	(-5.67545957822052e-001dB,-9.09908220293531e+001°)
1.51356124843620e+003	(-3.67561713261746e-001dB,-9.10139017463456e+001°)
1.54881661891248e+003	(-1.67578211416933e-001dB,-9.10375190952619e+001°)
1.58489319246111e+003	(3.24045126914833e-002dB,-9.10616866017496e+001°)
1.62181009735892e+003	(2.32386422390410e-001dB,-9.10864170834008e+001°)
1.65958690743755e+003	(4.32367479276503e-001dB,-9.11117236565665e+001°)
1.69824365246174e+003	(6.32347643134479e-001dB,-9.11376197433288e+001°)
1.73780082874937e+003	(8.32326871851487e-001dB,-9.11641190786380e+001°)
1.77827941003892e+003	(1.03230512132751e+000dB,-9.11912357176164e+001°)
1.81970085860998e+003	(1.23228234538138e+000dB,-9.12189840430337e+001°)
1.86208713666286e+003	(1.43225849565258e+000dB,-9.12473787729569e+001°)
1.90546071796324e+003	(1.63223352149808e+000dB,-9.12764349685808e+001°)
1.94984459975804e+003	(1.83220736988459e+000dB,-9.13061680422420e+001°)
1.99526231496887e+003	(2.03217998527546e+000dB,-9.13365937656205e+001°)
2.04173794466952e+003	(2.23215130951239e+000dB,-9.13677282781347e+001°)
2.08929613085403e+003	(2.43212128169146e+000dB,-9.13995880955335e+001°)
2.13796208950222e+003	(2.63208983803322e+000dB,-9.14321901186901e+001°)
2.18776162394954e+003	(2.83205691174673e+000dB,-9.14655516426032e+001°)
