Freq.	V(output)/V(input)
1.00000000000000e-008	(1.10235667122733e+002dB,1.79999882070674e+002°)
1.02329299228075e-008	(1.10235667122732e+002dB,1.79999879323747e+002°)
1.04712854805090e-008	(1.10235667122731e+002dB,1.79999876512836e+002°)
1.07151930523761e-008	(1.10235667122730e+002dB,1.79999873636451e+002°)
1.09647819614318e-008	(1.10235667122729e+002dB,1.79999870693065e+002°)
1.12201845430196e-008	(1.10235667122728e+002dB,1.79999867681120e+002°)
1.14815362149688e-008	(1.10235667122727e+002dB,1.79999864599017e+002°)
1.17489755493953e-008	(1.10235667122726e+002dB,1.79999861445123e+002°)
1.20226443461741e-008	(1.10235667122725e+002dB,1.79999858217766e+002°)
1.23026877081238e-008	(1.10235667122723e+002dB,1.79999854915233e+002°)
1.25892541179417e-008	(1.10235667122722e+002dB,1.79999851535775e+002°)
1.28824955169313e-008	(1.10235667122721e+002dB,1.79999848077599e+002°)
1.31825673855641e-008	(1.10235667122719e+002dB,1.79999844538871e+002°)
1.34896288259165e-008	(1.10235667122718e+002dB,1.79999840917717e+002°)
1.38038426460288e-008	(1.10235667122716e+002dB,1.79999837212214e+002°)
1.41253754462275e-008	(1.10235667122714e+002dB,1.79999833420400e+002°)
1.44543977074593e-008	(1.10235667122713e+002dB,1.79999829540262e+002°)
1.47910838816821e-008	(1.10235667122711e+002dB,1.79999825569745e+002°)
1.51356124843621e-008	(1.10235667122709e+002dB,1.79999821506742e+002°)
1.54881661891248e-008	(1.10235667122707e+002dB,1.79999817349100e+002°)
1.58489319246111e-008	(1.10235667122705e+002dB,1.79999813094614e+002°)
1.62181009735893e-008	(1.10235667122703e+002dB,1.79999808741028e+002°)
1.65958690743756e-008	(1.10235667122701e+002dB,1.79999804286035e+002°)
1.69824365246174e-008	(1.10235667122698e+002dB,1.79999799727271e+002°)
1.73780082874937e-008	(1.10235667122696e+002dB,1.79999795062320e+002°)
1.77827941003892e-008	(1.10235667122693e+002dB,1.79999790288708e+002°)
1.81970085860998e-008	(1.10235667122690e+002dB,1.79999785403904e+002°)
1.86208713666287e-008	(1.10235667122687e+002dB,1.79999780405319e+002°)
1.90546071796325e-008	(1.10235667122684e+002dB,1.79999775290302e+002°)
1.94984459975804e-008	(1.10235667122681e+002dB,1.79999770056141e+002°)
1.99526231496888e-008	(1.10235667122678e+002dB,1.79999764700060e+002°)
2.04173794466953e-008	(1.10235667122674e+002dB,1.79999759219220e+002°)
2.08929613085404e-008	(1.10235667122671e+002dB,1.79999753610716e+002°)
2.13796208950223e-008	(1.10235667122667e+002dB,1.79999747871572e+002°)
2.18776162394955e-008	(1.10235667122663e+002dB,1.79999741998746e+002°)
2.23872113856834e-008	(1.10235667122659e+002dB,1.79999735989125e+002°)
2.29086765276777e-008	(1.10235667122655e+002dB,1.79999729839522e+002°)
2.34422881531992e-008	(1.10235667122650e+002dB,1.79999723546676e+002°)
2.39883291901949e-008	(1.10235667122645e+002dB,1.79999717107251e+002°)
2.45470891568503e-008	(1.10235667122640e+002dB,1.79999710517832e+002°)
2.51188643150958e-008	(1.10235667122635e+002dB,1.79999703774926e+002°)
2.57039578276886e-008	(1.10235667122630e+002dB,1.79999696874958e+002°)
2.63026799189538e-008	(1.10235667122624e+002dB,1.79999689814269e+002°)
2.69153480392691e-008	(1.10235667122618e+002dB,1.79999682589115e+002°)
2.75422870333816e-008	(1.10235667122612e+002dB,1.79999675195666e+002°)
2.81838293126445e-008	(1.10235667122605e+002dB,1.79999667630001e+002°)
2.88403150312660e-008	(1.10235667122598e+002dB,1.79999659888109e+002°)
2.95120922666638e-008	(1.10235667122591e+002dB,1.79999651965885e+002°)
3.01995172040201e-008	(1.10235667122583e+002dB,1.79999643859129e+002°)
3.09029543251359e-008	(1.10235667122575e+002dB,1.79999635563543e+002°)
3.16227766016838e-008	(1.10235667122567e+002dB,1.79999627074727e+002°)
3.23593656929628e-008	(1.10235667122559e+002dB,1.79999618388182e+002°)
3.31131121482591e-008	(1.10235667122549e+002dB,1.79999609499301e+002°)
3.38844156139202e-008	(1.10235667122540e+002dB,1.79999600403371e+002°)
3.46736850452531e-008	(1.10235667122530e+002dB,1.79999591095570e+002°)
3.54813389233575e-008	(1.10235667122520e+002dB,1.79999581570962e+002°)
3.63078054770101e-008	(1.10235667122509e+002dB,1.79999571824497e+002°)
3.71535229097172e-008	(1.10235667122497e+002dB,1.79999561851009e+002°)
3.80189396320561e-008	(1.10235667122485e+002dB,1.79999551645208e+002°)
3.89045144994280e-008	(1.10235667122473e+002dB,1.79999541201683e+002°)
3.98107170553497e-008	(1.10235667122460e+002dB,1.79999530514897e+002°)
4.07380277804112e-008	(1.10235667122446e+002dB,1.79999519579184e+002°)
4.16869383470335e-008	(1.10235667122431e+002dB,1.79999508388746e+002°)
4.26579518801592e-008	(1.10235667122416e+002dB,1.79999496937649e+002°)
4.36515832240165e-008	(1.10235667122401e+002dB,1.79999485219822e+002°)
4.46683592150962e-008	(1.10235667122384e+002dB,1.79999473229051e+002°)
4.57088189614874e-008	(1.10235667122367e+002dB,1.79999460958979e+002°)
4.67735141287197e-008	(1.10235667122349e+002dB,1.79999448403101e+002°)
4.78630092322637e-008	(1.10235667122330e+002dB,1.79999435554758e+002°)
4.89778819368445e-008	(1.10235667122310e+002dB,1.79999422407140e+002°)
5.01187233627271e-008	(1.10235667122289e+002dB,1.79999408953274e+002°)
5.12861383991364e-008	(1.10235667122267e+002dB,1.79999395186027e+002°)
5.24807460249771e-008	(1.10235667122244e+002dB,1.79999381098100e+002°)
5.37031796370251e-008	(1.10235667122221e+002dB,1.79999366682023e+002°)
5.49540873857623e-008	(1.10235667122196e+002dB,1.79999351930152e+002°)
5.62341325190348e-008	(1.10235667122169e+002dB,1.79999336834666e+002°)
5.75439937337156e-008	(1.10235667122142e+002dB,1.79999321387561e+002°)
5.88843655355588e-008	(1.10235667122113e+002dB,1.79999305580647e+002°)
6.02559586074356e-008	(1.10235667122083e+002dB,1.79999289405542e+002°)
6.16595001861481e-008	(1.10235667122052e+002dB,1.79999272853671e+002°)
6.30957344480192e-008	(1.10235667122019e+002dB,1.79999255916257e+002°)
6.45654229034654e-008	(1.10235667121984e+002dB,1.79999238584320e+002°)
6.60693448007594e-008	(1.10235667121948e+002dB,1.79999220848670e+002°)
6.76082975391980e-008	(1.10235667121910e+002dB,1.79999202699904e+002°)
6.91830970918935e-008	(1.10235667121871e+002dB,1.79999184128400e+002°)
7.07945784384136e-008	(1.10235667121829e+002dB,1.79999165124309e+002°)
7.24435960074988e-008	(1.10235667121786e+002dB,1.79999145677556e+002°)
7.41310241300916e-008	(1.10235667121740e+002dB,1.79999125777830e+002°)
7.58577575029182e-008	(1.10235667121692e+002dB,1.79999105414579e+002°)
7.76247116628690e-008	(1.10235667121643e+002dB,1.79999084577008e+002°)
7.94328234724279e-008	(1.10235667121590e+002dB,1.79999063254067e+002°)
8.12830516164097e-008	(1.10235667121536e+002dB,1.79999041434451e+002°)
8.31763771102669e-008	(1.10235667121478e+002dB,1.79999019106592e+002°)
8.51138038202374e-008	(1.10235667121418e+002dB,1.79998996258649e+002°)
8.70963589956078e-008	(1.10235667121356e+002dB,1.79998972878509e+002°)
8.91250938133743e-008	(1.10235667121290e+002dB,1.79998948953777e+002°)
9.12010839355907e-008	(1.10235667121221e+002dB,1.79998924471765e+002°)
9.33254300796988e-008	(1.10235667121149e+002dB,1.79998899419494e+002°)
9.54992586021433e-008	(1.10235667121073e+002dB,1.79998873783681e+002°)
9.77237220955808e-008	(1.10235667120994e+002dB,1.79998847550733e+002°)
9.99999999999997e-008	(1.10235667120911e+002dB,1.79998820706741e+002°)
1.02329299228075e-007	(1.10235667120825e+002dB,1.79998793237472e+002°)
1.04712854805090e-007	(1.10235667120734e+002dB,1.79998765128362e+002°)
1.07151930523760e-007	(1.10235667120639e+002dB,1.79998736364506e+002°)
1.09647819614318e-007	(1.10235667120539e+002dB,1.79998706930655e+002°)
1.12201845430196e-007	(1.10235667120435e+002dB,1.79998676811200e+002°)
1.14815362149688e-007	(1.10235667120326e+002dB,1.79998645990174e+002°)
