Freq.	V(input)/I(R1666)
1.00000000000000e+000	(6.51063327215708e+001dB,-1.79999963654608e+002°)
1.25892541179417e+000	(6.51063328143677e+001dB,-1.79999954266097e+002°)
1.58489319246111e+000	(6.51063329612563e+001dB,-1.79999942468736e+002°)
1.99526231496888e+000	(6.51063331935961e+001dB,-1.79999927660660e+002°)
2.51188643150958e+000	(6.51063335606717e+001dB,-1.79999909105655e+002°)
3.16227766016838e+000	(6.51063341395565e+001dB,-1.79999885919207e+002°)
3.98107170553497e+000	(6.51063350498359e+001dB,-1.79999857070505e+002°)
5.01187233627272e+000	(6.51063364747455e+001dB,-1.79999821421623e+002°)
6.30957344480194e+000	(6.51063386894718e+001dB,-1.79999777842735e+002°)
7.94328234724282e+000	(6.51063420941426e+001dB,-1.79999725467761e+002°)
1.00000000000000e+001	(6.51063472405852e+001dB,-1.79999664179332e+002°)
1.25892541179417e+001	(6.51063548249094e+001dB,-1.79999595399204e+002°)
1.58489319246111e+001	(6.51063655940047e+001dB,-1.79999523122118e+002°)
1.99526231496888e+001	(6.51063801047113e+001dB,-1.79999454750353e+002°)
2.51188643150958e+001	(6.51063983357172e+001dB,-1.79999400729007e+002°)
3.16227766016838e+001	(6.51064193292439e+001dB,-1.79999371913973e+002°)
3.98107170553498e+001	(6.51064412096380e+001dB,-1.79999375073355e+002°)
5.01187233627273e+001	(6.51064617676999e+001dB,-1.79999409363706e+002°)
6.30957344480194e+001	(6.51064792847088e+001dB,-1.79999466788909e+002°)
7.94328234724283e+001	(6.51064930097055e+001dB,-1.79999536221749e+002°)
1.00000000000000e+002	(6.51065030736753e+001dB,-1.79999607679843e+002°)
1.25892541179417e+002	(6.51065100999850e+001dB,-1.79999674451678e+002°)
1.58489319246112e+002	(6.51065148391913e+001dB,-1.79999733114308e+002°)
1.99526231496888e+002	(6.51065179618446e+001dB,-1.79999782592775e+002°)
2.51188643150958e+002	(6.51065199877577e+001dB,-1.79999823154081e+002°)
3.16227766016838e+002	(6.51065212889619e+001dB,-1.79999855678324e+002°)
3.98107170553498e+002	(6.51065221193037e+001dB,-1.79999881224379e+002°)
5.01187233627273e+002	(6.51065226469844e+001dB,-1.79999900804804e+002°)
6.30957344480194e+002	(6.51065229814435e+001dB,-1.79999915284570e+002°)
7.94328234724283e+002	(6.51065231930804e+001dB,-1.79999925344584e+002°)
1.00000000000000e+003	(6.51065233268586e+001dB,-1.79999931475026e+002°)
1.25892541179417e+003	(6.51065234113667e+001dB,-1.79999933979421e+002°)
1.58489319246112e+003	(6.51065234647313e+001dB,-1.79999932979601e+002°)
1.99526231496888e+003	(6.51065234984255e+001dB,-1.79999928416531e+002°)
2.51188643150959e+003	(6.51065235197040e+001dB,-1.79999920044303e+002°)
3.16227766016839e+003	(6.51065235331524e+001dB,-1.79999907415608e+002°)
3.98107170553498e+003	(6.51065235416708e+001dB,-1.79999889857189e+002°)
5.01187233627273e+003	(6.51065235470966e+001dB,-1.79999866433627e+002°)
6.30957344480195e+003	(6.51065235506006e+001dB,-1.79999835897346e+002°)
7.94328234724283e+003	(6.51065235529390e+001dB,-1.79999796622077e+002°)
1.00000000000000e+004	(6.51065235546164e+001dB,-1.79999746516204e+002°)
1.25892541179417e+004	(6.51065235559948e+001dB,-1.79999682911354e+002°)
1.58489319246112e+004	(6.51065235573718e+001dB,-1.79999602420258e+002°)
1.99526231496889e+004	(6.51065235590447e+001dB,-1.79999500756337e+002°)
2.51188643150959e+004	(6.51065235613747e+001dB,-1.79999372505354e+002°)
3.16227766016839e+004	(6.51065235648650e+001dB,-1.79999210836961e+002°)
3.98107170553498e+004	(6.51065235702697e+001dB,-1.79999007140693e+002°)
5.01187233627274e+004	(6.51065235787574e+001dB,-1.79998750566927e+002°)
6.30957344480195e+004	(6.51065235921648e+001dB,-1.79998427448073e+002°)
7.94328234724284e+004	(6.51065236133981e+001dB,-1.79998020568693e+002°)
1.00000000000000e+005	(6.51065236470704e+001dB,-1.79997508244650e+002°)
1.25892541179417e+005	(6.51065237005255e+001dB,-1.79996863160251e+002°)
1.58489319246112e+005	(6.51065237854915e+001dB,-1.79996050897409e+002°)
1.99526231496889e+005	(6.51065239207854e+001dB,-1.79995028070498e+002°)
2.51188643150959e+005	(6.51065241368088e+001dB,-1.79993739951539e+002°)
3.16227766016839e+005	(6.51065244832019e+001dB,-1.79992117427303e+002°)
3.98107170553499e+005	(6.51065250423045e+001dB,-1.79990073062559e+002°)
5.01187233627274e+005	(6.51065259538395e+001dB,-1.79987495932653e+002°)
6.30957344480196e+005	(6.51065274624823e+001dB,-1.79984244696690e+002°)
7.94328234724285e+005	(6.51065300146170e+001dB,-1.79980138036930e+002°)
1.00000000000000e+006	(6.51065344658971e+001dB,-1.79974940948299e+002°)
