Circuit: * C:\Users\ariel\InformesTC\TP2\graficos\ejercicio4\spice\integrador.asc

Direct Newton iteration failed to find .op point.  (Use ".option noopiter" to skip.)
Starting Gmin stepping
Increasing initial diagonal Gmin to 100
Increasing initial diagonal Gmin to 1000
Increasing initial diagonal Gmin to 10000
Increasing initial diagonal Gmin to 100000
Gmin = 100000
Gmin = 10737.4
Gmin = 1152.92
vernier = 0.5
vernier = 0.25
Gmin = 675.08
vernier = 0.333333
vernier = 0.166667
vernier = 0.222222
Gmin = 461.926
vernier = 0.111111
vernier = 0.148148
vernier = 0.074074
Gmin = 409.845
vernier = 0.0987653
vernier = 0.0493827
Gmin = 360.416
vernier = 0.0658435
vernier = 0.0877914
vernier = 0.0438957
Gmin = 319.295
vernier = 0.0585276
vernier = 0.0292638
Gmin = 288.402
vernier = 0.0390184
Gmin = 264.905
vernier = 0.0520245
vernier = 0.0260122
vernier = 0.034683
Gmin = 249.632
vernier = 0.046244
vernier = 0.023122
Gmin = 235.662
vernier = 0.0308293
vernier = 0.0411057
vernier = 0.0205529
Gmin = 222.615
vernier = 0.0274038
Gmin = 209.344
vernier = 0.0365384
vernier = 0.0182692
vernier = 0.0243589
Gmin = 200.934
vernier = 0.0324786
vernier = 0.0162393
Gmin = 193.351
vernier = 0.0216524
vernier = 0.0288698
vernier = 0.0144349
Gmin = 185.845
vernier = 0.0192465
vernier = 0.025662
Gmin = 177.489
vernier = 0.012831
vernier = 0.017108
Gmin = 172.815
vernier = 0.0228107
vernier = 0.0114053
vernier = 0.0152071
Gmin = 168.284
vernier = 0.0202762
vernier = 0.0101381
Gmin = 163.872
vernier = 0.0135174
vernier = 0.0180232
vernier = 0.00901162
Gmin = 159.777
vernier = 0.0120155
Gmin = 155.638
vernier = 0.0160207
vernier = 0.0213609
vernier = 0.0106804
Gmin = 151.091
vernier = 0.0142406
Gmin = 146.334
vernier = 0.0189874
vernier = 0.00949371
vernier = 0.0126583
Gmin = 143.246
vernier = 0.0168777
vernier = 0.00843885
Gmin = 140.407
vernier = 0.0112518
vernier = 0.0150024
vernier = 0.0075012
Gmin = 137.544
vernier = 0.0100016
vernier = 0.0133355
Gmin = 134.292
vernier = 0.00666773
vernier = 0.0088903
Gmin = 132.44
vernier = 0.0118537
vernier = 0.00592687
Gmin = 130.109
vernier = 0.00790249
vernier = 0.0105366
Gmin = 127.525
vernier = 0.0140489
vernier = 0.00702443
Gmin = 125.307
vernier = 0.0093659
vernier = 0.0124879
vernier = 0.00624394
Gmin = 123.152
vernier = 0.00832524
Gmin = 120.869
vernier = 0.0111003
vernier = 0.00555016
vernier = 0.00740021
Gmin = 119.37
vernier = 0.00986695
vernier = 0.00493347
Gmin = 117.981
vernier = 0.00657796
vernier = 0.00877062
Gmin = 115.804
vernier = 0.0116942
vernier = 0.00584708
vernier = 0.0077961
Gmin = 114.236
vernier = 0.0103948
vernier = 0.0051974
Gmin = 112.69
vernier = 0.00692986
vernier = 0.00923982
vernier = 0.00461991
Gmin = 111.236
vernier = 0.00615988
Gmin = 109.748
vernier = 0.00821317
vernier = 0.00410658
Gmin = 108.35
vernier = 0.00547544
vernier = 0.00730059
Gmin = 106.854
vernier = 0.00973411
vernier = 0.00486706
Gmin = 105.563
vernier = 0.00648941
vernier = 0.00865254
vernier = 0.00432627
Gmin = 104.301
vernier = 0.00576836
Gmin = 102.957
vernier = 0.00769114
vernier = 0.00384557
vernier = 0.00512743
Gmin = 102.07
vernier = 0.00683657
vernier = 0.00911542
Gmin = 100.414
vernier = 0.00455771
vernier = 0.00607695
Gmin = 99.4652
vernier = 0.00810259
vernier = 0.0040513
vernier = 0.00540173
Gmin = 98.5299
vernier = 0.0072023
vernier = 0.00360115
Gmin = 97.6035
vernier = 0.00480153
vernier = 0.00640204
Gmin = 96.4203
vernier = 0.00320102
Gmin = 95.5758
vernier = 0.00426803
vernier = 0.0056907
Gmin = 94.4277
vernier = 0.0075876
vernier = 0.0037938
vernier = 0.0050584
Gmin = 93.596
vernier = 0.00674453
vernier = 0.00337227
Gmin = 92.7716
vernier = 0.00449635
vernier = 0.00599514
vernier = 0.00299757
Gmin = 91.9931
vernier = 0.00399676
Gmin = 91.1927
vernier = 0.00532901
vernier = 0.00710534
vernier = 0.00355267
Gmin = 90.2966
vernier = 0.00473689
Gmin = 89.3399
vernier = 0.00631586
vernier = 0.00315793
vernier = 0.00421057
Gmin = 88.7076
vernier = 0.00561409
vernier = 0.00280705
Gmin = 88.1185
vernier = 0.00374273
vernier = 0.0049903
Gmin = 87.1895
vernier = 0.00665373
vernier = 0.00332687
vernier = 0.00443582
Gmin = 86.5156
vernier = 0.00591443
vernier = 0.00295721
Gmin = 85.8469
vernier = 0.00394295
vernier = 0.00525726
vernier = 0.00262863
Gmin = 85.2149
vernier = 0.00350484
Gmin = 84.5643
vernier = 0.00467312
vernier = 0.00623083
vernier = 0.00311541
Gmin = 83.8352
vernier = 0.00415388
Gmin = 83.0556
vernier = 0.00553851
vernier = 0.00276926
vernier = 0.00369234
Gmin = 82.5399
vernier = 0.00492312
vernier = 0.00246156
Gmin = 82.059
vernier = 0.00328208
vernier = 0.0043761
Gmin = 81.2998
vernier = 0.0058348
vernier = 0.0029174
vernier = 0.00388987
Gmin = 80.7485
vernier = 0.00518649
vernier = 0.00259324
Gmin = 80.2009
vernier = 0.00345766
vernier = 0.00461021
vernier = 0.0023051
Gmin = 79.6829
vernier = 0.00307347
Gmin = 79.1491
vernier = 0.00409796
vernier = 0.00546395
vernier = 0.00273197
Gmin = 78.5503
vernier = 0.00364263
Gmin = 77.9094
vernier = 0.00485684
vernier = 0.00242842
vernier = 0.00323789
Gmin = 77.485
vernier = 0.00431719
vernier = 0.00215859
Gmin = 77.0889
vernier = 0.00287813
vernier = 0.0038375
Gmin = 76.4631
vernier = 0.00511666
vernier = 0.00255833
vernier = 0.00341111
Gmin = 76.0082
vernier = 0.00454814
vernier = 0.00227407
Gmin = 75.556
vernier = 0.0030321
vernier = 0.00404279
vernier = 0.0020214
Gmin = 75.1278
vernier = 0.00269519
Gmin = 74.6863
vernier = 0.00359359
vernier = 0.00479145
vernier = 0.00239573
Gmin = 74.1905
vernier = 0.0031943
Gmin = 73.6594
vernier = 0.00425907
vernier = 0.00212953
vernier = 0.00283938
Gmin = 73.3074
vernier = 0.00378584
vernier = 0.00189292
Gmin = 72.9787
vernier = 0.00252389
vernier = 0.00336519
Gmin = 72.4589
vernier = 0.00448691
vernier = 0.00224346
vernier = 0.00299128
Gmin = 72.0807
vernier = 0.00398837
vernier = 0.00199418
Gmin = 71.7045
vernier = 0.00265891
vernier = 0.00354521
vernier = 0.00177261
Gmin = 71.348
vernier = 0.00236347
Gmin = 70.9802
vernier = 0.0031513
vernier = 0.00420173
vernier = 0.00210087
Gmin = 70.5668
vernier = 0.00280115
Gmin = 70.1236
vernier = 0.00373487
vernier = 0.00186743
vernier = 0.00248991
Gmin = 69.8296
vernier = 0.00331988
vernier = 0.00442651
Gmin = 69.2767
vernier = 0.00221325
vernier = 0.00295101
Gmin = 68.958
vernier = 0.00393467
vernier = 0.00196734
vernier = 0.00262311
Gmin = 68.6423
vernier = 0.00349749
vernier = 0.00174874
Gmin = 68.328
vernier = 0.00233166
vernier = 0.00310887
Gmin = 67.9244
vernier = 0.00414516
vernier = 0.00207258
Gmin = 67.5735
vernier = 0.00276344
vernier = 0.00368459
vernier = 0.00184229
Gmin = 67.2283
vernier = 0.00245639
Gmin = 66.8578
vernier = 0.00327519
vernier = 0.00163759
vernier = 0.00218346
Gmin = 66.612
vernier = 0.00291128
vernier = 0.0038817
Gmin = 66.1492
vernier = 0.00194085
vernier = 0.0025878
Gmin = 65.8823
vernier = 0.0034504
vernier = 0.0017252
vernier = 0.00230027
Gmin = 65.6177
vernier = 0.00306702
vernier = 0.00153351
Gmin = 65.3541
vernier = 0.00204468
vernier = 0.00272624
Gmin = 65.0155
vernier = 0.00363498
vernier = 0.00181749
Gmin = 64.7208
vernier = 0.00242332
