Freq.	V(out)/V(vin)
5.00000000000000e+000	(-3.46341248448387e+000dB,-1.52504709410513e+002°)
6.29462705897084e+000	(1.78240743382567e+000dB,-1.63755860830660e+002°)
7.92446596230557e+000	(6.69268461301599e+000dB,-1.77585768989593e+002°)
9.97631157484440e+000	(1.11462771090070e+001dB,1.66216106636474e+002°)
1.25594321575479e+001	(1.50264553580643e+001dB,1.48176651426368e+002°)
1.58113883008419e+001	(1.82495363805184e+001dB,1.29142008510511e+002°)
1.99053585276749e+001	(2.07916501789685e+001dB,1.10143411094955e+002°)
2.50593616813636e+001	(2.26969479224862e+001dB,9.21637755115755e+001°)
3.15478672240097e+001	(2.40612902069366e+001dB,7.59263941266507e+001°)
3.97164117362141e+001	(2.50024614829395e+001dB,6.18073518628064e+001°)
5.00000000000000e+001	(2.56335398169866e+001dB,4.98750433075098e+001°)
6.29462705897084e+001	(2.60481533835412e+001dB,3.99917802077134e+001°)
7.92446596230557e+001	(2.63167521373350e+001dB,3.19149053373638e+001°)
9.97631157484440e+001	(2.64891266285630e+001dB,2.53690084635876e+001°)
1.25594321575479e+002	(2.65990580078017e+001dB,2.00874103274474e+001°)
1.58113883008419e+002	(2.66688665940659e+001dB,1.58313741927261e+001°)
1.99053585276749e+002	(2.67130482757516e+001dB,1.23960508082939e+001°)
2.50593616813636e+002	(2.67409088512189e+001dB,9.60958156606403e+000°)
3.15478672240097e+002	(2.67583693837320e+001dB,7.32918596534524e+000°)
3.97164117362141e+002	(2.67691616745429e+001dB,5.43625787409998e+000°)
5.00000000000000e+002	(2.67756004841215e+001dB,3.83142876073010e+000°)
6.29462705897084e+002	(2.67790698524691e+001dB,2.42998060526598e+000°)
7.92446596230557e+002	(2.67803166124655e+001dB,1.15770142813759e+000°)
9.97631157484441e+002	(2.67796097513137e+001dB,-5.28591029505594e-002°)
1.25594321575479e+003	(2.67767983557148e+001dB,-1.26583171585057e+000°)
1.58113883008419e+003	(2.67712805412456e+001dB,-2.54527694064909e+000°)
1.99053585276749e+003	(2.67618780076845e+001dB,-3.95833413788534e+000°)
2.50593616813636e+003	(2.67465931282136e+001dB,-5.57831195734344e+000°)
3.15478672240097e+003	(2.67222062046115e+001dB,-7.48765762206397e+000°)
3.97164117362141e+003	(2.66836505409423e+001dB,-9.78054099892221e+000°)
5.00000000000001e+003	(2.66230891850115e+001dB,-1.25644215545296e+001°)
6.29462705897085e+003	(2.65286301938723e+001dB,-1.59593489500426e+001°)
7.92446596230558e+003	(2.63827039246476e+001dB,-2.00928616644381e+001°)
9.97631157484441e+003	(2.61603674241746e+001dB,-2.50874755674284e+001°)
1.25594321575479e+004	(2.58282773505056e+001dB,-3.10379650329616e+001°)
1.58113883008419e+004	(2.53456934811278e+001dB,-3.79791828754439e+001°)
1.99053585276749e+004	(2.46690475994277e+001dB,-4.58541642189873e+001°)
2.50593616813637e+004	(2.37602087618092e+001dB,-5.45034373014353e+001°)
3.15478672240097e+004	(2.25952810618975e+001dB,-6.36960392456462e+001°)
3.97164117362142e+004	(2.11682629776644e+001dB,-7.31978371045976e+001°)
5.00000000000001e+004	(1.94862060837327e+001dB,-8.28388818686986e+001°)
6.29462705897085e+004	(1.75587206890496e+001dB,-9.25363532552720e+001°)
7.92446596230558e+004	(1.53886727577102e+001dB,-1.02261088935442e+002°)
9.97631157484442e+004	(1.29696532839212e+001dB,-1.11971791440689e+002°)
1.25594321575479e+005	(1.02916230880635e+001dB,-1.21557803403492e+002°)
1.58113883008419e+005	(7.35151201747889e+000dB,-1.30827280883076e+002°)
1.99053585276749e+005	(4.16213854890900e+000dB,-1.39552099641187e+002°)
2.50593616813637e+005	(7.53578383934533e-001dB,-1.47542220617617e+002°)
3.15478672240097e+005	(-2.83328981162937e+000dB,-1.54703002467143e+002°)
3.97164117362142e+005	(-6.55610122733721e+000dB,-1.61049345102725e+002°)
5.00000000000000e+005	(-1.03781475409289e+001dB,-1.66685023438900e+002°)
