Freq.	V(vo)
1.00000000000000e+001	4.14163452710222e-001,-9.65126369198796e-004
1.00230523807790e+001	4.14163322343766e-001,-9.67351007700073e-004
1.00461579027840e+001	4.14163191375544e-001,-9.69580773083950e-004
1.00693166885180e+001	4.14163059802778e-001,-9.71815677159114e-004
1.00925288607668e+001	4.14162927622676e-001,-9.74055731761438e-004
1.01157945425990e+001	4.14162794832436e-001,-9.76300948754005e-004
1.01391138573668e+001	4.14162661429241e-001,-9.78551340027157e-004
1.01624869287070e+001	4.14162527410261e-001,-9.80806917498598e-004
1.01859138805412e+001	4.14162392772654e-001,-9.83067693113421e-004
1.02093948370768e+001	4.14162257513565e-001,-9.85333678844193e-004
1.02329299228075e+001	4.14162121630124e-001,-9.87604886690999e-004
1.02565192625141e+001	4.14161985119448e-001,-9.89881328681520e-004
1.02801629812647e+001	4.14161847978644e-001,-9.92163016871085e-004
1.03038612044162e+001	4.14161710204802e-001,-9.94449963342746e-004
1.03276140576140e+001	4.14161571795000e-001,-9.96742180207331e-004
1.03514216667934e+001	4.14161432746302e-001,-9.99039679603522e-004
1.03752841581801e+001	4.14161293055759e-001,-1.00134247369790e-003
1.03992016582906e+001	4.14161152720408e-001,-1.00365057468501e-003
1.04231742939330e+001	4.14161011737273e-001,-1.00596399478744e-003
1.04472021922080e+001	4.14160870103363e-001,-1.00828274625588e-003
1.04712854805090e+001	4.14160727815674e-001,-1.01060684136918e-003
1.04954242865232e+001	4.14160584871189e-001,-1.01293629243441e-003
1.05196187382322e+001	4.14160441266874e-001,-1.01527111178696e-003
1.05438689639126e+001	4.14160296999686e-001,-1.01761131179054e-003
1.05681750921366e+001	4.14160152066563e-001,-1.01995690483731e-003
1.05925372517729e+001	4.14160006464431e-001,-1.02230790334790e-003
1.06169555719872e+001	4.14159860190203e-001,-1.02466431977151e-003
1.06414301822431e+001	4.14159713240776e-001,-1.02702616658593e-003
1.06659612123026e+001	4.14159565613032e-001,-1.02939345629767e-003
1.06905487922266e+001	4.14159417303840e-001,-1.03176620144194e-003
1.07151930523761e+001	4.14159268310057e-001,-1.03414441458281e-003
1.07398941234124e+001	4.14159118628519e-001,-1.03652810831321e-003
1.07646521362983e+001	4.14158968256054e-001,-1.03891729525500e-003
1.07894672222983e+001	4.14158817189471e-001,-1.04131198805908e-003
1.08143395129794e+001	4.14158665425567e-001,-1.04371219940544e-003
1.08392691402120e+001	4.14158512961121e-001,-1.04611794200315e-003
1.08642562361706e+001	4.14158359792902e-001,-1.04852922859054e-003
1.08893009333343e+001	4.14158205917659e-001,-1.05094607193524e-003
1.09144033644875e+001	4.14158051332129e-001,-1.05336848483418e-003
1.09395636627209e+001	4.14157896033034e-001,-1.05579648011370e-003
1.09647819614318e+001	4.14157740017079e-001,-1.05823007062966e-003
1.09900583943252e+001	4.14157583280955e-001,-1.06066926926743e-003
1.10153930954141e+001	4.14157425821337e-001,-1.06311408894201e-003
1.10407861990207e+001	4.14157267634886e-001,-1.06556454259809e-003
1.10662378397766e+001	4.14157108718247e-001,-1.06802064321007e-003
1.10917481526240e+001	4.14156949068049e-001,-1.07048240378223e-003
1.11173172728159e+001	4.14156788680906e-001,-1.07294983734867e-003
1.11429453359173e+001	4.14156627553415e-001,-1.07542295697350e-003
1.11686324778056e+001	4.14156465682159e-001,-1.07790177575081e-003
1.11943788346715e+001	4.14156303063706e-001,-1.08038630680480e-003
1.12201845430196e+001	4.14156139694605e-001,-1.08287656328983e-003
1.12460497396692e+001	4.14155975571391e-001,-1.08537255839048e-003
1.12719745617551e+001	4.14155810690584e-001,-1.08787430532164e-003
1.12979591467279e+001	4.14155645048685e-001,-1.09038181732855e-003
1.13240036323555e+001	4.14155478642183e-001,-1.09289510768691e-003
1.13501081567231e+001	4.14155311467546e-001,-1.09541418970288e-003
1.13762728582343e+001	4.14155143521230e-001,-1.09793907671325e-003
1.14024978756117e+001	4.14154974799671e-001,-1.10046978208542e-003
1.14287833478977e+001	4.14154805299292e-001,-1.10300631921752e-003
1.14551294144553e+001	4.14154635016497e-001,-1.10554870153845e-003
1.14815362149688e+001	4.14154463947674e-001,-1.10809694250798e-003
1.15080038894443e+001	4.14154292089195e-001,-1.11065105561678e-003
1.15345325782109e+001	4.14154119437415e-001,-1.11321105438657e-003
1.15611224219210e+001	4.14153945988670e-001,-1.11577695237007e-003
1.15877735615512e+001	4.14153771739283e-001,-1.11834876315119e-003
1.16144861384034e+001	4.14153596685558e-001,-1.12092650034501e-003
