Freq.	(-V(v1)*10000/(V(v2)-V(v1)))-10000
1.00000000000000e+001	1.15945505065261e+004,-5.90201991985692e+001
1.02329299228075e+001	1.15945251140043e+004,-6.03948015276533e+001
1.04712854805090e+001	1.15944985248488e+004,-6.18014113934494e+001
1.07151930523761e+001	1.15944706826714e+004,-6.32407735559681e+001
1.09647819614319e+001	1.15944415284275e+004,-6.47136500663287e+001
1.12201845430196e+001	1.15944110002903e+004,-6.62208206654576e+001
1.14815362149688e+001	1.15943790335204e+004,-6.77630831918166e+001
1.17489755493953e+001	1.15943455603280e+004,-6.93412539983048e+001
1.20226443461741e+001	1.15943105097297e+004,-7.09561683785204e+001
1.23026877081238e+001	1.15942738073979e+004,-7.26086810026304e+001
1.25892541179417e+001	1.15942353755033e+004,-7.42996663629911e+001
1.28824955169313e+001	1.15941951325499e+004,-7.60300192297218e+001
1.31825673855641e+001	1.15941529932027e+004,-7.78006551165042e+001
1.34896288259165e+001	1.15941088681064e+004,-7.96125107567111e+001
1.38038426460288e+001	1.15940626636966e+004,-8.14665445901522e+001
1.41253754462275e+001	1.15940142820012e+004,-8.33637372606060e+001
1.44543977074593e+001	1.15939636204331e+004,-8.53050921243757e+001
1.47910838816821e+001	1.15939105715729e+004,-8.72916357700495e+001
1.51356124843621e+001	1.15938550229411e+004,-8.93244185497412e+001
1.54881661891248e+001	1.15937968567604e+004,-9.14045151219569e+001
1.58489319246111e+001	1.15937359497060e+004,-9.35330250063813e+001
1.62181009735893e+001	1.15936721726443e+004,-9.57110731507353e+001
1.65958690743756e+001	1.15936053903599e+004,-9.79398105100071e+001
1.69824365246174e+001	1.15935354612690e+004,-1.00220414638197e+002
1.73780082874937e+001	1.15934622371198e+004,-1.02554090292879e+002
1.77827941003892e+001	1.15933855626786e+004,-1.04942070052725e+002
1.81970085860998e+001	1.15933052754016e+004,-1.07385614948356e+002
1.86208713666287e+001	1.15932212050904e+004,-1.09886015106512e+002
1.90546071796325e+001	1.15931331735322e+004,-1.12444590408051e+002
1.94984459975804e+001	1.15930409941225e+004,-1.15062691159746e+002
1.99526231496888e+001	1.15929444714706e+004,-1.17741698780304e+002
2.04173794466953e+001	1.15928434009861e+004,-1.20483026500677e+002
2.08929613085404e+001	1.15927375684461e+004,-1.23288120078964e+002
2.13796208950223e+001	1.15926267495425e+004,-1.26158458530114e+002
2.18776162394955e+001	1.15925107094073e+004,-1.29095554870602e+002
2.23872113856834e+001	1.15923892021165e+004,-1.32100956878360e+002
2.29086765276777e+001	1.15922619701699e+004,-1.35176247868040e+002
2.34422881531992e+001	1.15921287439469e+004,-1.38323047481957e+002
2.39883291901949e+001	1.15919892411371e+004,-1.41543012496751e+002
2.45470891568503e+001	1.15918431661436e+004,-1.44837837646101e+002
2.51188643150958e+001	1.15916902094584e+004,-1.48209256459504e+002
2.57039578276886e+001	1.15915300470094e+004,-1.51659042117381e+002
2.63026799189538e+001	1.15913623394754e+004,-1.55189008322669e+002
2.69153480392691e+001	1.15911867315704e+004,-1.58801010188962e+002
2.75422870333816e+001	1.15910028512931e+004,-1.62496945145341e+002
2.81838293126445e+001	1.15908103091428e+004,-1.66278753858087e+002
2.88403150312660e+001	1.15906086972969e+004,-1.70148421169229e+002
2.95120922666638e+001	1.15903975887515e+004,-1.74107977052087e+002
3.01995172040201e+001	1.15901765364205e+004,-1.78159497583842e+002
3.09029543251359e+001	1.15899450721938e+004,-1.82305105935126e+002
3.16227766016838e+001	1.15897027059507e+004,-1.86546973376654e+002
3.23593656929628e+001	1.15894489245271e+004,-1.90887320302853e+002
3.31131121482591e+001	1.15891831906357e+004,-1.95328417272457e+002
3.38844156139202e+001	1.15889049417340e+004,-1.99872586065920e+002
3.46736850452531e+001	1.15886135888414e+004,-2.04522200759546e+002
3.54813389233575e+001	1.15883085152994e+004,-2.09279688816150e+002
3.63078054770101e+001	1.15879890754759e+004,-2.14147532192048e+002
3.71535229097172e+001	1.15876545934072e+004,-2.19128268460100e+002
3.80189396320561e+001	1.15873043613788e+004,-2.24224491948467e+002
3.89045144994280e+001	1.15869376384384e+004,-2.29438854894724e+002
3.98107170553497e+001	1.15865536488412e+004,-2.34774068614934e+002
4.07380277804112e+001	1.15861515804221e+004,-2.40232904687058e+002
4.16869383470335e+001	1.15857305828930e+004,-2.45818196148321e+002
4.26579518801592e+001	1.15852897660607e+004,-2.51532838705654e+002
4.36515832240165e+001	1.15848281979623e+004,-2.57379791958689e+002
4.46683592150962e+001	1.15843449029147e+004,-2.63362080634297e+002
4.57088189614874e+001	1.15838388594732e+004,-2.69482795831895e+002
4.67735141287197e+001	1.15833089982963e+004,-2.75745096278393e+002
4.78630092322638e+001	1.15827541999118e+004,-2.82152209591660e+002
4.89778819368445e+001	1.15821732923796e+004,-2.88707433551261e+002
5.01187233627271e+001	1.15815650488473e+004,-2.95414137375057e+002
5.12861383991364e+001	1.15809281849928e+004,-3.02275763000090e+002
5.24807460249772e+001	1.15802613563494e+004,-3.09295826366089e+002
5.37031796370252e+001	1.15795631555087e+004,-3.16477918699741e+002
5.49540873857624e+001	1.15788321091945e+004,-3.23825707797641e+002
5.62341325190348e+001	1.15780666752028e+004,-3.31342939305693e+002
5.75439937337156e+001	1.15772652392023e+004,-3.39033437992596e+002
5.88843655355588e+001	1.15764261113883e+004,-3.46901109014616e+002
6.02559586074357e+001	1.15755475229843e+004,-3.54949939168883e+002
6.16595001861481e+001	1.15746276225845e+004,-3.63183998131919e+002
6.30957344480192e+001	1.15736644723292e+004,-3.71607439680116e+002
6.45654229034654e+001	1.15726560439083e+004,-3.80224502888237e+002
6.60693448007595e+001	1.15716002143822e+004,-3.89039513302088e+002
6.76082975391980e+001	1.15704947618148e+004,-3.98056884080904e+002
6.91830970918935e+001	1.15693373607094e+004,-4.07281117104603e+002
7.07945784384136e+001	1.15681255772391e+004,-4.16716804040908e+002
7.24435960074988e+001	1.15668568642633e+004,-4.26368627366707e+002
7.41310241300916e+001	1.15655285561205e+004,-4.36241361337660e+002
7.58577575029182e+001	1.15641378631892e+004,-4.46339872899534e+002
7.76247116628690e+001	1.15626818662062e+004,-4.56669122534250e+002
7.94328234724279e+001	1.15611575103322e+004,-4.67234165033222e+002
8.12830516164097e+001	1.15595615989548e+004,-4.78040150189615e+002
8.31763771102669e+001	1.15578907872180e+004,-4.89092323400948e+002
8.51138038202374e+001	1.15561415752672e+004,-5.00396026172442e+002
8.70963589956078e+001	1.15543103011967e+004,-5.11956696511113e+002
8.91250938133743e+001	1.15523931336909e+004,-5.23779869199430e+002
9.12010839355907e+001	1.15503860643437e+004,-5.35871175936998e+002
9.33254300796988e+001	1.15482848996460e+004,-5.48236345337511e+002
9.54992586021433e+001	1.15460852526267e+004,-5.60881202767362e+002
9.77237220955808e+001	1.15437825341351e+004,-5.73811670011399e+002
9.99999999999997e+001	1.15413719437504e+004,-5.87033764750176e+002
1.02329299228075e+002	1.15388484603048e+004,-6.00553599831742e+002
1.04712854805090e+002	1.15362068320052e+004,-6.14377382320237e+002
1.07151930523760e+002	1.15334415661403e+004,-6.28511412301694e+002
1.09647819614318e+002	1.15305469183565e+004,-6.42962081426580e+002
1.12201845430196e+002	1.15275168814893e+004,-6.57735871166812e+002
1.14815362149688e+002	1.15243451739336e+004,-6.72839350763547e+002
1.17489755493953e+002	1.15210252275374e+004,-6.88279174840394e+002
1.20226443461741e+002	1.15175501750048e+004,-7.04062080654861e+002
1.23026877081238e+002	1.15139128367906e+004,-7.20194884959062e+002
1.25892541179416e+002	1.15101057074714e+004,-7.36684480438610e+002
1.28824955169313e+002	1.15061209415779e+004,-7.53537831696601e+002
1.31825673855640e+002	1.15019503388724e+004,-7.70761970747283e+002
1.34896288259165e+002	1.14975853290550e+004,-7.88363991981694e+002
1.38038426460288e+002	1.14930169558852e+004,-8.06351046564900e+002
1.41253754462275e+002	1.14882358607011e+004,-8.24730336222009e+002
1.44543977074592e+002	1.14832322653246e+004,-8.43509106367066e+002
1.47910838816820e+002	1.14779959543366e+004,-8.62694638526170e+002
1.51356124843620e+002	1.14725162567096e+004,-8.82294242002882e+002
1.54881661891248e+002	1.14667820267858e+004,-9.02315244730657e+002
1.58489319246111e+002	1.14607816245879e+004,-9.22764983253672e+002
1.62181009735892e+002	1.14545028954549e+004,-9.43650791773549e+002
1.65958690743755e+002	1.14479331489917e+004,-9.64979990195749e+002
1.69824365246174e+002	1.14410591373276e+004,-9.86759871105249e+002
1.73780082874937e+002	1.14338670326769e+004,-1.00899768559690e+003
1.77827941003892e+002	1.14263424042004e+004,-1.03170062788135e+003
1.81970085860998e+002	1.14184701941671e+004,-1.05487581858280e+003
1.86208713666286e+002	1.14102346934176e+004,-1.07853028663985e+003
1.90546071796324e+002	1.14016195161370e+004,-1.10267094971576e+003
1.94984459975804e+002	1.13926075739456e+004,-1.12730459301905e+003
1.99526231496887e+002	1.13831810493219e+004,-1.15243784642992e+003
2.04173794466952e+002	1.13733213683752e+004,-1.17807715982213e+003
2.08929613085403e+002	1.13630091729935e+004,-1.20422877646441e+003
2.13796208950222e+002	1.13522242923934e+004,-1.23089870437899e+003
2.18776162394954e+002	1.13409457141102e+004,-1.25809268552898e+003
2.23872113856833e+002	1.13291515544697e+004,-1.28581616269979e+003
2.29086765276776e+002	1.13168190285925e+004,-1.31407424393316e+003
2.34422881531991e+002	1.13039244199913e+004,-1.34287166436617e+003
2.39883291901948e+002	1.12904430498290e+004,-1.37221274532041e+003
2.45470891568502e+002	1.12763492459182e+004,-1.40210135048032e+003
2.51188643150957e+002	1.12616163115527e+004,-1.43254083899260e+003
2.57039578276885e+002	1.12462164942739e+004,-1.46353401531244e+003
2.63026799189537e+002	1.12301209546925e+004,-1.49508307561540e+003
2.69153480392690e+002	1.12132997354946e+004,-1.52718955058797e+003
2.75422870333816e+002	1.11957217307838e+004,-1.55985424440344e+003
2.81838293126444e+002	1.11773546559258e+004,-1.59307716968463e+003
2.88403150312659e+002	1.11581650180814e+004,-1.62685747824940e+003
