Freq.	(-V(v1)*10000/(V(v2)-V(v1)))-10000
1.00000000000000e+001	1.15811222048698e+004,-5.89678437304475e+001
1.02329299228075e+001	1.15810968470752e+004,-6.03412267251823e+001
1.04712854805090e+001	1.15810702942833e+004,-6.17465888676400e+001
1.07151930523761e+001	1.15810424901833e+004,-6.31846742574938e+001
1.09647819614319e+001	1.15810133758112e+004,-6.46562442702025e+001
1.12201845430196e+001	1.15809828894248e+004,-6.61620779553886e+001
1.14815362149688e+001	1.15809509663731e+004,-6.77029724441540e+001
1.17489755493953e+001	1.15809175389593e+004,-6.92797433656592e+001
1.20226443461741e+001	1.15808825362968e+004,-7.08932252729942e+001
1.23026877081238e+001	1.15808458841599e+004,-7.25442720786627e+001
1.25892541179417e+001	1.15808075048255e+004,-7.42337574997850e+001
1.28824955169313e+001	1.15807673169093e+004,-7.59625755133368e+001
1.31825673855641e+001	1.15807252351928e+004,-7.77316408214695e+001
1.34896288259165e+001	1.15806811704431e+004,-7.95418893272474e+001
1.38038426460288e+001	1.15806350292237e+004,-8.13942786209745e+001
1.41253754462275e+001	1.15805867136963e+004,-8.32897884772635e+001
1.44543977074593e+001	1.15805361214144e+004,-8.52294213631639e+001
1.47910838816821e+001	1.15804831451054e+004,-8.72142029574688e+001
1.51356124843621e+001	1.15804276724436e+004,-8.92451826814677e+001
1.54881661891248e+001	1.15803695858129e+004,-9.13234342413479e+001
1.58489319246111e+001	1.15803087620571e+004,-9.34500561825062e+001
1.62181009735893e+001	1.15802450722192e+004,-9.56261724558755e+001
1.65958690743756e+001	1.15801783812688e+004,-9.78529329966841e+001
1.69824365246174e+001	1.15801085478157e+004,-1.00131514315654e+002
1.73780082874937e+001	1.15800354238109e+004,-1.02463120103057e+002
1.77827941003892e+001	1.15799588542332e+004,-1.04848981845677e+002
1.81970085860998e+001	1.15798786767608e+004,-1.07290359457104e+002
1.86208713666287e+001	1.15797947214282e+004,-1.09788541921372e+002
1.90546071796325e+001	1.15797068102664e+004,-1.12344847950350e+002
1.94984459975804e+001	1.15796147569262e+004,-1.14960626654984e+002
1.99526231496888e+001	1.15795183662841e+004,-1.17637258230683e+002
2.04173794466953e+001	1.15794174340295e+004,-1.20376154657028e+002
2.08929613085404e+001	1.15793117462327e+004,-1.23178760412074e+002
2.13796208950223e+001	1.15792010788922e+004,-1.26046553201392e+002
2.18776162394955e+001	1.15790851974614e+004,-1.28981044702111e+002
2.23872113856834e+001	1.15789638563527e+004,-1.31983781322166e+002
2.29086765276777e+001	1.15788367984180e+004,-1.35056344974934e+002
2.34422881531992e+001	1.15787037544056e+004,-1.38200353869432e+002
2.39883291901949e+001	1.15785644423914e+004,-1.41417463316343e+002
2.45470891568503e+001	1.15784185671826e+004,-1.44709366549954e+002
2.51188643150958e+001	1.15782658196949e+004,-1.48077795566247e+002
2.57039578276886e+001	1.15781058762992e+004,-1.51524521977279e+002
2.63026799189538e+001	1.15779383981388e+004,-1.55051357881995e+002
2.69153480392691e+001	1.15777630304134e+004,-1.58660156753594e+002
2.75422870333816e+001	1.15775794016309e+004,-1.62352814343645e+002
2.81838293126445e+001	1.15773871228233e+004,-1.66131269602926e+002
2.88403150312660e+001	1.15771857867260e+004,-1.69997505619225e+002
2.95120922666638e+001	1.15769749669191e+004,-1.73953550572059e+002
3.01995172040201e+001	1.15767542169285e+004,-1.78001478704388e+002
3.09029543251359e+001	1.15765230692843e+004,-1.82143411311393e+002
3.16227766016838e+001	1.15762810345363e+004,-1.86381517746227e+002
3.23593656929628e+001	1.15760276002228e+004,-1.90718016442819e+002
3.31131121482591e+001	1.15757622297913e+004,-1.95155175955526e+002
3.38844156139202e+001	1.15754843614693e+004,-1.99695316015711e+002
3.46736850452531e+001	1.15751934070817e+004,-2.04340808604946e+002
3.54813389233575e+001	1.15748887508141e+004,-2.09094079044754e+002
3.63078054770101e+001	1.15745697479178e+004,-2.13957607102697e+002
3.71535229097172e+001	1.15742357233540e+004,-2.18933928114471e+002
3.80189396320561e+001	1.15738859703766e+004,-2.24025634121710e+002
3.89045144994280e+001	1.15735197490474e+004,-2.29235375025164e+002
3.98107170553497e+001	1.15731362846830e+004,-2.34565859752783e+002
4.07380277804112e+001	1.15727347662300e+004,-2.40019857442225e+002
4.16869383470335e+001	1.15723143445638e+004,-2.45600198637158e+002
4.26579518801592e+001	1.15718741307096e+004,-2.51309776496793e+002
4.36515832240165e+001	1.15714131939801e+004,-2.57151548017849e+002
4.46683592150962e+001	1.15709305600276e+004,-2.63128535268131e+002
4.57088189614874e+001	1.15704252088055e+004,-2.69243826630858e+002
4.67735141287197e+001	1.15698960724361e+004,-2.75500578058562e+002
4.78630092322638e+001	1.15693420329796e+004,-2.81902014335628e+002
4.89778819368445e+001	1.15687619201003e+004,-2.88451430348036e+002
5.01187233627271e+001	1.15681545086252e+004,-2.95152192358946e+002
5.12861383991364e+001	1.15675185159906e+004,-3.02007739288637e+002
5.24807460249772e+001	1.15668525995706e+004,-3.09021583997043e+002
5.37031796370252e+001	1.15661553538839e+004,-3.16197314567083e+002
5.49540873857624e+001	1.15654253076716e+004,-3.23538595586641e+002
5.62341325190348e+001	1.15646609208415e+004,-3.31049169427089e+002
5.75439937337156e+001	1.15638605812732e+004,-3.38732857515847e+002
5.88843655355588e+001	1.15630226014761e+004,-3.46593561600303e+002
6.02559586074357e+001	1.15621452150965e+004,-3.54635265000202e+002
6.16595001861481e+001	1.15612265732641e+004,-3.62862033845458e+002
6.30957344480192e+001	1.15602647407743e+004,-3.71278018295753e+002
6.45654229034654e+001	1.15592576920953e+004,-3.79887453738363e+002
6.60693448007595e+001	1.15582033071960e+004,-3.88694661960150e+002
6.76082975391980e+001	1.15570993671849e+004,-3.97704052289238e+002
6.91830970918935e+001	1.15559435497518e+004,-4.06920122701741e+002
7.07945784384136e+001	1.15547334244052e+004,-4.16347460888377e+002
7.24435960074988e+001	1.15534664474953e+004,-4.25990745275324e+002
7.41310241300916e+001	1.15521399570145e+004,-4.35854745993527e+002
7.58577575029182e+001	1.15507511671654e+004,-4.45944325789695e+002
7.76247116628690e+001	1.15492971626869e+004,-4.56264440872228e+002
7.94328234724279e+001	1.15477748929282e+004,-4.66820141684403e+002
8.12830516164097e+001	1.15461811656606e+004,-4.77616573596722e+002
8.31763771102669e+001	1.15445126406154e+004,-4.88658977509674e+002
8.51138038202374e+001	1.15427658227385e+004,-4.99952690357361e+002
8.70963589956078e+001	1.15409370551478e+004,-5.11503145502042e+002
8.91250938133743e+001	1.15390225117844e+004,-5.23315873008434e+002
9.12010839355907e+001	1.15370181897427e+004,-5.35396499786172e+002
9.33254300796988e+001	1.15349199012689e+004,-5.47750749587740e+002
9.54992586021433e+001	1.15327232654140e+004,-5.60384442848309e+002
9.77237220955808e+001	1.15304236993277e+004,-5.73303496352906e+002
9.99999999999997e+001	1.15280164091811e+004,-5.86513922715308e+002
1.02329299228075e+002	1.15254963807024e+004,-6.00021829651863e+002
1.04712854805090e+002	1.15228583693132e+004,-6.13833419032231e+002
1.07151930523760e+002	1.15200968898488e+004,-6.27954985687801e+002
1.09647819614318e+002	1.15172062058501e+004,-6.42392915957109e+002
1.12201845430196e+002	1.15141803184100e+004,-6.57153685946108e+002
1.14815362149688e+002	1.15110129545599e+004,-6.72243859479619e+002
1.17489755493953e+002	1.15076975551808e+004,-6.87670085718639e+002
1.20226443461741e+002	1.15042272624236e+004,-7.03439096416345e+002
1.23026877081238e+002	1.15005949066216e+004,-7.19557702783820e+002
1.25892541179416e+002	1.14967929926819e+004,-7.36032791934570e+002
1.28824955169313e+002	1.14928136859365e+004,-7.52871322874641e+002
1.31825673855640e+002	1.14886487974410e+004,-7.70080322003100e+002
1.34896288259165e+002	1.14842897687023e+004,-7.87666878085090e+002
1.38038426460288e+002	1.14797276558222e+004,-8.05638136657267e+002
1.41253754462275e+002	1.14749531130406e+004,-8.24001293822746e+002
1.44543977074592e+002	1.14699563756643e+004,-8.42763589389761e+002
1.47910838816820e+002	1.14647272423675e+004,-8.61932299305460e+002
1.51356124843620e+002	1.14592550568502e+004,-8.81514727332901e+002
1.54881661891248e+002	1.14535286888438e+004,-9.01518195916140e+002
1.58489319246111e+002	1.14475365144496e+004,-9.21950036174786e+002
1.62181009735892e+002	1.14412663958040e+004,-9.42817576965629e+002
1.65958690743755e+002	1.14347056600576e+004,-9.64128132945197e+002
1.69824365246174e+002	1.14278410776652e+004,-9.85888991562950e+002
1.73780082874937e+002	1.14206588399789e+004,-1.00810739891059e+003
1.77827941003892e+002	1.14131445361426e+004,-1.03079054434849e+003
1.81970085860998e+002	1.14052831292878e+004,-1.05394554382552e+003
1.86208713666286e+002	1.13970589320333e+004,-1.07757942180389e+003
1.90546071796324e+002	1.13884555812939e+004,-1.10169909169512e+003
1.94984459975804e+002	1.13794560124095e+004,-1.12631133470844e+003
1.99526231496887e+002	1.13700424326060e+004,-1.15142277700709e+003
2.04173794466952e+002	1.13601962938092e+004,-1.17703986506248e+003
2.08929613085403e+002	1.13498982648321e+004,-1.20316883909011e+003
2.13796208950222e+002	1.13391282029679e+004,-1.22981570444538e+003
2.18776162394954e+002	1.13278651250226e+004,-1.25698620085094e+003
2.23872113856833e+002	1.13160871778306e+004,-1.28468576932090e+003
2.29086765276776e+002	1.13037716083044e+004,-1.31291951664096e+003
2.34422881531991e+002	1.12908947330772e+004,-1.34169217725662e+003
2.39883291901948e+002	1.12774319078072e+004,-1.37100807241520e+003
2.45470891568502e+002	1.12633574962248e+004,-1.40087106640063e+003
2.51188643150957e+002	1.12486448390109e+004,-1.43128451969332e+003
2.57039578276885e+002	1.12332662226123e+004,-1.46225123888097e+003
2.63026799189537e+002	1.12171928481109e+004,-1.49377342313945e+003
2.69153480392690e+002	1.12003948002783e+004,-1.52585260709694e+003
2.75422870333816e+002	1.11828410169667e+004,-1.55848959988840e+003
2.81838293126444e+002	1.11644992590011e+004,-1.59168442020186e+003
2.88403150312659e+002	1.11453360807595e+004,-1.62543622711318e+003
2.95120922666637e+002	1.11253168016488e+004,-1.65974324650094e+003
3.01995172040200e+002	1.11044054787058e+004,-1.69460269283010e+003
3.09029543251358e+002	1.10825648805773e+004,-1.73001068608959e+003
3.16227766016837e+002	1.10597564631607e+004,-1.76596216366772e+003
3.23593656929627e+002	1.10359403472134e+004,-1.80245078694854e+003
3.31131121482590e+002	1.10110752982701e+004,-1.83946884241336e+003
3.38844156139201e+002	1.09851187092414e+004,-1.87700713703449e+003
3.46736850452530e+002	1.09580265860974e+004,-1.91505488775259e+003
3.54813389233574e+002	1.09297535370820e+004,-1.95359960483659e+003
3.63078054770100e+002	1.09002527659381e+004,-1.99262696893387e+003
3.71535229097171e+002	1.08694760696696e+004,-2.03212070163175e+003
3.80189396320559e+002	1.08373738414044e+004,-2.07206242936636e+003
3.89045144994279e+002	1.08038950789745e+004,-2.11243154053507e+003
3.98107170553495e+002	1.07689873998712e+004,-2.15320503569170e+003
4.07380277804111e+002	1.07325970632886e+004,-2.19435737073274e+003
4.16869383470333e+002	1.06946690000169e+004,-2.23586029301552e+003
4.26579518801591e+002	1.06551468510011e+004,-2.27768267038876e+003
4.36515832240164e+002	1.06139730154376e+004,-2.31979031316131e+003
4.46683592150961e+002	1.05710887093349e+004,-2.36214578908675e+003
4.57088189614873e+002	1.05264340355221e+004,-2.40470823150141e+003
4.67735141287196e+002	1.04799480661453e+004,-2.44743314082110e+003
4.78630092322636e+002	1.04315689387503e+004,-2.49027217967819e+003
4.89778819368444e+002	1.03812339671013e+004,-2.53317296206693e+003
5.01187233627270e+002	1.03288797679433e+004,-2.57607883696065e+003
5.12861383991362e+002	1.02744424049624e+004,-2.61892866697156e+003
5.24807460249770e+002	1.02178575512480e+004,-2.66165660274212e+003
5.37031796370250e+002	1.01590606715988e+004,-2.70419185388708e+003
5.49540873857622e+002	1.00979872260526e+004,-2.74645845744830e+003
5.62341325190346e+002	1.00345728960442e+004,-2.78837504498012e+003
5.75439937337154e+002	9.96875383461349e+003,-2.82985460955252e+003
5.88843655355586e+002	9.90046694209084e+003,-2.87080427414176e+003
6.02559586074355e+002	9.82965016867717e+003,-2.91112506307523e+003
6.16595001861479e+002	9.75624284531202e+003,-2.95071167840679e+003
6.30957344480190e+002	9.68018604417838e+003,-2.98945228332257e+003
6.45654229034652e+002	9.60142297012836e+003,-3.02722829491286e+003
6.60693448007592e+002	9.51989938422415e+003,-3.06391418889338e+003
6.76082975391978e+002	9.43556406047249e+003,-3.09937731911676e+003
6.91830970918933e+002	9.34836927668392e+003,-3.13347775498204e+003
7.07945784384134e+002	9.25827134020822e+003,-3.16606814012209e+003
7.24435960074986e+002	9.16523114908020e+003,-3.19699357602596e+003
7.41310241300914e+002	9.06921478885381e+003,-3.22609153452975e+003
7.58577575029180e+002	8.97019416510234e+003,-3.25319180338285e+003
7.76247116628688e+002	8.86814767121736e+003,-3.27811646936193e+003
7.94328234724277e+002	8.76306089074449e+003,-3.30067994365649e+003
8.12830516164095e+002	8.65492733304903e+003,-3.32068903448249e+003
8.31763771102666e+002	8.54374920060688e+003,-3.33794307208653e+003
8.51138038202372e+002	8.42953818566391e+003,-3.35223409147556e+003
8.70963589956076e+002	8.31231629340141e+003,-3.36334707833733e+003
8.91250938133741e+002	8.19211668808504e+003,-3.37106028369620e+003
9.12010839355905e+002	8.06898455796349e+003,-3.37514561286736e+003
9.33254300796986e+002	7.94297799392138e+003,-3.37536909422032e+003
9.54992586021431e+002	7.81416887608689e+003,-3.37149143312858e+003
9.77237220955805e+002	7.68264376174971e+003,-3.36326865625628e+003
9.99999999999994e+002	7.54850476707221e+003,-3.35045285100308e+003
1.02329299228075e+003	7.41187043418140e+003,-3.33279300448485e+003
1.04712854805089e+003	7.27287657432797e+003,-3.31003594586048e+003
1.07151930523760e+003	7.13167707690171e+003,-3.28192739511318e+003
1.09647819614318e+003	6.98844467321998e+003,-3.24821312055247e+003
1.12201845430196e+003	6.84337164317417e+003,-3.20864020631130e+003
1.14815362149688e+003	6.69667045205052e+003,-3.16295842996965e+003
1.17489755493952e+003	6.54857430415961e+003,-3.11092174913801e+003
1.20226443461741e+003	6.39933759933687e+003,-3.05228989438356e+003
1.23026877081237e+003	6.24923627794279e+003,-2.98683006428325e+003
1.25892541179416e+003	6.09856803972242e+003,-2.91431871665062e+003
1.28824955169313e+003	5.94765242180732e+003,-2.83454344812037e+003
1.31825673855640e+003	5.79683072128683e+003,-2.74730495230431e+003
1.34896288259165e+003	5.64646574816732e+003,-2.65241904467959e+003
1.38038426460288e+003	5.49694139519984e+003,-2.54971874026102e+003
1.41253754462275e+003	5.34866201201393e+003,-2.43905636798094e+003
1.44543977074592e+003	5.20205157226280e+003,-2.32030570358993e+003
1.47910838816820e+003	5.05755262407795e+003,-2.19336410084373e+003
1.51356124843620e+003	4.91562501605533e+003,-2.05815459880653e+003
1.54881661891247e+003	4.77674439325102e+003,-1.91462798132709e+003
1.58489319246110e+003	4.64140046024303e+003,-1.76276476318975e+003
1.62181009735892e+003	4.51009501120092e+003,-1.60257707616008e+003
1.65958690743755e+003	4.38333973006961e+003,-1.43411042719275e+003
1.69824365246173e+003	4.26165376738158e+003,-1.25744530049904e+003
1.73780082874936e+003	4.14556110381554e+003,-1.07269857503466e+003
1.77827941003891e+003	4.03558771436450e+003,-8.80024729309450e+002
1.81970085860997e+003	3.93225855079422e+003,-6.79616806276242e+002
1.86208713666286e+003	3.83609436389253e+003,-4.71707112455155e+002
1.90546071796323e+003	3.74760839074768e+003,-2.56567627408104e+002
1.94984459975803e+003	3.66730293586509e+003,-3.45101022010441e+001
1.99526231496887e+003	3.59566587824608e+003,1.94114171431716e+002
2.04173794466952e+003	3.53316713951905e+003,4.28914935901096e+002
2.08929613085403e+003	3.48025515074585e+003,6.69463897139781e+002
2.13796208950222e+003	3.43735335753778e+003,9.15296014599644e+002
2.18776162394954e+003	3.40485680453349e+003,1.16591115303885e+003
2.23872113856832e+003	3.38312884104684e+003,1.42077609210228e+003
2.29086765276776e+003	3.37249798973512e+003,1.67932688435415e+003
2.34422881531991e+003	3.37325501943126e+003,1.94097154700583e+003
2.39883291901947e+003	3.38565026180490e+003,2.20509306720906e+003
2.45470891568501e+003	3.40989120927131e+003,2.47105269557545e+003
2.51188643150956e+003	3.44614042856894e+003,2.73819349765564e+003
2.57039578276885e+003	3.49451382072034e+003,3.00584412858532e+003
2.63026799189536e+003	3.55507925373386e+003,3.27332279209029e+003
2.69153480392690e+003	3.62785558947687e+003,3.53994134163903e+003
2.75422870333815e+003	3.71281212074777e+003,3.80500947882899e+003
2.81838293126443e+003	3.80986842880640e+003,4.06783900215953e+003
2.88403150312659e+003	3.91889466560939e+003,4.32774805823499e+003
2.95120922666636e+003	4.03971225886980e+003,4.58406534718682e+003
3.01995172040199e+003	4.17209503194855e+003,4.83613423471157e+003
3.09029543251357e+003	4.31577072462647e+003,5.08331672458223e+003
3.16227766016836e+003	4.47042289512106e+003,5.32499724776616e+003
3.23593656929626e+003	4.63569317843152e+003,5.56058622732036e+003
3.31131121482589e+003	4.81118387131860e+003,5.78952338195884e+003
3.38844156139200e+003	4.99646081005450e+003,6.01128073550613e+003
3.46736850452529e+003	5.19105650358400e+003,6.22536530426251e+003
3.54813389233573e+003	5.39447348198448e+003,6.43132143949517e+003
3.63078054770099e+003	5.60618781813133e+003,6.62873280771476e+003
3.71535229097170e+003	5.82565277929029e+003,6.81722399697602e+003
3.80189396320558e+003	6.05230256496024e+003,6.99646174303244e+003
3.89045144994278e+003	6.28555608766043e+003,7.16615577465963e+003
3.98107170553494e+003	6.52482075445160e+003,7.32605928273278e+003
