Freq.	(V(v1)/I(R2))-100
1.00000000000000e+001	-1.10759444282849e-007,9.80127149943938e-007
1.02329299228075e+001	-1.16001430683355e-007,1.00295412417406e-006
1.04712854805090e+001	-1.21490472793084e-007,1.02631258357374e-006
1.07151930523761e+001	-1.27238251934614e-007,1.05021489184762e-006
1.09647819614319e+001	-1.33256861545306e-007,1.07467370016753e-006
1.12201845430196e+001	-1.39559261924660e-007,1.09970195381831e-006
1.14815362149688e+001	-1.46158640745853e-007,1.12531289566517e-006
1.17489755493953e+001	-1.53069038333342e-007,1.15152007704593e-006
1.20226443461741e+001	-1.60305120289195e-007,1.17833736513564e-006
1.23026877081238e+001	-1.67882234336503e-007,1.20577894630710e-006
1.25892541179417e+001	-1.75816580849641e-007,1.23385933631576e-006
1.28824955169313e+001	-1.84124800739482e-007,1.26259338720244e-006
1.31825673855641e+001	-1.92824614941856e-007,1.29199629503472e-006
1.34896288259165e+001	-2.01934511778745e-007,1.32208360671047e-006
1.38038426460288e+001	-2.11473775380000e-007,1.35287123127623e-006
1.41253754462275e+001	-2.21462627791880e-007,1.38437544437772e-006
1.44543977074593e+001	-2.31922257398764e-007,1.41661289792458e-006
1.47910838816821e+001	-2.42874961031703e-007,1.44960062974083e-006
1.51356124843621e+001	-2.54343859751316e-007,1.48335607071773e-006
1.54881661891248e+001	-2.66353310962586e-007,1.51789705513571e-006
1.58489319246111e+001	-2.78928808938872e-007,1.55324182779950e-006
1.62181009735893e+001	-2.92097070087038e-007,1.58940905916373e-006
1.65958690743756e+001	-3.05886061369165e-007,1.62641784452990e-006
1.69824365246174e+001	-3.20324915037418e-007,1.66428772374177e-006
1.73780082874937e+001	-3.35444383381400e-007,1.70303868679270e-006
1.77827941003892e+001	-3.51276526089350e-007,1.74269118310293e-006
1.81970085860998e+001	-3.67854894989250e-007,1.78326613446490e-006
1.86208713666287e+001	-3.85214718789939e-007,1.82478494304621e-006
1.90546071796325e+001	-4.03392860448548e-007,1.86726950585150e-006
1.94984459975804e+001	-4.22427845592210e-007,1.91074222038595e-006
1.99526231496888e+001	-4.42360018837462e-007,1.95522600259310e-006
2.04173794466953e+001	-4.63231799585628e-007,2.00074429289937e-006
2.08929613085404e+001	-4.85087397805728e-007,2.04732106834275e-006
2.13796208950223e+001	-5.07973240360116e-007,2.09498085899497e-006
2.18776162394955e+001	-5.31937971004481e-007,2.14374875486455e-006
2.23872113856834e+001	-5.57032336701013e-007,2.19365042341535e-006
2.29086765276777e+001	-5.83309628154893e-007,2.24471211563068e-006
2.34422881531992e+001	-6.10825637181733e-007,2.29696068701651e-006
2.39883291901949e+001	-6.39638784605268e-007,2.35042360433125e-006
2.45470891568503e+001	-6.69810262365900e-007,2.40512895984646e-006
2.51188643150958e+001	-7.01404090364122e-007,2.46110549246520e-006
2.57039578276886e+001	-7.34487329623335e-007,2.51838258967201e-006
2.63026799189538e+001	-7.69130238609250e-007,2.57699030924439e-006
2.69153480392691e+001	-8.05406344284165e-007,2.63695939406126e-006
2.75422870333816e+001	-8.43392697902345e-007,2.69832128557352e-006
2.81838293126445e+001	-8.83169917642590e-007,2.76110813332372e-006
2.88403150312660e+001	-9.24822543879600e-007,2.82535281862374e-006
2.95120922666638e+001	-9.68438911286285e-007,2.89108897098776e-006
3.01995172040201e+001	-1.01411185937650e-006,2.95835097365942e-006
3.09029543251359e+001	-1.06193809301658e-006,3.02717398273240e-006
3.16227766016838e+001	-1.11201944719141e-006,3.09759395161037e-006
3.23593656929628e+001	-1.16446211961829e-006,3.16964764325192e-006
3.31131121482591e+001	-1.21937762287416e-006,3.24337264007360e-006
3.38844156139202e+001	-1.27688259965453e-006,3.31880737072548e-006
3.46736850452531e+001	-1.33709920646652e-006,3.39599111992527e-006
3.54813389233575e+001	-1.40015534100257e-006,3.47496405088934e-006
3.63078054770101e+001	-1.46618505425522e-006,3.55576722181638e-006
3.71535229097172e+001	-1.53532856472793e-006,3.63844260516689e-006
3.80189396320561e+001	-1.60773295476702e-006,3.72303309479006e-006
3.89045144994280e+001	-1.68355197160963e-006,3.80958254568780e-006
3.98107170553497e+001	-1.76294689424594e-006,3.89813577318811e-006
4.07380277804112e+001	-1.84608639131056e-006,3.98873857371521e-006
4.16869383470335e+001	-1.93314727425786e-006,4.08143776088150e-006
4.26579518801592e+001	-2.02431465368136e-006,4.17628116374356e-006
4.36515832240165e+001	-2.11978236563937e-006,4.27331765607299e-006
4.46683592150962e+001	-2.21975348324577e-006,4.37259717063736e-006
4.57088189614874e+001	-2.32444062930881e-006,4.47417073128357e-006
4.67735141287197e+001	-2.43406641686761e-006,4.57809045034962e-006
4.78630092322638e+001	-2.54886421657829e-006,4.68440956727693e-006
4.89778819368445e+001	-2.66907819934659e-006,4.79318246515679e-006
5.01187233627271e+001	-2.79496427424419e-006,4.90446467647401e-006
5.12861383991364e+001	-2.92679035851506e-006,5.01831292174469e-006
5.24807460249772e+001	-3.06483713075068e-006,5.13478511082699e-006
5.37031796370252e+001	-3.20939837195056e-006,5.25394038415349e-006
5.49540873857624e+001	-3.36078204554724e-006,5.37583910089130e-006
5.62341325190348e+001	-3.51931063846678e-006,5.50054288993695e-006
5.75439937337156e+001	-3.68532177219549e-006,5.62811464491615e-006
5.88843655355588e+001	-3.85916929701580e-006,5.75861855445961e-006
6.02559586074357e+001	-4.04122371833182e-006,5.89212012436079e-006
6.16595001861481e+001	-4.23187304932071e-006,6.02868617550892e-006
6.30957344480192e+001	-4.43152387674672e-006,6.16838487736787e-006
6.45654229034654e+001	-4.64060195781713e-006,6.31128576938357e-006
6.60693448007595e+001	-4.85955339968314e-006,6.45745975139863e-006
6.76082975391980e+001	-5.08884538419352e-006,6.60697912762234e-006
6.91830970918935e+001	-5.32896739002808e-006,6.75991760393385e-006
7.07945784384136e+001	-5.58043207377068e-006,6.91635030268898e-006
7.24435960074988e+001	-5.84377644941014e-006,7.07635377737435e-006
7.41310241300916e+001	-6.11956339469089e-006,7.24000603837315e-006
7.58577575029182e+001	-6.40838204901684e-006,7.40738652351262e-006
7.76247116628690e+001	-6.71085001613392e-006,7.57857615196726e-006
7.94328234724279e+001	-7.02761433046817e-006,7.75365729948396e-006
8.12830516164097e+001	-7.35935259399412e-006,7.93271382016838e-006
8.31763771102669e+001	-7.70677493733274e-006,8.11583104011059e-006
8.51138038202374e+001	-8.07062541241521e-006,8.30309576924155e-006
8.70963589956078e+001	-8.45168349883352e-006,8.49459628432214e-006
8.91250938133743e+001	-8.85076588019729e-006,8.69042235305762e-006
9.12010839355907e+001	-9.26872840523174e-006,8.89066518203946e-006
9.33254300796988e+001	-9.70646780729112e-006,9.09541746830541e-006
9.54992586021433e+001	-1.01649238075652e-005,9.30477333289015e-006
9.77237220955808e+001	-1.06450811188097e-005,9.51882835084331e-006
9.99999999999997e+001	-1.11479716906615e-005,9.73767949320399e-006
1.02329299228075e+002	-1.16746768981102e-005,9.96142512329527e-006
1.04712854805090e+002	-1.22263302273495e-005,1.01901649833377e-005
1.07151930523760e+002	-1.28041195921469e-005,1.04240001389580e-005
1.09647819614318e+002	-1.34092899060079e-005,1.06630329588854e-005
