freq,vin,amp,pha,v1,v2
100.0,3.0,-0.7,-17.0,2.789,2.59
113.12165687240228,3.0,-0.9,-19.0,2.786,2.535
127.96509253557505,3.0,-1.1,-22.0,2.782,2.475
144.75623289454526,3.0,-1.3,-26.0,2.7425,2.39
163.75064907638304,3.0,-1.6,-27.0,2.7595,2.305
185.2374473745174,3.0,-2.0,-30.0,2.7415,2.195
209.54366961819832,3.0,-2.4,-35.0,2.7315,2.075
237.03927094333858,3.0,-2.9,-38.0,2.716,1.958
268.14275072936715,3.0,-3.5,-40.0,2.701,1.8175
303.3275224082957,3.0,-4.2,-43.0,2.6545,1.6595
343.129119098271,3.0,-5.0,-46.0,2.666,1.5055
388.1533447356427,3.0,-5.9,-49.0,2.649,1.3495
439.0854947706065,3.0,-6.9,-52.0,2.634,1.1915
496.7007867708953,3.0,-8.2,-53.0,2.61,1.0215
540.0000000000001,3.0,-9.0,-54.0,2.6105,0.926
580.7877180505272,3.0,-9.9,-54.0,2.599,0.829
624.6562471080351,3.0,-11.0,-54.0,2.6085,0.7315
671.8382894886707,3.0,-12.2,-54.0,2.595,0.637
722.5841241686935,3.0,-13.6,-52.0,2.595,0.543
777.1629343990263,3.0,-15.1,-48.0,2.585,0.4555
835.8642355982637,3.0,-16.8,-40.0,2.58,0.374
898.9994110984522,3.0,-18.4,-28.0,2.575,0.3105
966.90336389007,3.0,-19.7,-11.0,2.605,0.2685
1000,3.0,-19.8,2,2.560,0.2685
1039.9362931279484,3.0,-19.6,10.0,2.57,0.2685
1118.4856048216773,3.0,-18.4,27.0,2.57,0.3085
1202.9679668458264,3.0,-16.7,40.0,2.565,0.376
1293.8315191708696,3.0,-14.9,48.0,2.57,0.453
1391.5582510390668,3.0,-13.3,51.0,2.575,0.554
1496.6665576951166,3.0,-11.9,53.0,2.575,0.647
1609.7139902338613,3.0,-10.7,53.0,-1,0.7455
1731.3002131517273,3.0,-9.6,54.0,2.585,0.8485
1862.0701852903385,3.0,-8.6,53.0,2.595,0.953
2002.7175810457388,3.0,-7.7,52.0,2.6,1.058
2153.9884699911618,3.0,-6.9,50.0,2.615,1.172
2316.6852744320613,3.0,-6.3,50.0,2.625,1.268
2491.6710258863995,3.0,-5.6,48.0,2.635,1.3665
2679.8739430688506,3.0,-5.1,45.0,2.65,1.457
2882.2923556630135,3.0,-4.6,44.0,2.66,1.546
3099.9999999999995,3.0,-4.1,41.0,2.675,1.6545
3571.305218886713,3.0,-3.4,38.0,2.695,1.8085
4039.919635575223,3.0,-2.8,34.0,2.695,1.9635
4570.024028076208,3.0,-2.3,31.0,2.7425,2.081
5169.686900026701,3.0,-1.9,28.0,2.775,2.1895
5848.035476425728,3.0,-1.6,25.0,2.7985,2.313
6615.3946254186685,3.0,-1.4,22.0,2.8235,2.4
7483.444008921449,3.0,-1.2,19.0,2.8445,2.475
8465.395854010467,3.0,-1.1,16.0,2.835,2.499
9576.196050864288,3.0,-1.0,15.0,2.8765,2.5445
10832.751638087238,3.0,-0.9,13.0,2.89,2.586
12254.18813787656,3.0,-0.8,11.0,2.887,2.6435
13862.140657827344,3.0,-0.7,9.0,2.9025,2.665
15681.083190117215,3.0,-0.7,8.0,2.904,2.6705
17738.70112020035,3.0,-0.7,5.0,2.8995,2.688
20066.312614814018,3.0,-0.6,4.0,2.8855,2.688
22699.34530307344,3.0,-0.6,3.0,2.8855,2.685
25677.875506024557,3.0,-0.6,0.0,2.8455,2.6785
29047.238222047672,3.0,-0.6,-1.0,2.8395,2.673
32858.71715245405,3.0,-0.6,0.0,2.8595,2.661
37170.325269872264,3.0,-0.7,-2.0,2.8425,2.625
42047.687810140655,3.0,-0.7,-4.0,2.8365,2.625
47565.041127366334,3.0,-0.7,-5.0,2.832,2.5875
53806.362615316255,3.0,-0.7,-9.0,2.795,2.585
60866.6488932186,3.0,-0.8,-10.0,2.818,2.5435
68853.36171071658,3.0,-0.9,-12.0,2.809,2.5405
77888.06357951066,3.0,-0.9,-13.0,2.804,2.515
88108.26802697277,3.0,-1.1,-14.0,2.7875,2.478
99669.53263368846,3.0,-1.2,-16.0,2.7875,2.4325
112747.82671220807,3.0,-1.4,-19.0,2.749,2.3705
127542.20966447474,3.0,-1.6,-22.0,2.772,2.316
144277.86078412703,3.0,-1.8,-24.0,2.7615,2.245
163209.50661906242,3.0,-2.1,-26.0,2.752,2.1595
184625.2980607561,3.0,-2.5,-29.0,2.7385,2.0645
208851.19617193894,3.0,-2.9,-32.0,2.726,1.964
236255.93350752804,3.0,-3.3,-35.0,2.712,1.849
267256.62644307676,3.0,-3.9,-36.0,2.694,1.731
302325.1239336952,3.0,-4.5,-39.0,2.6495,1.6055
341995.18933533895,3.0,-5.2,-40.0,2.6645,1.4785
386870.62460004544,3.0,-5.8,-41.0,2.6525,1.362
437634.46050018206,3.0,-6.3,-41.0,2.645,1.2855
495059.35276240483,3.0,-7.0,-43.0,2.599,1.1835
560019.3423466232,3.0,-7.8,-43.0,2.622,1.0745
633503.158868431,3.0,-8.6,-43.0,2.6095,0.974
716629.2696509759,3.0,-9.4,-42.0,2.599,0.8885
810662.9034617778,3.0,-10.1,-42.0,2.5925,0.813
917035.308045888,3.0,-10.8,-40.0,2.5835,0.7495
1037365.5345664446,3.0,-11.4,-39.0,2.579,0.701
1173485.080524815,3.0,-12.0,-36.0,2.571,0.6535
1327465.766240115,3.0,-12.5,-33.0,2.562,0.61
1501651.2691847486,3.0,-13.1,-31.0,2.556,0.5725
1698692.7961472417,3.0,-13.5,-30.0,2.545,0.5425
