freq,vin,amp,pha,v1,v2
100.0,1.6,0.1,2.0,1.471,1.4905
113.12165687240228,1.6,0.1,2.0,1.467,1.4915
127.96509253557505,1.6,0.1,2.0,1.458,1.4875
144.75623289454526,1.6,0.1,2.0,1.4395,1.4675
163.75064907638304,1.6,0.1,2.0,1.4425,1.4765
185.2374473745174,1.6,0.1,2.0,1.447,1.466
209.54366961819832,1.6,0.1,3.0,1.44,1.462
237.03927094333858,1.6,0.1,3.0,1.4325,1.454
268.14275072936715,1.6,0.1,3.0,1.423,1.4405
303.3275224082957,1.6,0.1,4.0,1.4095,1.419
343.129119098271,1.6,0.1,4.0,1.4045,1.4265
388.1533447356427,1.6,0.1,4.0,1.3955,1.4135
439.0854947706065,1.6,0.1,4.0,1.3735,1.408
496.7007867708953,1.6,0.1,5.0,1.3825,1.4
540.0000000000001,3.0,-9.0,-54.0,2.6105,0.926
580.7877180505272,3.0,-9.9,-54.0,2.599,0.829
624.6562471080351,3.0,-11.0,-54.0,2.6085,0.7315
671.8382894886707,3.0,-12.2,-54.0,2.595,0.637
722.5841241686935,3.0,-13.6,-52.0,2.595,0.543
777.1629343990263,3.0,-15.1,-48.0,2.585,0.4555
835.8642355982637,3.0,-16.8,-40.0,2.58,0.374
898.9994110984522,3.0,-18.4,-28.0,2.575,0.3105
966.90336389007,3.0,-19.7,-11.0,2.605,0.2685
1039.9362931279484,3.0,-19.6,10.0,2.57,0.2685
1118.4856048216773,3.0,-18.4,27.0,2.57,0.3085
1202.9679668458264,3.0,-16.7,40.0,2.565,0.376
1293.8315191708696,3.0,-14.9,48.0,2.57,0.453
1391.5582510390668,3.0,-13.3,51.0,2.575,0.554
1496.6665576951166,3.0,-11.9,53.0,2.575,0.647
1609.7139902338613,3.0,-10.7,53.0,-1,0.7455
1731.3002131517273,3.0,-9.6,54.0,2.585,0.8485
1862.0701852903385,3.0,-8.6,53.0,2.595,0.953
2002.7175810457388,3.0,-7.7,52.0,2.6,1.058
2153.9884699911618,3.0,-6.9,50.0,2.615,1.172
2316.6852744320613,3.0,-6.3,50.0,2.625,1.268
2491.6710258863995,3.0,-5.6,48.0,2.635,1.3665
2679.8739430688506,3.0,-5.1,45.0,2.65,1.457
2882.2923556630135,3.0,-4.6,44.0,2.66,1.546
3099.9999999999995,3.0,-4.1,41.0,2.675,1.6545
3157.0481883190896,1.6,0.5,34.0,1.349,1.424
3571.305218886713,1.6,0.5,39.0,1.35,1.42
4039.919635575223,1.6,0.6,42.0,1.357,1.45
4570.024028076208,1.6,0.7,49.0,1.351,1.4635
5169.686900026701,1.6,0.8,54.0,1.351,1.477
5848.035476425728,1.6,1.0,61.0,1.3295,1.4905
6615.3946254186685,1.6,1.2,69.0,1.311,1.5015
7483.444008921449,1.6,1.5,79.0,1.2775,1.5125
8465.395854010467,1.6,1.8,90.0,1.2375,1.523
9576.196050864288,1.6,2.3,102.0,1.1815,1.5175
10832.751638087238,1.6,3.0,119.0,1.089,1.5205
12254.18813787656,1.6,4.2,135.0,0.949,1.5395
13862.140657827344,1.6,6.1,151.0,0.769,1.5405
15681.083190117215,1.6,8.5,169.0,0.5845,1.5405
17738.70112020035,1.6,11.3,-177.0,0.423,1.5395
20066.312614814018,1.6,14.4,-165.0,0.296,1.538
22699.34530307344,1.6,17.6,-155.0,0.2035,1.52
25677.875506024557,1.6,20.9,-148.0,0.13915,1.518
29047.238222047672,1.6,24.2,-141.0,0.0949,1.527
32858.71715245405,1.6,27.5,-136.0,0.06465,1.5165
37170.325269872264,1.6,30.8,-133.0,0.0446,1.511
42047.687810140655,1.6,34.1,-129.0,0.0232,0.9295
47565.041127366334,1.6,37.4,-124.0,0.012095,0.98
53806.362615316255,1.6,40.8,-122.0,0.013125,1.11
