Freq,magn,phase
1.00000000000000e+002,-2.07307395035952e+001,7.76250562617357e+000
1.02329299228075e+002,-2.07262210070465e+001,7.94025714909501e+000
1.04712854805090e+002,-2.07214946355065e+001,8.12193436439114e+000
1.07151930523761e+002,-2.07165510696162e+001,8.30761386253669e+000
1.09647819614318e+002,-2.07113805951217e+001,8.49737301535412e+000
1.12201845430196e+002,-2.07059730882877e+001,8.69128992943432e+000
1.14815362149688e+002,-2.07003180009763e+001,8.88944339463204e+000
1.17489755493953e+002,-2.06944043454057e+001,9.09191282733351e+000
1.20226443461741e+002,-2.06882206786027e+001,9.29877820818356e+000
1.23026877081238e+002,-2.06817550865708e+001,9.51012001394901e+000
1.25892541179417e+002,-2.06749951681937e+001,9.72601914318361e+000
1.28824955169313e+002,-2.06679280189030e+001,9.94655683535179e+000
1.31825673855641e+002,-2.06605402141383e+001,1.01718145830578e+001
1.34896288259165e+002,-2.06528177926345e+001,1.04018740370203e+001
1.38038426460288e+002,-2.06447462395745e+001,1.06368169034243e+001
1.41253754462275e+002,-2.06363104696526e+001,1.08767248332785e+001
1.44543977074593e+002,-2.06274948100941e+001,1.11216793034002e+001
1.47910838816821e+002,-2.06182829836886e+001,1.13717614886495e+001
1.51356124843621e+002,-2.06086580918952e+001,1.16270521250340e+001
1.54881661891248e+002,-2.05986025980854e+001,1.18876313633071e+001
1.58489319246111e+002,-2.05880983109985e+001,1.21535786126899e+001
1.62181009735893e+002,-2.05771263684867e+001,1.24249723743528e+001
1.65958690743756e+002,-2.05656672216382e+001,1.27018900643063e+001
1.69824365246174e+002,-2.05537006193721e+001,1.29844078253656e+001
1.73780082874937e+002,-2.05412055936068e+001,1.32726003278725e+001
1.77827941003892e+002,-2.05281604451119e+001,1.35665405588849e+001
1.81970085860998e+002,-2.05145427301624e+001,1.38662995995700e+001
1.86208713666287e+002,-2.05003292481203e+001,1.41719463905755e+001
1.90546071796324e+002,-2.04854960300798e+001,1.44835474851936e+001
1.94984459975804e+002,-2.04700183287187e+001,1.48011667901762e+001
1.99526231496888e+002,-2.04538706095081e+001,1.51248652941196e+001
2.04173794466953e+002,-2.04370265434404e+001,1.54547007833928e+001
2.08929613085404e+002,-2.04194590014437e+001,1.57907275456563e+001
2.13796208950223e+002,-2.04011400506584e+001,1.61329960610906e+001
2.18776162394955e+002,-2.03820409527593e+001,1.64815526815442e+001
2.23872113856834e+002,-2.03621321645129e+001,1.68364392978979e+001
2.29086765276777e+002,-2.03413833407645e+001,1.71976929960487e+001
2.34422881531992e+002,-2.03197633400579e+001,1.75653457020250e+001
2.39883291901949e+002,-2.02972402330888e+001,1.79394238168638e+001
2.45470891568503e+002,-2.02737813142018e+001,1.83199478420085e+001
2.51188643150958e+002,-2.02493531161364e+001,1.87069319961217e+001
2.57039578276886e+002,-2.02239214282310e+001,1.91003838243499e+001
2.63026799189538e+002,-2.01974513182881e+001,1.95003038012273e+001
2.69153480392691e+002,-2.01699071583012e+001,1.99066849285627e+001
2.75422870333816e+002,-2.01412526542365e+001,2.03195123298148e+001
2.81838293126445e+002,-2.01114508800512e+001,2.07387628426246e+001
2.88403150312660e+002,-2.00804643161217e+001,2.11644046113450e+001
2.95120922666638e+002,-2.00482548922345e+001,2.15963966815706e+001
3.01995172040201e+002,-2.00147840352792e+001,2.20346885988426e+001
3.09029543251358e+002,-1.99800127217572e+001,2.24792200138614e+001
3.16227766016837e+002,-1.99439015351996e+001,2.29299202967002e+001
3.23593656929628e+002,-1.99064107285528e+001,2.33867081626595e+001
3.31131121482590e+002,-1.98675002915658e+001,2.38494913125356e+001
3.38844156139202e+002,-1.98271300231726e+001,2.43181660902035e+001
3.46736850452531e+002,-1.97852596088266e+001,2.47926171605103e+001
3.54813389233575e+002,-1.97418487027029e+001,2.52727172105629e+001
3.63078054770101e+002,-1.96968570146392e+001,2.57583266775464e+001
3.71535229097172e+002,-1.96502444016377e+001,2.62492935062430e+001
3.80189396320560e+002,-1.96019709637036e+001,2.67454529394121e+001
3.89045144994280e+002,-1.95519971437421e+001,2.72466273441655e+001
3.98107170553496e+002,-1.95002838311855e+001,2.77526260773872e+001
4.07380277804112e+002,-1.94467924689676e+001,2.82632453931435e+001
4.16869383470335e+002,-1.93914851634101e+001,2.87782683948698e+001
4.26579518801592e+002,-1.93343247965349e+001,2.92974650349266e+001
4.36515832240165e+002,-1.92752751402643e+001,2.98205921638756e+001
4.46683592150962e+002,-1.92143009719253e+001,3.03473936315456e+001
4.57088189614874e+002,-1.91513681904276e+001,3.08776004416282e+001
4.67735141287197e+002,-1.90864439324470e+001,3.14109309611839e+001
4.78630092322637e+002,-1.90194966879118e+001,3.19470911860236e+001
4.89778819368445e+002,-1.89504964140584e+001,3.24857750625036e+001
5.01187233627271e+002,-1.88794146473049e+001,3.30266648657872e+001
5.12861383991364e+002,-1.88062246121740e+001,3.35694316341435e+001
5.24807460249771e+002,-1.87309013264940e+001,3.41137356583295e+001
5.37031796370251e+002,-1.86534217021087e+001,3.46592270245757e+001
5.49540873857623e+002,-1.85737646403395e+001,3.52055462091655e+001
5.62341325190348e+002,-1.84919111214681e+001,3.57523247220641e+001
5.75439937337155e+002,-1.84078442875354e+001,3.62991857965348e+001
5.88843655355587e+002,-1.83215495177997e+001,3.68457451211809e+001
6.02559586074356e+002,-1.82330144962410e+001,3.73916116103785e+001
6.16595001861481e+002,-1.81422292705657e+001,3.79363882086276e+001
6.30957344480192e+002,-1.80491863022246e+001,3.84796727239603e+001
6.45654229034654e+002,-1.79538805070402e+001,3.90210586851980e+001
6.60693448007594e+002,-1.78563092861132e+001,3.95601362175671e+001
6.76082975391980e+002,-1.77564725467686e+001,4.00964929309628e+001
6.91830970918935e+002,-1.76543727133891e+001,4.06297148149905e+001
7.07945784384136e+002,-1.75500147280762e+001,4.11593871348315e+001
7.24435960074988e+002,-1.74434060411732e+001,4.16850953219660e+001
7.41310241300916e+002,-1.73345565917751e+001,4.22064258538390e+001
7.58577575029182e+002,-1.72234787784443e+001,4.27229671166930e+001
7.76247116628690e+002,-1.71101874204355e+001,4.32343102459715e+001
7.94328234724279e+002,-1.69946997098183e+001,4.37400499389775e+001
8.12830516164097e+002,-1.68770351549641e+001,4.42397852347734e+001
8.31763771102669e+002,-1.67572155159323e+001,4.47331202566955e+001
8.51138038202374e+002,-1.66352647323564e+001,4.52196649132726e+001
8.70963589956078e+002,-1.65112088444832e+001,4.56990355537968e+001
8.91250938133743e+002,-1.63850759080658e+001,4.61708555752921e+001
9.12010839355907e+002,-1.62568959038459e+001,4.66347559781348e+001
9.33254300796988e+002,-1.61267006423892e+001,4.70903758681175e+001
9.54992586021433e+002,-1.59945236650521e+001,4.75373629032754e+001
9.77237220955808e+002,-1.58604001418695e+001,4.79753736843375e+001
9.99999999999997e+002,-1.57243667671490e+001,4.84040740881830e+001
1.02329299228075e+003,-1.55864616535484e+001,4.88231395441981e+001
1.04712854805090e+003,-1.54467242253950e+001,4.92322552539104e+001
1.07151930523760e+003,-1.53051951119805e+001,4.96311163547370e+001
1.09647819614318e+003,-1.51619160415326e+001,5.00194280291109e+001
1.12201845430196e+003,-1.50169297365287e+001,5.03969055606349e+001
1.14815362149688e+003,-1.48702798109736e+001,5.07632743392600e+001
1.17489755493953e+003,-1.47220106702173e+001,5.11182698177986e+001
1.20226443461741e+003,-1.45721674138412e+001,5.14616374223411e+001
1.23026877081238e+003,-1.44207957420892e+001,5.17931324193685e+001
1.25892541179416e+003,-1.42679418662683e+001,5.21125197425320e+001
1.28824955169313e+003,-1.41136524234902e+001,5.24195737822108e+001
1.31825673855640e+003,-1.39579743960746e+001,5.27140781410507e+001
1.34896288259165e+003,-1.38009550358813e+001,5.29958253587547e+001
1.38038426460288e+003,-1.36426417937908e+001,5.32646166094138e+001
1.41253754462275e+003,-1.34830822545039e+001,5.35202613746671e+001
1.44543977074592e+003,-1.33223240767844e+001,5.37625770959389e+001
1.47910838816820e+003,-1.31604149392297e+001,5.39913888089435e+001
1.51356124843620e+003,-1.29974024916111e+001,5.42065287635645e+001
1.54881661891248e+003,-1.28333343117907e+001,5.44078360321115e+001
1.58489319246111e+003,-1.26682578681894e+001,5.45951561088420e+001
1.62181009735892e+003,-1.25022204877494e+001,5.47683405035081e+001
1.65958690743755e+003,-1.23352693293090e+001,5.49272463315428e+001
1.69824365246174e+003,-1.21674513622853e+001,5.50717359033635e+001
1.73780082874937e+003,-1.19988133505386e+001,5.52016763151131e+001
1.77827941003892e+003,-1.18294018412776e+001,5.53169390430155e+001
1.81970085860998e+003,-1.16592631588491e+001,5.54173995433659e+001
1.86208713666286e+003,-1.14884434032467e+001,5.55029368600358e+001
1.90546071796324e+003,-1.13169884531614e+001,5.55734332412222e+001
1.94984459975804e+003,-1.11449439733947e+001,5.56287737670399e+001
1.99526231496887e+003,-1.09723554264455e+001,5.56688459894200e+001
2.04173794466952e+003,-1.07992680880853e+001,5.56935395856578e+001
2.08929613085403e+003,-1.06257270667305e+001,5.57027460268386e+001
2.13796208950222e+003,-1.04517773264234e+001,5.56963582622646e+001
2.18776162394954e+003,-1.02774637132354e+001,5.56742704209082e+001
2.23872113856833e+003,-1.01028309849066e+001,5.56363775308366e+001
2.29086765276776e+003,-9.92792384354155e+000,5.55825752574709e+001
2.34422881531991e+003,-9.75278697118192e+000,5.55127596614798e+001
2.39883291901948e+003,-9.57746506808373e+000,5.54268269770495e+001
2.45470891568502e+003,-9.40200289352816e+000,5.53246734112277e+001
2.51188643150957e+003,-9.22644530900095e+000,5.52061949649963e+001
2.57039578276885e+003,-9.05083732357832e+000,5.50712872767008e+001
2.63026799189537e+003,-8.87522414136091e+000,5.49198454884458e+001
2.69153480392690e+003,-8.69965121080040e+000,5.47517641360453e+001
2.75422870333815e+003,-8.52416427576550e+000,5.45669370631165e+001
2.81838293126444e+003,-8.34880942819578e+000,5.43652573599018e+001
2.88403150312659e+003,-8.17363316219227e+000,5.41466173274116e+001
2.95120922666637e+003,-7.99868242939353e+000,5.39109084674869e+001
3.01995172040200e+003,-7.82400469548433e+000,5.36580214994020e+001
3.09029543251358e+003,-7.64964799768174e+000,5.33878464036386e+001
3.16227766016836e+003,-7.47566100303915e+000,5.31002724934872e+001
3.23593656929627e+003,-7.30209306740371e+000,5.27951885151545e+001
3.31131121482590e+003,-7.12899429485595e+000,5.24724827770749e+001
3.38844156139201e+003,-6.95641559745227e+000,5.21320433091486e+001
3.46736850452530e+003,-6.78440875508103e+000,5.17737580526503e+001
3.54813389233574e+003,-6.61302647523142e+000,5.13975150815694e+001
3.63078054770100e+003,-6.44232245246217e+000,5.10032028561547e+001
3.71535229097171e+003,-6.27235142734112e+000,5.05907105094489e+001
3.80189396320559e+003,-6.10316924461150e+000,5.01599281675984e+001
3.89045144994279e+003,-5.93483291032180e+000,4.97107473047137e+001
3.98107170553495e+003,-5.76740064763668e+000,4.92430611330466e+001
4.07380277804111e+003,-5.60093195102494e+000,4.87567650292110e+001
4.16869383470333e+003,-5.43548763849731e+000,4.82517569971441e+001
4.26579518801591e+003,-5.27112990154228e+000,4.77279381684364e+001
4.36515832240164e+003,-5.10792235238253e+000,4.71852133405874e+001
4.46683592150961e+003,-4.94593006814715e+000,4.66234915536498e+001
4.57088189614873e+003,-4.78521963152645e+000,4.60426867056037e+001
4.67735141287196e+003,-4.62585916744781e+000,4.54427182066626e+001
4.78630092322636e+003,-4.46791837528108e+000,4.48235116725433e+001
4.89778819368444e+003,-4.31146855605295e+000,4.41849996565343e+001
5.01187233627270e+003,-4.15658263412015e+000,4.35271224199683e+001
5.12861383991362e+003,-4.00333517272372e+000,4.28498287404426e+001
5.24807460249770e+003,-3.85180238281892e+000,4.21530767568349e+001
5.37031796370250e+003,-3.70206212455085e+000,4.14368348498270e+001
5.49540873857622e+003,-3.55419390072415e+000,4.07010825562784e+001
5.62341325190346e+003,-3.40827884159586e+000,3.99458115153810e+001
5.75439937337154e+003,-3.26439968030735e+000,3.91710264440769e+001
5.88843655355586e+003,-3.12264071826216e+000,3.83767461387321e+001
6.02559586074354e+003,-2.98308777975468e+000,3.75630044995358e+001
6.16595001861479e+003,-2.84582815516002e+000,3.67298515735298e+001
6.30957344480190e+003,-2.71095053200993e+000,3.58773546115847e+001
6.45654229034652e+003,-2.57854491330298e+000,3.50055991340112e+001
6.60693448007592e+003,-2.44870252243298e+000,3.41146899988607e+001
6.76082975391978e+003,-2.32151569416641e+000,3.32047524662994e+001
6.91830970918932e+003,-2.19707775116012e+000,3.22759332517862e+001
7.07945784384134e+003,-2.07548286558555e+000,3.13284015601132e+001
7.24435960074986e+003,-1.95682590551455e+000,3.03623500917284e+001
7.41310241300913e+003,-1.84120226582865e+000,2.93779960121374e+001
7.58577575029179e+003,-1.72870768353339e+000,2.83755818746098e+001
7.76247116628687e+003,-1.61943803749878e+000,2.73553764858976e+001
7.94328234724277e+003,-1.51348913279943e+000,2.63176757042382e+001
8.12830516164094e+003,-1.41095646999694e+000,2.52628031585714e+001
8.31763771102666e+003,-1.31193499989148e+000,2.41911108776656e+001
8.51138038202371e+003,-1.21651886446427e+000,2.31029798177590e+001
8.70963589956075e+003,-1.12480112493984e+000,2.19988202773691e+001
8.91250938133740e+003,-1.03687347811166e+000,2.08790721881473e+001
9.12010839355904e+003,-9.52825962293700e-001,1.97442052710588e+001
9.33254300796985e+003,-8.72746654481484e-001,1.85947190477666e+001
9.54992586021430e+003,-7.96721360523803e-001,1.74311426979007e+001
9.77237220955804e+003,-7.24833300315870e-001,1.62540347539121e+001
9.99999999999993e+003,-6.57162790222626e-001,1.50639826264296e+001
1.02329299228075e+004,-5.93786925121074e-001,1.38616019544753e+001
1.04712854805089e+004,-5.34779262607184e-001,1.26475357765193e+001
1.07151930523760e+004,-4.80209512042619e-001,1.14224535201647e+001
1.09647819614318e+004,-4.30143231213339e-001,1.01870498102221e+001
1.12201845430196e+004,-3.84641533431115e-001,8.94204309702599e+000
1.14815362149688e+004,-3.43760807926384e-001,7.68817410904856e+000
1.17489755493952e+004,-3.07552456357596e-001,6.42620413610328e+000
1.20226443461740e+004,-2.76062648186172e-001,5.15691315170924e+000
1.23026877081237e+004,-2.49332097550290e-001,3.88109778540890e+000
1.25892541179416e+004,-2.27395864100874e-001,2.59956915798834e+000
1.28824955169313e+004,-2.10283180052800e-001,1.31315059456778e+000
