freq,amp,phase
1.00000000000000e+002,-4.56877154983938e-004,-9.58066658365465e-001
1.02329299228075e+002,-4.65302277537133e-004,-9.80382496934823e-001
1.04712854805090e+002,-4.74124332280780e-004,-1.00321810951204e+000
1.07151930523761e+002,-4.83362013345901e-004,-1.02658560114159e+000
1.09647819614318e+002,-4.93034894682439e-004,-1.05049735868423e+000
1.12201845430196e+002,-5.03163471373247e-004,-1.07496605737109e+000
1.14815362149688e+002,-5.13769202964109e-004,-1.10000466750958e+000
1.17489755493953e+002,-5.24874558711547e-004,-1.12562646134434e+000
1.20226443461741e+002,-5.36503065064911e-004,-1.15184502007759e+000
1.23026877081238e+002,-5.48679355273917e-004,-1.17867424105196e+000
1.25892541179417e+002,-5.61429221432375e-004,-1.20612834509953e+000
1.28824955169313e+002,-5.74779668816530e-004,-1.23422188406115e+000
1.31825673855641e+002,-5.88758972868310e-004,-1.26296974847953e+000
1.34896288259165e+002,-6.03396738814088e-004,-1.29238717547088e+000
1.38038426460288e+002,-6.18723964040735e-004,-1.32248975677784e+000
1.41253754462275e+002,-6.34773103459735e-004,-1.35329344700939e+000
1.44543977074593e+002,-6.51578137777732e-004,-1.38481457207036e+000
1.47910838816821e+002,-6.69174645190749e-004,-1.41706983778670e+000
1.51356124843621e+002,-6.87599876136012e-004,-1.45007633872921e+000
1.54881661891248e+002,-7.06892831761439e-004,-1.48385156724086e+000
1.58489319246111e+002,-7.27094345949311e-004,-1.51841342267367e+000
1.62181009735893e+002,-7.48247171151165e-004,-1.55378022083676e+000
1.65958690743756e+002,-7.70396068266876e-004,-1.58997070366403e+000
1.69824365246174e+002,-7.93587900696816e-004,-1.62700404910370e+000
1.73780082874937e+002,-8.17871732672859e-004,-1.66489988123563e+000
1.77827941003892e+002,-8.43298932341538e-004,-1.70367828062177e+000
1.81970085860998e+002,-8.69923279456453e-004,-1.74335979489517e+000
1.86208713666287e+002,-8.97801078166864e-004,-1.78396544959172e+000
1.90546071796324e+002,-9.26991275003734e-004,-1.82551675923146e+000
1.94984459975804e+002,-9.57555582331430e-004,-1.86803573865384e+000
1.99526231496888e+002,-9.89558607525638e-004,-1.91154491461399e+000
2.04173794466953e+002,-1.02306798812278e-003,-1.95606733764401e+000
2.08929613085404e+002,-1.05815453321331e-003,-2.00162659418724e+000
2.13796208950223e+002,-1.09489237133118e-003,-2.04824681900909e+000
2.18776162394955e+002,-1.13335910524418e-003,-2.09595270789337e+000
2.23872113856834e+002,-1.17363597377156e-003,-2.14476953062772e+000
2.29086765276777e+002,-1.21580802113128e-003,-2.19472314428659e+000
2.34422881531992e+002,-1.25996427405163e-003,-2.24584000681704e+000
2.39883291901949e+002,-1.30619792695721e-003,-2.29814719093447e+000
2.45470891568503e+002,-1.35460653574501e-003,-2.35167239833478e+000
2.51188643150958e+002,-1.40529222033185e-003,-2.40644397423009e+000
2.57039578276886e+002,-1.45836187658593e-003,-2.46249092221573e+000
2.63026799189538e+002,-1.51392739777309e-003,-2.51984291947323e+000
2.69153480392691e+002,-1.57210590623446e-003,-2.57853033231940e+000
2.75422870333816e+002,-1.63301999558313e-003,-2.63858423210776e+000
2.81838293126445e+002,-1.69679798382833e-003,-2.70003641148903e+000
2.88403150312660e+002,-1.76357417808812e-003,-2.76291940103949e+000
2.95120922666638e+002,-1.83348915118040e-003,-2.82726648626437e+000
3.01995172040201e+002,-1.90669003080129e-003,-2.89311172498496e+000
3.09029543251358e+002,-1.98333080172948e-003,-2.96048996511631e+000
3.16227766016837e+002,-2.06357262149473e-003,-3.02943686284362e+000
3.23593656929628e+002,-2.14758415043175e-003,-3.09998890120857e+000
3.31131121482590e+002,-2.23554189628895e-003,-3.17218340910839e+000
3.38844156139202e+002,-2.32763057446518e-003,-3.24605858072269e+000
3.46736850452531e+002,-2.42404348400347e-003,-3.32165349537118e+000
3.54813389233575e+002,-2.52498290056398e-003,-3.39900813781525e+000
3.63078054770101e+002,-2.63066048655361e-003,-3.47816341900862e+000
3.71535229097172e+002,-2.74129771961559e-003,-3.55916119730978e+000
3.80189396320560e+002,-2.85712633965374e-003,-3.64204430016227e+000
3.89045144994280e+002,-2.97838881576059e-003,-3.72685654625390e+000
3.98107170553496e+002,-3.10533883330211e-003,-3.81364276816394e+000
4.07380277804112e+002,-3.23824180232954e-003,-3.90244883550670e+000
4.16869383470335e+002,-3.37737538794611e-003,-3.99332167858220e+000
4.26579518801592e+002,-3.52303006358267e-003,-4.08630931254458e+000
4.36515832240165e+002,-3.67550968799060e-003,-4.18146086209455e+000
4.46683592150962e+002,-3.83513210691635e-003,-4.27882658670927e+000
4.57088189614874e+002,-4.00222978031002e-003,-4.37845790641823e+000
4.67735141287197e+002,-4.17715043609764e-003,-4.48040742813543e+000
4.78630092322637e+002,-4.36025775132575e-003,-4.58472897255582e+000
4.89778819368445e+002,-4.55193206186565e-003,-4.69147760163079e+000
5.01187233627271e+002,-4.75257110145706e-003,-4.80070964662896e+000
5.12861383991364e+002,-4.96259077128555e-003,-4.91248273679330e+000
5.24807460249771e+002,-5.18242594089702e-003,-5.02685582860552e+000
5.37031796370251e+002,-5.41253128178923e-003,-5.14388923567002e+000
5.49540873857623e+002,-5.65338213432581e-003,-5.26364465922262e+000
5.62341325190348e+002,-5.90547540944762e-003,-5.38618521928191e+000
5.75439937337155e+002,-6.16933052570654e-003,-5.51157548644419e+000
