Freq.	V(br)
1.00000000000000e+002	(-4.39765970131255e-001dB,-1.64489199004914e+001°)
1.02329299228075e+002	(-4.59806350957362e-001dB,-1.68104371330922e+001°)
1.04712854805090e+002	(-4.80729010633759e-001dB,-1.71789294242521e+001°)
1.07151930523761e+002	(-5.02570069054387e-001dB,-1.75544672235325e+001°)
1.09647819614318e+002	(-5.25366894249729e-001dB,-1.79371172768564e+001°)
1.12201845430196e+002	(-5.49158126829929e-001dB,-1.83269422851816e+001°)
1.14815362149688e+002	(-5.73983703423740e-001dB,-1.87240005489407e+001°)
1.17489755493953e+002	(-5.99884878989384e-001dB,-1.91283455984201e+001°)
1.20226443461741e+002	(-6.26904247873180e-001dB,-1.95400258103399e+001°)
1.23026877081238e+002	(-6.55085763492935e-001dB,-1.99590840109954e+001°)
1.25892541179417e+002	(-6.84474756525863e-001dB,-2.03855570664205e+001°)
1.28824955169313e+002	(-7.15117951485711e-001dB,-2.08194754601463e+001°)
1.31825673855641e+002	(-7.47063481580527e-001dB,-2.12608628592405e+001°)
1.34896288259165e+002	(-7.80360901751942e-001dB,-2.17097356694322e+001°)
1.38038426460288e+002	(-8.15061199808834e-001dB,-2.21661025802502e+001°)
1.41253754462275e+002	(-8.51216805583239e-001dB,-2.26299641012245e+001°)
1.44543977074593e+002	(-8.88881598054545e-001dB,-2.31013120903276e+001°)
1.47910838816821e+002	(-9.28110910409804e-001dB,-2.35801292759526e+001°)
1.51356124843621e+002	(-9.68961533033335e-001dB,-2.40663887738447e+001°)
1.54881661891248e+002	(-1.01149171444855e+000dB,-2.45600536005166e+001°)
1.58489319246111e+002	(-1.05576116026837e+000dB,-2.50610761847773e+001°)
1.62181009735893e+002	(-1.10183103024931e+000dB,-2.55693978791008e+001°)
1.65958690743756e+002	(-1.14976393358673e+000dB,-2.60849484726294e+001°)
1.69824365246174e+002	(-1.19962392263707e+000dB,-2.66076457076683e+001°)
1.73780082874937e+002	(-1.25147648530539e+000dB,-2.71373948015555e+001°)
1.77827941003892e+002	(-1.30538853639436e+000dB,-2.76740879757954e+001°)
1.81970085860998e+002	(-1.36142840827391e+000dB,-2.82176039943179e+001°)
1.86208713666287e+002	(-1.41966584129875e+000dB,-2.87678077126554e+001°)
1.90546071796324e+002	(-1.48017197447417e+000dB,-2.93245496397217e+001°)
1.94984459975804e+002	(-1.54301933694831e+000dB,-2.98876655137192e+001°)
1.99526231496888e+002	(-1.60828184099226e+000dB,-3.04569758934922e+001°)
2.04173794466953e+002	(-1.67603477721652e+000dB,-3.10322857663700e+001°)
2.08929613085404e+002	(-1.74635481286423e+000dB,-3.16133841732149e+001°)
2.13796208950223e+002	(-1.81931999411757e+000dB,-3.22000438509821e+001°)
2.18776162394955e+002	(-1.89500975345327e+000dB,-3.27920208926215e+001°)
2.23872113856834e+002	(-1.97350492318656e+000dB,-3.33890544235897e+001°)
2.29086765276777e+002	(-2.05488775644959e+000dB,-3.39908662935920e+001°)
2.34422881531992e+002	(-2.13924195695998e+000dB,-3.45971607814349e+001°)
2.39883291901949e+002	(-2.22665271904791e+000dB,-3.52076243100287e+001°)
2.45470891568503e+002	(-2.31720677952609e+000dB,-3.58219251676343e+001°)
2.51188643150958e+002	(-2.41099248310570e+000dB,-3.64397132303913e+001°)
2.57039578276886e+002	(-2.50809986318374e+000dB,-3.70606196799826e+001°)
2.63026799189538e+002	(-2.60862073995391e+000dB,-3.76842567089852e+001°)
2.69153480392691e+002	(-2.71264883792401e+000dB,-3.83102172050030e+001°)
2.75422870333816e+002	(-2.82027992506017e+000dB,-3.89380744030718e+001°)
2.81838293126445e+002	(-2.93161197592306e+000dB,-3.95673814940533e+001°)
2.88403150312660e+002	(-3.04674536131505e+000dB,-4.01976711747601e+001°)
2.95120922666638e+002	(-3.16578306712326e+000dB,-4.08284551233734e+001°)
3.01995172040201e+002	(-3.28883094522419e+000dB,-4.14592233812739e+001°)
3.09029543251358e+002	(-3.41599799951403e+000dB,-4.20894436196853e+001°)
3.16227766016837e+002	(-3.54739671035016e+000dB,-4.27185602664616e+001°)
3.23593656929628e+002	(-3.68314340093761e+000dB,-4.33459934648880e+001°)
3.31131121482590e+002	(-3.82335864947457e+000dB,-4.39711378324156e+001°)
3.38844156139202e+002	(-3.96816775119131e+000dB,-4.45933609827368e+001°)
3.46736850452531e+002	(-4.11770123478206e+000dB,-4.52120017693924e+001°)
3.54813389233575e+002	(-4.27209543814879e+000dB,-4.58263682030508e+001°)
3.63078054770101e+002	(-4.43149314885763e+000dB,-4.64357349875227e+001°)
3.71535229097172e+002	(-4.59604431526224e+000dB,-4.70393406112511e+001°)
3.80189396320560e+002	(-4.76590683488352e+000dB,-4.76363839211616e+001°)
3.89045144994280e+002	(-4.94124742736317e+000dB,-4.82260200940261e+001°)
3.98107170553496e+002	(-5.12224260013881e+000dB,-4.88073559064544e+001°)
4.07380277804112e+002	(-5.30907971593239e+000dB,-4.93794441877340e+001°)
4.16869383470335e+002	(-5.50195817220972e+000dB,-4.99412773193293e+001°)
4.26579518801592e+002	(-5.70109070396308e+000dB,-5.04917796200637e+001°)
4.36515832240165e+002	(-5.90670482249427e+000dB,-5.10297984257902e+001°)
4.46683592150962e+002	(-6.11904440432511e+000dB,-5.15540936353576e+001°)
4.57088189614874e+002	(-6.33837144591902e+000dB,-5.20633254491900e+001°)
4.67735141287197e+002	(-6.56496800152425e+000dB,-5.25560399706472e+001°)
4.78630092322637e+002	(-6.79913832307987e+000dB,-5.30306522707441e+001°)
4.89778819368445e+002	(-7.04121122264914e+000dB,-5.34854264302031e+001°)
5.01187233627271e+002	(-7.29154267908217e+000dB,-5.39184519646021e+001°)
5.12861383991364e+002	(-7.55051871127923e+000dB,-5.43276159026083e+001°)
5.24807460249771e+002	(-7.81855854009037e+000dB,-5.47105696162267e+001°)
5.37031796370251e+002	(-8.09611805887514e+000dB,-5.50646892855814e+001°)
5.49540873857623e+002	(-8.38369362803155e+000dB,-5.53870286058541e+001°)
5.62341325190348e+002	(-8.68182619982338e+000dB,-5.56742619934320e+001°)
5.75439937337155e+002	(-8.99110576420831e+000dB,-5.59226160995935e+001°)
5.88843655355587e+002	(-9.31217608046924e+000dB,-5.61277868637788e+001°)
6.02559586074356e+002	(-9.64573961773728e+000dB,-5.62848385963568e+001°)
6.16595001861481e+002	(-9.99256256148492e+000dB,-5.63880806233154e+001°)
6.30957344480192e+002	(-1.03534796397240e+001dB,-5.64309157892490e+001°)
6.45654229034654e+002	(-1.07293983618529e+001dB,-5.64056535216132e+001°)
6.60693448007594e+002	(-1.11213020137122e+001dB,-5.63032781140878e+001°)
6.76082975391980e+002	(-1.15302503660293e+001dB,-5.61131602855492e+001°)
6.91830970918935e+002	(-1.19573764546491e+001dB,-5.58226968168546e+001°)
7.07945784384136e+002	(-1.24038768622344e+001dB,-5.54168591162730e+001°)
7.24435960074988e+002	(-1.28709914896881e+001dB,-5.48776270262635e+001°)
7.41310241300916e+002	(-1.33599665693330e+001dB,-5.41832795420584e+001°)
7.58577575029182e+002	(-1.38719912126760e+001dB,-5.33075106721567e+001°)
7.76247116628690e+002	(-1.44080924740966e+001dB,-5.22183394695522e+001°)
7.94328234724279e+002	(-1.49689658812140e+001dB,-5.08767948439968e+001°)
8.12830516164097e+002	(-1.55547065992866e+001dB,-4.92353915195313e+001°)
8.31763771102669e+002	(-1.61643900859618e+001dB,-4.72364995500596e+001°)
8.51138038202374e+002	(-1.67954311367321e+001dB,-4.48108941349257e+001°)
8.70963589956078e+002	(-1.74426328902886e+001dB,-4.18771350181760e+001°)
8.91250938133743e+002	(-1.80968427896342e+001dB,-3.83430742202348e+001°)
9.12010839355907e+002	(-1.87432101621989e+001dB,-3.41117998085151e+001°)
9.33254300796988e+002	(-1.93592853399664e+001dB,-2.90954843592713e+001°)
9.54992586021433e+002	(-1.99137317686102e+001dB,-2.32408535122907e+001°)
9.77237220955808e+002	(-2.03672095137889e+001dB,-1.65666998822409e+001°)
9.99999999999997e+002	(-2.06774284124553e+001dB,-9.20381189971902e+000°)
1.02329299228075e+003	(-2.08090531778583e+001dB,-1.41307470889388e+000°)
1.04712854805090e+003	(-2.07452764529262e+001dB,6.44584728985028e+000°)
1.07151930523760e+003	(-2.04943211772759e+001dB,1.39962065185223e+001°)
1.09647819614318e+003	(-2.00861807011631e+001dB,2.09355446842069e+001°)
1.12201845430196e+003	(-1.95620174330290e+001dB,2.70870071028118e+001°)
1.14815362149688e+003	(-1.89630574131804e+001dB,3.23962400735526e+001°)
1.17489755493953e+003	(-1.83237454488509e+001dB,3.68957664229493e+001°)
1.20226443461741e+003	(-1.76696001387477e+001dB,4.06647698161510e+001°)
1.23026877081238e+003	(-1.70179523845376e+001dB,4.37990578489955e+001°)
1.25892541179416e+003	(-1.63797550259045e+001dB,4.63934659386586e+001°)
1.28824955169313e+003	(-1.57614291446535e+001dB,4.85335623079962e+001°)
1.31825673855640e+003	(-1.51663563940175e+001dB,5.02928956043153e+001°)
1.34896288259165e+003	(-1.45959613928500e+001dB,5.17330549907145e+001°)
1.38038426460288e+003	(-1.40504518011380e+001dB,5.29049271680412e+001°)
1.41253754462275e+003	(-1.35293069250269e+001dB,5.38503097481084e+001°)
1.44543977074592e+003	(-1.30315930093575e+001dB,5.46034914804018e+001°)
