Freq.	V(vout)/(V(v1)-V(v2))
1.00000000000000e+002	(4.22990976828392e+001dB,-1.79999968297333e+002°)
1.02329299228075e+002	(4.22990976853652e+001dB,-1.79999967558776e+002°)
1.04712854805090e+002	(4.22990976880095e+001dB,-1.79999966803224e+002°)
1.07151930523761e+002	(4.22990976907819e+001dB,-1.79999966029961e+002°)
1.09647819614318e+002	(4.22990976936862e+001dB,-1.79999965238679e+002°)
1.12201845430196e+002	(4.22990976967244e+001dB,-1.79999964428969e+002°)
1.14815362149688e+002	(4.22990976999081e+001dB,-1.79999963600524e+002°)
1.17489755493953e+002	(4.22990977032411e+001dB,-1.79999962752729e+002°)
1.20226443461741e+002	(4.22990977067352e+001dB,-1.79999961885073e+002°)
1.23026877081238e+002	(4.22990977103884e+001dB,-1.79999960997249e+002°)
1.25892541179417e+002	(4.22990977142162e+001dB,-1.79999960088641e+002°)
1.28824955169313e+002	(4.22990977182283e+001dB,-1.79999959159047e+002°)
1.31825673855641e+002	(4.22990977224266e+001dB,-1.79999958207850e+002°)
1.34896288259165e+002	(4.22990977268228e+001dB,-1.79999957234335e+002°)
1.38038426460288e+002	(4.22990977314266e+001dB,-1.79999956238091e+002°)
1.41253754462275e+002	(4.22990977362478e+001dB,-1.79999955218813e+002°)
1.44543977074593e+002	(4.22990977412958e+001dB,-1.79999954175681e+002°)
1.47910838816821e+002	(4.22990977465845e+001dB,-1.79999953108490e+002°)
1.51356124843621e+002	(4.22990977521196e+001dB,-1.79999952016318e+002°)
1.54881661891248e+002	(4.22990977579165e+001dB,-1.79999950898347e+002°)
1.58489319246111e+002	(4.22990977639871e+001dB,-1.79999949754577e+002°)
1.62181009735893e+002	(4.22990977703466e+001dB,-1.79999948584188e+002°)
1.65958690743756e+002	(4.22990977770050e+001dB,-1.79999947386772e+002°)
1.69824365246174e+002	(4.22990977839738e+001dB,-1.79999946161099e+002°)
1.73780082874937e+002	(4.22990977912724e+001dB,-1.79999944907170e+002°)
1.77827941003892e+002	(4.22990977989183e+001dB,-1.79999943623960e+002°)
1.81970085860998e+002	(4.22990978069230e+001dB,-1.79999942310447e+002°)
1.86208713666287e+002	(4.22990978153042e+001dB,-1.79999940967243e+002°)
1.90546071796324e+002	(4.22990978240811e+001dB,-1.79999939591894e+002°)
1.94984459975804e+002	(4.22990978332694e+001dB,-1.79999938184806e+002°)
1.99526231496888e+002	(4.22990978428961e+001dB,-1.79999936744958e+002°)
2.04173794466953e+002	(4.22990978529728e+001dB,-1.79999935271530e+002°)
2.08929613085404e+002	(4.22990978635269e+001dB,-1.79999933763907e+002°)
2.13796208950223e+002	(4.22990978745737e+001dB,-1.79999932221066e+002°)
2.18776162394955e+002	(4.22990978861483e+001dB,-1.79999930642189e+002°)
2.23872113856834e+002	(4.22990978982602e+001dB,-1.79999929026454e+002°)
2.29086765276777e+002	(4.22990979109522e+001dB,-1.79999927373455e+002°)
2.34422881531992e+002	(4.22990979242340e+001dB,-1.79999925681756e+002°)
2.39883291901949e+002	(4.22990979381483e+001dB,-1.79999923950744e+002°)
2.45470891568503e+002	(4.22990979527145e+001dB,-1.79999922179395e+002°)
2.51188643150958e+002	(4.22990979679693e+001dB,-1.79999920366685e+002°)
2.57039578276886e+002	(4.22990979839401e+001dB,-1.79999918511795e+002°)
2.63026799189538e+002	(4.22990980006694e+001dB,-1.79999916613497e+002°)
2.69153480392691e+002	(4.22990980181845e+001dB,-1.79999914671176e+002°)
2.75422870333816e+002	(4.22990980365241e+001dB,-1.79999912683809e+002°)
2.81838293126445e+002	(4.22990980557270e+001dB,-1.79999910649758e+002°)
2.88403150312660e+002	(4.22990980758360e+001dB,-1.79999908568612e+002°)
2.95120922666638e+002	(4.22990980968917e+001dB,-1.79999906438939e+002°)
3.01995172040201e+002	(4.22990981189427e+001dB,-1.79999904259510e+002°)
3.09029543251358e+002	(4.22990981420316e+001dB,-1.79999902029711e+002°)
3.16227766016837e+002	(4.22990981662090e+001dB,-1.79999899747495e+002°)
3.23593656929628e+002	(4.22990981915251e+001dB,-1.79999897412451e+002°)
3.31131121482590e+002	(4.22990982180344e+001dB,-1.79999895022533e+002°)
3.38844156139202e+002	(4.22990982457931e+001dB,-1.79999892577740e+002°)
3.46736850452531e+002	(4.22990982748614e+001dB,-1.79999890075205e+002°)
3.54813389233575e+002	(4.22990983052993e+001dB,-1.79999887514929e+002°)
3.63078054770101e+002	(4.22990983371691e+001dB,-1.79999884894865e+002°)
3.71535229097172e+002	(4.22990983705443e+001dB,-1.79999882213782e+002°)
3.80189396320560e+002	(4.22990984054910e+001dB,-1.79999879470045e+002°)
3.89045144994280e+002	(4.22990984420849e+001dB,-1.79999876662423e+002°)
3.98107170553496e+002	(4.22990984804034e+001dB,-1.79999873789689e+002°)
4.07380277804112e+002	(4.22990985205282e+001dB,-1.79999870849795e+002°)
4.16869383470335e+002	(4.22990985625407e+001dB,-1.79999867841512e+002°)
4.26579518801592e+002	(4.22990986065379e+001dB,-1.79999864763203e+002°)
4.36515832240165e+002	(4.22990986526071e+001dB,-1.79999861612819e+002°)
4.46683592150962e+002	(4.22990987008473e+001dB,-1.79999858389542e+002°)
4.57088189614874e+002	(4.22990987513612e+001dB,-1.79999855090914e+002°)
4.67735141287197e+002	(4.22990988042556e+001dB,-1.79999851715299e+002°)
4.78630092322637e+002	(4.22990988596431e+001dB,-1.79999848261875e+002°)
4.89778819368445e+002	(4.22990989176380e+001dB,-1.79999844727369e+002°)
5.01187233627271e+002	(4.22990989783703e+001dB,-1.79999841110959e+002°)
5.12861383991364e+002	(4.22990990421758e+001dB,-1.79999837408962e+002°)
5.24807460249771e+002	(4.22990991087672e+001dB,-1.79999833621786e+002°)
5.37031796370251e+002	(4.22990991784937e+001dB,-1.79999829746565e+002°)
5.49540873857623e+002	(4.22990992515107e+001dB,-1.79999825780432e+002°)
5.62341325190348e+002	(4.22990993279674e+001dB,-1.79999821722568e+002°)
5.75439937337155e+002	(4.22990994080249e+001dB,-1.79999817570107e+002°)
5.88843655355587e+002	(4.22990994918559e+001dB,-1.79999813321001e+002°)
6.02559586074356e+002	(4.22990995796427e+001dB,-1.79999808971974e+002°)
6.16595001861481e+002	(4.22990996715619e+001dB,-1.79999804522207e+002°)
6.30957344480192e+002	(4.22990997678132e+001dB,-1.79999799970062e+002°)
6.45654229034654e+002	(4.22990998686025e+001dB,-1.79999795309805e+002°)
6.60693448007594e+002	(4.22990999741410e+001dB,-1.79999790542257e+002°)
6.76082975391980e+002	(4.22991000846539e+001dB,-1.79999785663321e+002°)
6.91830970918935e+002	(4.22991002003740e+001dB,-1.79999780671359e+002°)
7.07945784384136e+002	(4.22991003215497e+001dB,-1.79999775562278e+002°)
7.24435960074988e+002	(4.22991004484349e+001dB,-1.79999770335256e+002°)
7.41310241300916e+002	(4.22991005812995e+001dB,-1.79999764985382e+002°)
7.58577575029182e+002	(4.22991007204267e+001dB,-1.79999759511015e+002°)
7.76247116628690e+002	(4.22991008661114e+001dB,-1.79999753909700e+002°)
7.94328234724279e+002	(4.22991010186601e+001dB,-1.79999748176522e+002°)
8.12830516164097e+002	(4.22991011784006e+001dB,-1.79999742311481e+002°)
8.31763771102669e+002	(4.22991013456687e+001dB,-1.79999736308845e+002°)
8.51138038202374e+002	(4.22991015208174e+001dB,-1.79999730166155e+002°)
8.70963589956078e+002	(4.22991017042250e+001dB,-1.79999723880956e+002°)
8.91250938133743e+002	(4.22991018962718e+001dB,-1.79999717449970e+002°)
9.12010839355907e+002	(4.22991020973729e+001dB,-1.79999710869103e+002°)
9.33254300796988e+002	(4.22991023079475e+001dB,-1.79999704133441e+002°)
9.54992586021433e+002	(4.22991025284495e+001dB,-1.79999697241346e+002°)
9.77237220955808e+002	(4.22991027593425e+001dB,-1.79999690189541e+002°)
9.99999999999997e+002	(4.22991030011194e+001dB,-1.79999682973113e+002°)
1.02329299228075e+003	(4.22991032542884e+001dB,-1.79999675588785e+002°)
1.04712854805090e+003	(4.22991035193889e+001dB,-1.79999668032463e+002°)
1.07151930523760e+003	(4.22991037969855e+001dB,-1.79999660300051e+002°)
1.09647819614318e+003	(4.22991040876622e+001dB,-1.79999652388274e+002°)
1.12201845430196e+003	(4.22991043920377e+001dB,-1.79999644289760e+002°)
1.14815362149688e+003	(4.22991047107582e+001dB,-1.79999636005328e+002°)
1.17489755493953e+003	(4.22991050445007e+001dB,-1.79999627526789e+002°)
1.20226443461741e+003	(4.22991053939714e+001dB,-1.79999618850046e+002°)
1.23026877081238e+003	(4.22991057599134e+001dB,-1.79999609971825e+002°)
1.25892541179416e+003	(4.22991061431008e+001dB,-1.79999600888849e+002°)
1.28824955169313e+003	(4.22991065443445e+001dB,-1.79999591591289e+002°)
1.31825673855640e+003	(4.22991069645001e+001dB,-1.79999582077509e+002°)
1.34896288259165e+003	(4.22991074044581e+001dB,-1.79999572342594e+002°)
1.38038426460288e+003	(4.22991078651497e+001dB,-1.79999562381630e+002°)
1.41253754462275e+003	(4.22991083475527e+001dB,-1.79999552188065e+002°)
1.44543977074592e+003	(4.22991088526895e+001dB,-1.79999541756985e+002°)
1.47910838816820e+003	(4.22991093816331e+001dB,-1.79999531085114e+002°)
1.51356124843620e+003	(4.22991099355066e+001dB,-1.79999520164262e+002°)
1.54881661891248e+003	(4.22991105154839e+001dB,-1.79999508984601e+002°)
1.58489319246111e+003	(4.22991111227930e+001dB,-1.79999497547769e+002°)
1.62181009735892e+003	(4.22991117587202e+001dB,-1.79999485843938e+002°)
1.65958690743755e+003	(4.22990997104202e+001dB,-1.79999473867424e+002°)
1.69824365246174e+003	(4.22991004077014e+001dB,-1.79999461611560e+002°)
1.73780082874937e+003	(4.22991011378475e+001dB,-1.79999449070679e+002°)
1.77827941003892e+003	(4.22991019024028e+001dB,-1.79999436239867e+002°)
1.81970085860998e+003	(4.22991027029932e+001dB,-1.79999423107658e+002°)
1.86208713666286e+003	(4.22991035413142e+001dB,-1.79999409670776e+002°)
1.90546071796324e+003	(4.22991044191352e+001dB,-1.79999395919394e+002°)
1.94984459975804e+003	(4.22991053383342e+001dB,-1.79999381850236e+002°)
1.99526231496887e+003	(4.22991063008512e+001dB,-1.79999367451835e+002°)
2.04173794466952e+003	(4.22990945945183e+001dB,-1.79999352715056e+002°)
2.08929613085403e+003	(4.22990956499005e+001dB,-1.79999337640132e+002°)
2.13796208950222e+003	(4.22990967550185e+001dB,-1.79999322213034e+002°)
2.18776162394954e+003	(4.22990979122122e+001dB,-1.79999306423935e+002°)
2.23872113856833e+003	(4.22990991239452e+001dB,-1.79999290267920e+002°)
2.29086765276776e+003	(4.22991003927903e+001dB,-1.79999273736801e+002°)
2.34422881531991e+003	(4.22991017214246e+001dB,-1.79999256822388e+002°)
2.39883291901948e+003	(4.22991031126807e+001dB,-1.79999239511577e+002°)
2.45470891568502e+003	(4.22991045694997e+001dB,-1.79999221797817e+002°)
2.51188643150957e+003	(4.22991060949779e+001dB,-1.79999203668004e+002°)
2.57039578276885e+003	(4.22991076923514e+001dB,-1.79999185122139e+002°)
2.63026799189537e+003	(4.22990966507977e+001dB,-1.79999166142622e+002°)
2.69153480392690e+003	(4.22990984022736e+001dB,-1.79999146715487e+002°)
2.75422870333815e+003	(4.22991002362998e+001dB,-1.79999126842818e+002°)
2.81838293126444e+003	(4.22991021567562e+001dB,-1.79999106501683e+002°)
2.88403150312659e+003	(4.22991041677131e+001dB,-1.79999085692084e+002°)
2.95120922666637e+003	(4.22991062734541e+001dB,-1.79999064400917e+002°)
3.01995172040200e+003	(4.22991084784220e+001dB,-1.79999042608529e+002°)
3.09029543251358e+003	(4.22991107873039e+001dB,-1.79999020308368e+002°)
3.16227766016836e+003	(4.22991004908002e+001dB,-1.79998997482587e+002°)
3.23593656929627e+003	(4.22991030224367e+001dB,-1.79998974137367e+002°)
3.31131121482590e+003	(4.22991056733835e+001dB,-1.79998950238513e+002°)
