freq,vin,amp,pha,v1,v2
100.0,0.1,42.2,179.0,0.0998,12.845
110.5209851505233,0.1,42.2,179.0,0.09965,12.845
122.14888158642204,0.1,42.2,180.0,0.09965,12.845
135.00014727965979,0.1,42.2,181.0,0.0997,12.845
149.20349272813738,0.1,42.2,179.0,0.09975,12.845
164.90117004212698,0.1,42.2,180.0,0.0997,12.845
182.25039765529831,0.1,42.2,179.0,0.0989,12.845
201.42493492938192,0.1,42.2,179.0,0.0989,12.845
222.6168224227534,0.1,42.2,181.0,0.1,12.845
246.03830525241835,0.1,42.2,179.0,0.1,12.845
271.92395881262445,0.1,42.2,180.0,0.0999,12.85
300.5330381400158,0.1,42.2,181.0,0.0997,12.85
332.1520744551437,0.1,42.2,180.0,0.0996,12.85
367.0977448857244,0.1,42.2,180.0,0.0996,12.85
405.7200441130574,0.1,42.2,180.0,0.0993,12.85
448.4057897068887,0.1,42.2,180.0,0.09925,12.85
495.5824962560377,0.1,42.2,179.0,0.0988,12.85
547.7226570957281,0.1,42.2,179.0,0.0988,12.85
605.3484765148213,0.1,42.2,179.0,0.0988,12.85
669.0370998378653,0.1,42.2,181.0,0.0997,12.85
739.4263937632988,0.1,42.2,179.0,0.09975,12.85
817.2213348501854,0.1,42.2,180.0,0.0992,12.845
903.2010701366817,0.1,42.2,179.0,0.0997,12.845
998.2267206051305,0.1,42.2,179.0,0.0993,12.85
1103.250005648552,0.1,42.3,179.0,0.0993,12.85
1219.3227749159846,0.1,42.3,179.0,0.0993,12.85
1347.607543001844,0.1,42.3,179.0,0.0993,12.845
1489.3891324883998,0.1,42.2,179.0,0.09875,12.85
1646.087541951012,0.1,42.3,179.0,0.09905,12.845
1819.2721678042922,0.1,42.3,179.0,0.099,12.845
2010.677522426587,0.1,42.3,179.0,0.09945,12.85
2222.2206059859977,0.1,42.2,179.0,0.10025,12.85
2456.020105953656,0.1,42.3,178.0,0.09935,12.845
2714.4176165949066,0.1,42.2,179.0,0.1,12.845
3000.001090960045,0.1,42.2,179.0,0.1001,12.845
3315.6307602554884,0.1,42.2,179.0,0.0999,12.845
3664.467780188151,0.1,42.2,179.0,0.09965,12.845
4050.005891187461,0.1,42.3,179.0,0.0989,12.84
4476.106409594618,0.1,42.3,178.0,0.09885,12.84
4947.036900269688,0.1,42.3,178.0,0.0991,12.84
5467.51391793797,0.1,42.3,178.0,0.099,12.84
6042.750245347019,0.1,42.3,177.0,0.099,12.84
6678.507101343188,0.1,42.2,177.0,0.10015,12.835
7381.1518417521565,0.1,42.2,176.0,0.1001,12.835
8157.7217309604775,0.1,42.2,176.0,0.1001,12.83
