freq,vin,amp,pha,v1,v2
100.0,0.1,42.2,179.0,0.0989,12.845
110.5209851505233,0.1,42.2,179.0,0.0989,12.845
122.14888158642204,0.1,42.2,179.0,0.09995,12.845
135.00014727965979,0.1,42.2,181.0,0.1,12.85
149.20349272813738,0.1,42.2,179.0,0.1,12.85
164.90117004212698,0.1,42.2,179.0,0.09985,12.845
182.25039765529831,0.1,42.2,180.0,0.09985,12.845
201.42493492938192,0.1,42.2,180.0,0.09965,12.845
222.6168224227534,0.1,42.2,180.0,0.09965,12.845
246.03830525241835,0.1,42.2,181.0,0.09945,12.85
271.92395881262445,0.1,42.2,179.0,0.09965,12.845
300.5330381400158,0.1,42.2,181.0,0.09965,12.845
332.1520744551437,0.1,42.2,179.0,0.09925,12.85
367.0977448857244,0.1,42.2,179.0,0.0989,12.845
405.7200441130574,0.1,42.2,180.0,0.09985,12.85
448.4057897068887,0.1,42.2,181.0,0.0998,12.85
495.5824962560377,0.1,42.2,180.0,0.09975,12.85
547.7226570957281,0.1,42.2,181.0,0.0997,12.85
605.3484765148213,0.1,42.2,180.0,0.09955,12.845
669.0370998378653,0.1,42.2,181.0,0.0993,12.845
739.4263937632988,0.1,42.2,180.0,0.09955,12.845
817.2213348501854,0.1,42.2,180.0,0.09935,12.85
903.2010701366817,0.1,42.3,180.0,0.09905,12.845
998.2267206051305,0.1,42.2,179.0,0.09875,12.845
1103.250005648552,0.1,42.2,179.0,0.09875,12.845
1219.3227749159846,0.1,42.2,179.0,0.09865,12.845
1347.607543001844,0.1,42.2,178.0,0.09865,12.845
1489.3891324883998,0.1,42.2,179.0,0.0997,12.845
1646.087541951012,0.1,42.3,179.0,0.09935,12.845
1819.2721678042922,0.1,42.3,179.0,0.09885,12.845
2010.677522426587,0.1,42.3,179.0,0.09915,12.85
2222.2206059859977,0.1,42.2,179.0,0.0996,12.845
2456.020105953656,0.1,42.3,178.0,0.0992,12.845
2714.4176165949066,0.1,42.2,179.0,0.0998,12.845
3000.001090960045,0.1,42.3,178.0,0.09885,12.845
3315.6307602554884,0.1,42.3,178.0,0.0992,12.845
3664.467780188151,0.1,42.3,178.0,0.0991,12.845
4050.005891187461,0.1,42.3,178.0,0.09935,12.84
4476.106409594618,0.1,42.2,178.0,0.10025,12.84
4947.036900269688,0.1,42.2,177.0,0.1001,12.845
5467.51391793797,0.1,42.2,177.0,0.1001,12.84
6042.750245347019,0.1,42.2,177.0,0.1,12.84
6678.507101343188,0.1,42.2,177.0,0.09975,12.84
7381.1518417521565,0.1,42.2,177.0,0.09985,12.73
8157.7217309604775,0.1,42.3,176.0,0.09895,12.73
9015.99442289585,0.1,42.3,177.0,0.09925,12.735
9964.565857300731,0.1,42.3,176.0,0.0993,12.73
11012.936351461456,0.1,42.3,175.0,0.09935,12.72
12171.605749635297,0.1,42.2,175.0,0.1008,12.715
13452.178583134668,0.1,42.2,174.0,0.10035,12.715
14867.48029428817,0.1,42.2,174.0,0.10015,12.715
16431.685688307174,0.1,42.2,171.0,0.10065,12.71
18160.46089955467,0.1,42.2,171.0,0.1004,12.77
20071.120294063407,0.1,42.2,170.0,0.1001,12.755
22182.799879745482,0.1,42.3,170.0,0.0992,12.705
24516.648961063805,0.1,42.2,168.0,0.09905,12.69
27096.041957663252,0.1,42.2,168.0,0.09935,12.57
29946.812508408628,0.1,42.2,166.0,0.09995,12.56
33097.512205473286,0.1,42.1,164.0,0.0999,12.58
36579.69654980384,0.1,42.0,163.0,0.1008,12.42
40428.24099191518,0.1,42.0,160.0,0.1001,12.46
44681.690223292346,0.1,41.9,160.0,0.1002,12.37
49382.64421668775,0.1,41.8,156.0,0.1006,12.28
54578.184881661226,0.1,41.8,153.0,0.10035,12.09
60320.34760848608,0.1,41.7,152.0,0.099,11.935
66666.6424231188,0.1,41.6,149.0,0.09895,11.775
73680.62997280774,0.1,41.4,146.0,0.0991,11.655
81432.55811105885,0.1,41.3,142.0,0.0993,11.42
90000.06545761462,0.1,41.1,138.0,0.09945,11.14
99468.95897987149,0.1,40.7,134.0,0.10015,10.825
109934.07338352388,0.1,40.5,130.0,0.10015,10.38
121500.22091957006,0.1,40.1,125.0,0.1001,10.065
134283.24112037075,0.1,39.8,121.0,0.0994,9.635
148411.16097828664,0.1,39.3,115.0,0.10005,9.175
164025.4771865314,0.1,38.8,111.0,0.0996,8.665
181282.57328440135,0.1,38.3,105.0,0.09965,8.125
200355.28590014015,0.1,37.7,99.0,0.0992,7.56
221434.63577798192,0.1,37.0,94.0,0.09885,6.995
244731.74092629927,0.1,36.3,88.0,0.0988,6.43
270479.93104777177,0.1,35.4,82.0,0.0988,5.84
298937.0844284541,0.1,34.5,77.0,0.09845,5.255
330388.2106905791,0.1,33.5,70.0,0.1007,4.71
