freq,vin,amp,pha,v1,v2
530.0000000000001,0.1,-28.3,-168.0,0.19815,0.008625
575.9764134060222,0.1,-28.2,-176.0,0.19825,0.008885
625.9411864152174,0.1,-28.3,-166.0,0.196,0.0086
680.2403010463154,0.1,-28.1,-176.0,0.19825,0.008725
739.2497525488487,0.1,-28.1,-165.0,0.196,0.009345
803.3781529893871,0.1,-28.1,-165.0,0.19825,0.009225
873.0695606935503,0.1,-28.0,-162.0,0.196,0.008865
948.8065551363073,0.1,-27.9,-160.0,0.19825,0.00886
1031.1135785727045,0.1,-27.8,-158.0,0.19825,0.009345
1120.5605675482177,0.1,-27.7,-162.0,0.19825,0.009135
1217.7668994351677,0.1,-27.6,-157.0,0.196,0.009635
1323.4056813230955,0.1,-27.5,-158.0,0.19815,0.00983
1438.208410961565,0.1,-27.3,-157.0,0.19825,0.011045
1562.9700420302197,0.1,-27.0,-158.0,0.19825,0.010125
1698.5544888106158,0.1,-26.7,-176.0,0.19825,0.01215
1845.900608377052,0.1,-26.6,-158.0,0.196,0.012115
2006.0287017302069,0.1,-26.4,-164.0,0.19815,0.01361
2180.0475788907606,0.1,-25.8,-135.0,0.196,0.012775
2369.1622368754406,0.1,-25.5,-141.0,0.1987,0.0137
2574.682203721707,0.1,-25.5,-143.0,0.19815,0.01365
2798.030606339513,0.1,-25.4,-134.0,0.196,0.01623
3040.7540249805875,0.1,-24.3,-140.0,0.196,0.01667
3304.533202562725,0.1,-24.2,-151.0,0.1986,0.017185
3591.19468300603,0.1,-23.8,-125.0,0.1962,0.016005
3902.7234591709234,0.1,-23.3,-129.0,0.19815,0.018145
4241.276717978895,0.1,-22.8,-136.0,0.19815,0.01839
4609.198777894242,0.1,-22.3,-124.0,0.19815,0.01938
5009.037322201784,0.1,-21.7,-116.0,0.1985,0.020305
5443.561040488097,0.1,-21.6,-138.0,0.1985,0.024
5915.778800485071,0.1,-20.4,-131.0,0.19805,0.022935
6428.960483031642,0.1,-19.7,-123.0,0.19805,0.023955
6986.65962442569,0.1,-19.2,-112.0,0.19835,0.02595
7592.738022953543,0.1,-18.7,-140.0,0.19825,0.0274
8251.392479985496,0.1,-18.0,-110.0,0.1985,0.027995
8967.18386080654,0.1,-17.3,-113.0,0.19815,0.031195
9745.06867641457,0.1,-16.6,-123.0,0.19825,0.03225
10590.433404974772,0.1,-16.0,-108.0,0.19815,0.0342
11509.131790590001,0.1,-15.4,-109.0,0.19825,0.0396
12507.525377662761,0.1,-14.7,-106.0,0.19835,0.0405
13592.5275615302,0.1,-14.0,-108.0,0.1985,0.04375
14771.651460401274,0.1,-13.3,-108.0,0.1985,0.0463
16053.06194008631,0.1,-12.5,-105.0,0.19825,0.05325
17445.63215176536,0.1,-11.9,-106.0,0.19825,0.05505
18959.004974291667,0.1,-11.2,-106.0,0.19835,0.057
20603.65978648954,0.1,-10.5,-109.0,0.1985,0.0653
22390.98503181159,0.1,-9.8,-103.0,0.19825,0.068
24333.357077831657,0.1,-9.1,-111.0,0.19835,0.06945
26444.225916636853,0.1,-8.4,-109.0,0.1985,0.07835
28738.20829955293,0.1,-7.7,-113.0,0.1986,0.0842
31231.188951116397,0.1,-6.9,-110.0,0.19805,0.0933
33940.43056315054,0.1,-6.3,-112.0,0.19825,0.09665
36884.69333060302,0.1,-5.7,-112.0,0.1985,0.10565
40084.36485687127,0.1,-5.0,-112.0,0.19835,0.11535
43561.6013281493,0.1,-4.3,-112.0,0.1985,0.1204
47340.480934359366,0.1,-3.6,-115.0,0.1985,0.133
51447.170599034805,0.1,-3.0,-117.0,0.19835,0.14275
55910.10717267895,0.1,-2.4,-120.0,0.19835,0.15005
60760.194344275274,0.1,-1.7,-121.0,0.19815,0.16165
66031.01663446901,0.1,-1.0,-127.0,0.19835,0.181
71759.07195221675,0.1,-0.4,-125.0,0.19815,0.1875
77984.02432525002,0.1,0.1,-128.0,0.19795,0.201
84748.9785543878,0.1,0.1,-128.0,0.19825,-1
92100.77869354739,0.1,1.3,-135.0,0.19805,0.234
100090.33242228537,0.1,1.8,-138.0,0.19835,0.247
108772.96355698934,0.1,2.3,-140.0,0.19815,0.261
118208.79514169571,0.1,2.8,-145.0,0.19825,0.2735
128463.16577124748,0.1,2.8,-145.0,0.1976,-1
139607.08202963482,0.1,3.5,-152.0,0.19805,0.3
151717.71017643294,0.1,3.9,-157.0,0.19805,0.313
164878.91048603033,0.1,4.3,-160.0,0.19815,0.3235
179181.81793969133,0.1,4.5,-164.0,0.1985,0.3345
194725.4732914606,0.1,4.7,-169.0,0.19825,-1
211617.50887774667,0.1,5.0,-174.0,0.19825,0.351
229974.89391947485,0.1,5.1,-178.0,0.1977,0.3595
249924.74447767859,0.1,5.3,176.0,0.19795,0.3625
271605.2036710754,0.1,5.3,171.0,0.19805,0.3665
295166.3982507132,0.1,5.3,166.0,0.19795,0.366
320771.47815550776,0.1,5.3,161.0,0.19785,0.3655
348597.74624709,0.1,5.2,157.0,0.1976,0.363
378837.88604683336,0.1,5.1,150.0,0.1977,0.3585
411701.29597655585,0.1,5.0,146.0,0.1977,0.354
447415.5393418641,0.1,4.8,139.0,0.19795,0.348
486227.92009858135,0.1,4.7,134.0,0.1977,0.3395
528407.1953136801,0.1,4.4,129.0,0.1977,0.332
574245.4361786953,0.1,4.2,123.0,0.1977,0.3205
624060.0504622302,0.1,3.9,116.0,0.1974,0.3125
678195.9804060694,0.1,3.6,111.0,0.1975,0.3035
737028.0912842813,0.1,3.3,104.0,0.1973,0.293
800963.7671649188,0.1,3.0,97.0,0.1975,0.2815
870445.7318487293,0.1,2.7,91.0,0.1972,0.2785
945955.1145185105,0.1,2.5,83.0,0.19705,0.2635
1028014.7813272717,0.1,2.2,75.0,0.196,0.2555
1117192.9559948274,0.1,1.9,67.0,0.1963,0.2445
1214107.154483723,0.1,1.6,57.0,0.19535,0.237
1319428.4610002388,0.1,1.3,47.0,0.19535,0.23
1433886.174929709,0.1,0.8,34.0,0.1925,0.218
1558272.8608839489,0.1,0.1,22.0,0.1949,0.2005
1693449.83682996,0.1,-0.7,5.0,0.195,0.18165
1840353.1383025143,0.1,-2.0,-9.0,0.1948,0.15795
2000000.0000000002,0.1,-3.5,-24.0,0.1936,0.13225
