Freq.	V(vout)/V(v1)
1.00000000000000e+002	(2.68476780342011e+001dB,1.79977286251914e+002°)
1.02329299228075e+002	(2.68476780130724e+001dB,1.79976757180785e+002°)
1.04712854805090e+002	(2.68476779909478e+001dB,1.79976215786008e+002°)
1.07151930523761e+002	(2.68476779677805e+001dB,1.79975661780529e+002°)
1.09647819614318e+002	(2.68476779435218e+001dB,1.79975094870607e+002°)
1.12201845430196e+002	(2.68476779181194e+001dB,1.79974514755660e+002°)
1.14815362149688e+002	(2.68476778915200e+001dB,1.79973921128102e+002°)
1.17489755493953e+002	(2.68476778636670e+001dB,1.79973313673185e+002°)
1.20226443461741e+002	(2.68476778345010e+001dB,1.79972692068829e+002°)
1.23026877081238e+002	(2.68476778039608e+001dB,1.79972055985450e+002°)
1.25892541179417e+002	(2.68476777719812e+001dB,1.79971405085790e+002°)
1.28824955169313e+002	(2.68476777384946e+001dB,1.79970739024733e+002°)
1.31825673855641e+002	(2.68476777034296e+001dB,1.79970057449126e+002°)
1.34896288259165e+002	(2.68476776667122e+001dB,1.79969359997588e+002°)
1.38038426460288e+002	(2.68476776282642e+001dB,1.79968646300321e+002°)
1.41253754462275e+002	(2.68476775880043e+001dB,1.79967915978914e+002°)
1.44543977074593e+002	(2.68476775458471e+001dB,1.79967168646142e+002°)
1.47910838816821e+002	(2.68476775017028e+001dB,1.79966403905760e+002°)
1.51356124843621e+002	(2.68476774554783e+001dB,1.79965621352292e+002°)
1.54881661891248e+002	(2.68476774070752e+001dB,1.79964820570819e+002°)
1.58489319246111e+002	(2.68476773563912e+001dB,1.79964001136757e+002°)
1.62181009735893e+002	(2.68476773033180e+001dB,1.79963162615631e+002°)
1.65958690743756e+002	(2.68476772477439e+001dB,1.79962304562848e+002°)
1.69824365246174e+002	(2.68476771895508e+001dB,1.79961426523457e+002°)
1.73780082874937e+002	(2.68476771286149e+001dB,1.79960528031911e+002°)
1.77827941003892e+002	(2.68476770648073e+001dB,1.79959608611819e+002°)
1.81970085860998e+002	(2.68476769979926e+001dB,1.79958667775693e+002°)
1.86208713666287e+002	(2.68476769280291e+001dB,1.79957705024690e+002°)
1.90546071796324e+002	(2.68476768547677e+001dB,1.79956719848348e+002°)
1.94984459975804e+002	(2.68476767780542e+001dB,1.79955711724315e+002°)
1.99526231496888e+002	(2.68476766977252e+001dB,1.79954680118071e+002°)
2.04173794466953e+002	(2.68476766136101e+001dB,1.79953624482647e+002°)
2.08929613085404e+002	(2.68476765255310e+001dB,1.79952544258331e+002°)
