time	V(v2)	V(vout)
0.000000000000000e+000	0.000000e+000	1.097028e-004
1.804151767661974e-009	1.133803e-003	1.096485e-004
3.608303535323949e-009	2.267105e-003	1.097306e-004
5.412455302985923e-009	3.399904e-003	1.099490e-004
7.216607070647897e-009	4.532201e-003	1.103038e-004
9.020758838309872e-009	5.663995e-003	1.107950e-004
1.082491060597185e-008	6.795287e-003	1.114225e-004
1.262906237363382e-008	7.926078e-003	1.121863e-004
1.555874987363382e-008	9.759461e-003	1.141900e-004
1.848843737363381e-008	1.158954e-002	1.170950e-004
2.141812487363381e-008	1.341568e-002	1.210950e-004
2.434781237363381e-008	1.523729e-002	1.263995e-004
2.727749987363381e-008	1.705373e-002	1.332359e-004
3.020718737363381e-008	1.886439e-002	1.418494e-004
3.313687487363381e-008	2.066866e-002	1.525035e-004
3.606656237363380e-008	2.246593e-002	1.654795e-004
3.899624987363380e-008	2.425558e-002	1.810755e-004
4.192593737363380e-008	2.603702e-002	1.996048e-004
4.485562487363380e-008	2.780963e-002	2.213948e-004
4.778531237363380e-008	2.957282e-002	2.467851e-004
5.071499987363380e-008	3.132599e-002	2.761253e-004
5.364468737363380e-008	3.306855e-002	3.097736e-004
5.657437487363379e-008	3.479990e-002	3.480941e-004
5.950406237363379e-008	3.651946e-002	3.914551e-004
6.243374987363380e-008	3.822665e-002	4.402267e-004
6.536343737363380e-008	3.992088e-002	4.947791e-004
6.829312487363381e-008	4.160158e-002	5.554801e-004
7.122281237363381e-008	4.326819e-002	6.226937e-004
7.415249987363382e-008	4.492014e-002	6.967775e-004
7.708218737363382e-008	4.655687e-002	7.780814e-004
8.001187487363383e-008	4.817782e-002	8.669453e-004
8.294156237363383e-008	4.978245e-002	9.636982e-004
8.587124987363384e-008	5.137021e-002	1.068656e-003
8.880093737363384e-008	5.294057e-002	1.182120e-003
9.173062487363385e-008	5.449299e-002	1.304376e-003
9.466031237363385e-008	5.602694e-002	1.435692e-003
9.758999987363386e-008	5.754191e-002	1.576320e-003
1.005196873736339e-007	5.903738e-002	1.726489e-003
1.034493748736339e-007	6.051284e-002	1.886410e-003
1.063790623736339e-007	6.196781e-002	2.056274e-003
1.093087498736339e-007	6.340177e-002	2.236247e-003
1.151681248736339e-007	6.620478e-002	2.627075e-003
1.210274998736339e-007	6.891806e-002	3.059768e-003
1.268868748736339e-007	7.153794e-002	3.534810e-003
1.327462498736339e-007	7.406088e-002	4.052285e-003
1.356759373736338e-007	7.528491e-002	4.326849e-003
1.386056248736338e-007	7.648344e-002	4.611870e-003
1.415353123736338e-007	7.765605e-002	4.907242e-003
1.444649998736338e-007	7.880235e-002	5.212836e-003
1.473946873736338e-007	7.992195e-002	5.528499e-003
1.503243748736338e-007	8.101447e-002	5.854052e-003
1.532540623736338e-007	8.207953e-002	6.189290e-003
1.561837498736338e-007	8.311678e-002	6.533985e-003
1.591134373736338e-007	8.412588e-002	6.887886e-003
1.620431248736338e-007	8.510646e-002	7.250719e-003
1.649728123736338e-007	8.605821e-002	7.622184e-003
1.679024998736338e-007	8.698080e-002	8.001963e-003
1.708321873736337e-007	8.787392e-002	8.389713e-003
1.737618748736337e-007	8.873726e-002	8.785071e-003
1.766915623736337e-007	8.957054e-002	9.187654e-003
1.796212498736337e-007	9.037347e-002	9.597058e-003
1.825509373736337e-007	9.114577e-002	1.001286e-002
1.854806248736337e-007	9.188719e-002	1.043463e-002
1.884103123736337e-007	9.259748e-002	1.086189e-002
1.913399998736337e-007	9.327639e-002	1.129418e-002
1.942696873736337e-007	9.392370e-002	1.173101e-002
2.001290623736337e-007	9.512262e-002	1.261625e-002
2.059884373736337e-007	9.619264e-002	1.351339e-002
2.118478123736336e-007	9.713228e-002	1.441805e-002
2.177071873736336e-007	9.794030e-002	1.532567e-002
2.235665623736336e-007	9.861559e-002	1.623154e-002
2.294259373736336e-007	9.915721e-002	1.713087e-002
2.352853123736336e-007	9.956447e-002	1.801880e-002
2.411446873736336e-007	9.983680e-002	1.889043e-002
2.440743748736336e-007	9.992223e-002	1.931860e-002
2.470040623736336e-007	9.997381e-002	1.974086e-002
2.499337498736336e-007	9.999152e-002	2.015659e-002
2.528634373736336e-007	9.997535e-002	2.056519e-002
2.557931248736336e-007	9.992529e-002	2.096607e-002
2.587228123736337e-007	9.984139e-002	2.135862e-002
2.616524998736337e-007	9.972365e-002	2.174225e-002
2.645821873736337e-007	9.957212e-002	2.211639e-002
2.704415623736337e-007	9.916791e-002	2.283390e-002
2.763009373736338e-007	9.862931e-002	2.350668e-002
2.850899998736338e-007	9.757106e-002	2.442261e-002
2.938790623736339e-007	9.621533e-002	2.521459e-002
3.026681248736339e-007	9.456626e-002	2.587014e-002
3.114571873736340e-007	9.262887e-002	2.637814e-002
3.173165623736340e-007	9.117997e-002	2.662999e-002
3.231759373736341e-007	8.960751e-002	2.680945e-002
3.319649998736341e-007	8.702184e-002	2.693832e-002
3.407540623736342e-007	8.417085e-002	2.689377e-002
3.466134373736342e-007	8.212704e-002	2.676567e-002
3.503801784450628e-007	8.075214e-002	2.664120e-002
3.541469195164914e-007	7.933406e-002	2.648372e-002
3.579136605879200e-007	7.787281e-002	2.629323e-002
3.616804016593486e-007	7.636839e-002	2.606973e-002
3.654471427307772e-007	7.482079e-002	2.581322e-002
3.692138838022058e-007	7.323002e-002	2.552371e-002
3.729806248736344e-007	7.159608e-002	2.520119e-002
3.796770534450630e-007	6.858210e-002	2.454015e-002
3.863734820164916e-007	6.546109e-002	2.378593e-002
3.930699105879202e-007	6.223307e-002	2.293854e-002
3.997663391593488e-007	5.889802e-002	2.199798e-002
4.064627677307774e-007	5.545595e-002	2.096424e-002
4.131591963022061e-007	5.190686e-002	1.983733e-002
4.198556248736347e-007	4.825075e-002	1.861725e-002
4.269705802307776e-007	4.426784e-002	1.722638e-002
4.340855355879205e-007	4.021710e-002	1.577111e-002
4.412004909450634e-007	3.609854e-002	1.425145e-002
4.483154463022063e-007	3.191217e-002	1.266738e-002
4.554304016593492e-007	2.765798e-002	1.101892e-002
4.625453570164921e-007	2.333597e-002	9.306067e-003
4.696603123736350e-007	1.894614e-002	7.528812e-003
4.734270534450635e-007	1.661411e-002	6.579408e-003
4.771937945164921e-007	1.427607e-002	5.623932e-003
4.809605355879206e-007	1.193200e-002	4.662386e-003
4.847272766593491e-007	9.581917e-003	3.694769e-003
4.884940177307777e-007	7.225808e-003	2.721080e-003
4.922607588022063e-007	4.863677e-003	1.741321e-003
4.960274998736348e-007	2.495525e-003	7.554906e-004
5.018868748736347e-007	-1.185430e-003	-7.763551e-004
5.077462498736346e-007	-4.864779e-003	-2.307997e-003
5.165353123736345e-007	-1.036988e-002	-4.595359e-003
5.219761605879201e-007	-1.377279e-002	-6.007358e-003
5.274170088022058e-007	-1.714982e-002	-7.398590e-003
5.328578570164914e-007	-2.050099e-002	-8.769054e-003
5.382987052307772e-007	-2.382628e-002	-1.011875e-002
5.437395534450628e-007	-2.712571e-002	-1.144768e-002
5.491804016593485e-007	-3.039926e-002	-1.275585e-002
5.546212498736341e-007	-3.364694e-002	-1.404324e-002
5.604806248736340e-007	-3.708992e-002	-1.538736e-002
5.663399998736339e-007	-4.048264e-002	-1.669290e-002
5.751290623736338e-007	-4.546744e-002	-1.857269e-002
5.839181248736337e-007	-5.031361e-002	-2.035066e-002
5.885219195164908e-007	-5.279671e-002	-2.124060e-002
5.931257141593480e-007	-5.523067e-002	-2.209768e-002
5.977295088022050e-007	-5.761549e-002	-2.292192e-002
6.023333034450621e-007	-5.995117e-002	-2.371331e-002
6.069370980879192e-007	-6.223770e-002	-2.447186e-002
6.115408927307763e-007	-6.447508e-002	-2.519756e-002
6.161446873736334e-007	-6.666332e-002	-2.589042e-002
6.249337498736332e-007	-7.067525e-002	-2.711319e-002
6.307931248736332e-007	-7.323088e-002	-2.785690e-002
6.366524998736331e-007	-7.568727e-002	-2.854301e-002
6.395821873736331e-007	-7.687721e-002	-2.886441e-002
6.454415623736330e-007	-7.917853e-002	-2.946392e-002
6.513009373736329e-007	-8.137256e-002	-3.000586e-002
6.600899998736328e-007	-8.445592e-002	-3.071165e-002
6.688790623736327e-007	-8.728180e-002	-3.129066e-002
6.776681248736326e-007	-8.984157e-002	-3.174559e-002
6.835274998736326e-007	-9.139635e-002	-3.198164e-002
6.893868748736325e-007	-9.282728e-002	-3.216525e-002
6.923165623736324e-007	-9.349568e-002	-3.223779e-002
6.952462498736324e-007	-9.413240e-002	-3.229772e-002
7.011056248736323e-007	-9.530995e-002	-3.238044e-002
7.069649998736323e-007	-9.635833e-002	-3.241491e-002
7.157540623736322e-007	-9.768566e-002	-3.237954e-002
7.245431248736321e-007	-9.871516e-002	-3.224461e-002
7.333321873736320e-007	-9.944369e-002	-3.201587e-002
7.421212498736319e-007	-9.986903e-002	-3.169917e-002
7.479806248736318e-007	-9.998348e-002	-3.144208e-002
7.538399998736317e-007	-9.996243e-002	-3.115028e-002
7.567696873736317e-007	-9.990109e-002	-3.099190e-002
7.596993748736317e-007	-9.980590e-002	-3.082548e-002
7.655587498736316e-007	-9.951411e-002	-3.046939e-002
7.714181248736315e-007	-9.908746e-002	-3.008366e-002
7.772774998736314e-007	-9.852652e-002	-2.966991e-002
7.860665623736313e-007	-9.743504e-002	-2.900017e-002
7.936000445164884e-007	-9.625331e-002	-2.837648e-002
8.011335266593455e-007	-9.486509e-002	-2.772201e-002
8.086670088022025e-007	-9.327041e-002	-2.703675e-002
8.162004909450595e-007	-9.146924e-002	-2.632070e-002
8.237339730879167e-007	-8.946160e-002	-2.557387e-002
8.312674552307737e-007	-8.724749e-002	-2.479625e-002
8.388009373736307e-007	-8.482689e-002	-2.398785e-002
8.521937945164877e-007	-7.996933e-002	-2.249513e-002
8.655866516593447e-007	-7.464961e-002	-2.094371e-002
8.789795088022017e-007	-6.886774e-002	-1.933359e-002
8.923723659450586e-007	-6.262373e-002	-1.766476e-002
9.057652230879157e-007	-5.591756e-002	-1.593723e-002
9.191580802307727e-007	-4.874925e-002	-1.415099e-002
9.325509373736296e-007	-4.111878e-002	-1.230605e-002
9.409214730879152e-007	-3.623542e-002	-1.112730e-002
9.492920088022009e-007	-3.128659e-002	-9.927947e-003
9.576625445164864e-007	-2.627231e-002	-8.707978e-003
9.660330802307721e-007	-2.119257e-002	-7.467396e-003
9.744036159450578e-007	-1.604738e-002	-6.206202e-003
