time	V(v2)	V(vout)
0.000000000000000e+000	0.000000e+000	1.097027e-004
1.804151767661974e-009	1.133803e-003	1.096484e-004
3.608303535323949e-009	2.267105e-003	1.097304e-004
5.412455302985923e-009	3.399904e-003	1.099487e-004
7.216607070647897e-009	4.532201e-003	1.103034e-004
9.020758838309872e-009	5.663995e-003	1.107943e-004
1.082491060597185e-008	6.795287e-003	1.114217e-004
1.262906237363382e-008	7.926078e-003	1.121853e-004
1.555874987363382e-008	9.759461e-003	1.141897e-004
1.848843737363381e-008	1.158954e-002	1.170973e-004
2.141812487363381e-008	1.341568e-002	1.211034e-004
2.434781237363381e-008	1.523729e-002	1.264197e-004
2.727749987363381e-008	1.705373e-002	1.332760e-004
3.020718737363381e-008	1.886439e-002	1.419212e-004
3.313687487363381e-008	2.066866e-002	1.526229e-004
3.606656237363380e-008	2.246593e-002	1.656673e-004
3.899624987363380e-008	2.425558e-002	1.813582e-004
4.192593737363380e-008	2.603702e-002	2.000158e-004
4.485562487363380e-008	2.780963e-002	2.219753e-004
4.778531237363380e-008	2.957282e-002	2.475847e-004
5.071499987363380e-008	3.132599e-002	2.772038e-004
5.364468737363380e-008	3.306855e-002	3.112013e-004
5.657437487363379e-008	3.479990e-002	3.499534e-004
5.950406237363379e-008	3.651946e-002	3.938411e-004
6.243374987363380e-008	3.822665e-002	4.432489e-004
6.536343737363380e-008	3.992088e-002	4.985618e-004
6.829312487363381e-008	4.160158e-002	5.601639e-004
7.122281237363381e-008	4.326819e-002	6.284359e-004
7.415249987363382e-008	4.492014e-002	7.037533e-004
7.708218737363382e-008	4.655687e-002	7.864845e-004
8.001187487363383e-008	4.817782e-002	8.769886e-004
8.294156237363383e-008	4.978245e-002	9.756144e-004
8.587124987363384e-008	5.137021e-002	1.082698e-003
8.880093737363384e-008	5.294057e-002	1.198560e-003
9.173062487363385e-008	5.449299e-002	1.323508e-003
9.466031237363385e-008	5.602694e-002	1.457831e-003
9.758999987363386e-008	5.754191e-002	1.601798e-003
1.005196873736339e-007	5.903738e-002	1.755659e-003
1.034493748736339e-007	6.051284e-002	1.919646e-003
1.063790623736339e-007	6.196781e-002	2.093964e-003
1.093087498736339e-007	6.340177e-002	2.278798e-003
1.151681248736339e-007	6.620478e-002	2.680630e-003
1.210274998736339e-007	6.891806e-002	3.126117e-003
