Freq.	V(vo)
2.00000000000000e+001	(2.73603972483218e+000dB,-1.21893357274051e+001°)
2.04658598456151e+001	(2.69821288787991e+000dB,-1.22163377735347e+001°)
2.09425709610180e+001	(2.66040981212416e+000dB,-1.22388927101064e+001°)
2.14303861047521e+001	(2.62266212358951e+000dB,-1.22570618351132e+001°)
2.19295639228637e+001	(2.58500066528072e+000dB,-1.22709190386687e+001°)
2.24403690860393e+001	(2.54745535678559e+000dB,-1.22805503792281e+001°)
2.29630724299377e+001	(2.51005505995377e+000dB,-1.22860535854261e+001°)
2.34979510987906e+001	(2.47282745164229e+000dB,-1.22875374881490e+001°)
2.40452886923483e+001	(2.43579890442474e+000dB,-1.22851213880905e+001°)
2.46053754162476e+001	(2.39899437605828e+000dB,-1.22789343645736e+001°)
2.51785082358833e+001	(2.36243730839104e+000dB,-1.22691145318659e+001°)
2.57649910338627e+001	(2.32614953627744e+000dB,-1.22558082495581e+001°)
2.63651347711281e+001	(2.29015120694706e+000dB,-1.22391692938067e+001°)
2.69792576518331e+001	(2.25446071015389e+000dB,-1.22193579963855e+001°)
2.76076852920577e+001	(2.21909461931130e+000dB,-1.21965403585133e+001°)
2.82507508924551e+001	(2.18406764370191e+000dB,-1.21708871463689e+001°)
2.89087954149185e+001	(2.14939259173910e+000dB,-1.21425729750378e+001°)
2.95821677633641e+001	(2.11508034515288e+000dB,-1.21117753874042e+001°)
3.02712249687242e+001	(2.08113984387400e+000dB,-1.20786739341734e+001°)
3.09763323782496e+001	(2.04757808130389e+000dB,-1.20434492608346e+001°)
3.16978638492223e+001	(2.01440010958064e+000dB,-1.20062822069298e+001°)
3.24362019471786e+001	(1.98160905438415e+000dB,-1.19673529225145e+001°)
3.31917381487512e+001	(1.94920613877002e+000dB,-1.19268400061736e+001°)
3.39648730492349e+001	(1.91719071547869e+000dB,-1.18849196684255e+001°)
3.47560165749875e+001	(1.88556030713492e+000dB,-1.18417649237877e+001°)
3.55655882007784e+001	(1.85431065373408e+000dB,-1.17975448142359e+001°)
3.63940171721997e+001	(1.82343576680219e+000dB,-1.17524236662378e+001°)
3.72417427332573e+001	(1.79292798962024e+000dB,-1.17065603830293e+001°)
3.81092143592649e+001	(1.76277806291353e+000dB,-1.16601077732940e+001°)
3.89968919951609e+001	(1.73297519542863e+000dB,-1.16132119169461e+001°)
3.99052462993776e+001	(1.70350713884860e+000dB,-1.15660115682959e+001°)
4.08347588933906e+001	(1.67436026653232e+000dB,-1.15186375964822e+001°)
4.17859226170808e+001	(1.64551965560553e+000dB,-1.14712124627389e+001°)
4.27592417900446e+001	(1.61696917197635e+000dB,-1.14238497337614e+001°)
4.37552324789910e+001	(1.58869155789805e+000dB,-1.13766536302222e+001°)
4.47744227713668e+001	(1.56066852175404e+000dB,-1.13297186092976e+001°)
