Freq.	(-V(vs)*1000/(V(vi)-V(vs)))-1000
2.00000000000000e+001	(6.38842862178173e+001dB,-3.77043875908403e+001°)
2.04658598456151e+001	(6.38202431996612e+001dB,-3.86469127855103e+001°)
2.09425709610180e+001	(6.37518516205715e+001dB,-3.96105495391891e+001°)
2.14303861047521e+001	(6.36788253362480e+001dB,-4.05951206051297e+001°)
2.19295639228637e+001	(6.36008642562459e+001dB,-4.16003393002775e+001°)
2.24403690860393e+001	(6.35176546341719e+001dB,-4.26257964027921e+001°)
2.29630724299377e+001	(6.34288695538326e+001dB,-4.36709463793965e+001°)
2.34979510987906e+001	(6.33341696353974e+001dB,-4.47350930490100e+001°)
2.40452886923483e+001	(6.32332039846915e+001dB,-4.58173748195543e+001°)
2.46053754162476e+001	(6.31256114068281e+001dB,-4.69167496664772e+001°)
2.51785082358833e+001	(6.30110219023874e+001dB,-4.80319800527191e+001°)
2.57649910338627e+001	(6.28890584601446e+001dB,-4.91616180187882e+001°)
2.63651347711281e+001	(6.27593391549533e+001dB,-5.03039906965139e+001°)
2.69792576518331e+001	(6.26214795528148e+001dB,-5.14571865180462e+001°)
2.76076852920577e+001	(6.24750954175866e+001dB,-5.26190424006816e+001°)
2.82507508924551e+001	(6.23198057054775e+001dB,-5.37871321852819e+001°)
2.89087954149185e+001	(6.21552358248280e+001dB,-5.49587565890935e+001°)
2.95821677633641e+001	(6.19810211302623e+001dB,-5.61309349009809e+001°)
3.02712249687242e+001	(6.17968106127641e+001dB,-5.73003985974902e+001°)
3.09763323782496e+001	(6.16022707413525e+001dB,-5.84635869913763e+001°)
3.16978638492223e+001	(6.13970894086784e+001dB,-5.96166449423097e+001°)
3.24362019471786e+001	(6.11809799328597e+001dB,-6.07554225651095e+001°)
3.31917381487512e+001	(6.09536850720440e+001dB,-6.18754767686239e+001°)
3.39648730492349e+001	(6.07149810172419e+001dB,-6.29720743550839e+001°)
3.47560165749875e+001	(6.04646813434006e+001dB,-6.40401963132812e+001°)
3.55655882007784e+001	(6.02026409187829e+001dB,-6.50745428582161e+001°)
3.63940171721997e+001	(5.99287597984774e+001dB,-6.60695387162614e+001°)
3.72417427332573e+001	(5.96429871589760e+001dB,-6.70193381386356e+001°)
3.81092143592649e+001	(5.93453253665910e+001dB,-6.79178291595576e+001°)
3.89968919951609e+001	(5.90358343120868e+001dB,-6.87586367108222e+001°)
3.99052462993776e+001	(5.87146361859979e+001dB,-6.95351243746615e+001°)
4.08347588933906e+001	(5.83819209119441e+001dB,-7.02403948155346e+001°)
4.17859226170808e+001	(5.80379524966790e+001dB,-7.08672892944356e+001°)
4.27592417900446e+001	(5.76830765925412e+001dB,-7.14083871535828e+001°)
4.37552324789910e+001	(5.73177295963523e+001dB,-7.18560067850985e+001°)
