Freq.	V(vo)
2.00000000000000e+001	(4.43676621220169e+000dB,-1.70809804528733e-003°)
2.04658598456151e+001	(4.43676625519053e+000dB,-1.74791748408047e-003°)
2.09425709610180e+001	(4.43676630014514e+000dB,-1.78866672462145e-003°)
2.14303861047521e+001	(4.43676634715252e+000dB,-1.83036758208614e-003°)
2.19295639228637e+001	(4.43676639630320e+000dB,-1.87304239030721e-003°)
2.24403690860393e+001	(4.43676644769146e+000dB,-1.91671401453612e-003°)
2.29630724299377e+001	(4.43676650141537e+000dB,-1.96140586453561e-003°)
2.34979510987906e+001	(4.43676655757697e+000dB,-2.00714190788002e-003°)
2.40452886923483e+001	(4.43676661628231e+000dB,-2.05394668400648e-003°)
2.46053754162476e+001	(4.43676667764173e+000dB,-2.10184531797787e-003°)
2.51785082358833e+001	(4.43676674176983e+000dB,-2.15086353528614e-003°)
2.57649910338627e+001	(4.43676680878563e+000dB,-2.20102767657006e-003°)
2.63651347711281e+001	(4.43676687881277e+000dB,-2.25236471324301e-003°)
2.69792576518331e+001	(4.43676695197963e+000dB,-2.30490226260855e-003°)
2.76076852920577e+001	(4.43676702841928e+000dB,-2.35866860455397e-003°)
2.82507508924551e+001	(4.43676710826986e+000dB,-2.41369269773317e-003°)
2.89087954149185e+001	(4.43676719167446e+000dB,-2.47000419666267e-003°)
2.95821677633641e+001	(4.43676727878145e+000dB,-2.52763346922317e-003°)
3.02712249687242e+001	(4.43676736974440e+000dB,-2.58661161430312e-003°)
3.09763323782496e+001	(4.43676746472231e+000dB,-2.64697048037202e-003°)
3.16978638492223e+001	(4.43676756387963e+000dB,-2.70874268435360e-003°)
3.24362019471786e+001	(4.43676766738638e+000dB,-2.77196163058682e-003°)
3.31917381487512e+001	(4.43676777541825e+000dB,-2.83666153130899e-003°)
3.39648730492349e+001	(4.43676788815667e+000dB,-2.90287742614134e-003°)
3.47560165749875e+001	(4.43676800578883e+000dB,-2.97064520370991e-003°)
3.55655882007784e+001	(4.43676812850772e+000dB,-3.04000162272581e-003°)
3.63940171721997e+001	(4.43676825651228e+000dB,-3.11098433394366e-003°)
3.72417427332573e+001	(4.43676839000723e+000dB,-3.18363190260598e-003°)
3.81092143592649e+001	(4.43676852920323e+000dB,-3.25798383166924e-003°)
3.89968919951609e+001	(4.43676867431681e+000dB,-3.33408058531949e-003°)
3.99052462993776e+001	(4.43676882557029e+000dB,-3.41196361319666e-003°)
4.08347588933906e+001	(4.43676898319178e+000dB,-3.49167537522942e-003°)
4.17859226170808e+001	(4.43676914741505e+000dB,-3.57325936696671e-003°)
4.27592417900446e+001	(4.43676931847947e+000dB,-3.65676014561922e-003°)
4.37552324789910e+001	(4.43676949662976e+000dB,-3.74222335652389e-003°)
4.47744227713668e+001	(4.43676968211599e+000dB,-3.82969576055973e-003°)
4.58173530553554e+001	(4.43676987519323e+000dB,-3.91922526161727e-003°)
4.68845763063984e+001	(4.43677007612133e+000dB,-4.01086093515255e-003°)
4.79766583803898e+001	(4.43677028516473e+000dB,-4.10465305729875e-003°)
4.90941783137006e+001	(4.43677050259213e+000dB,-4.20065313419365e-003°)
5.02377286301916e+001	(4.43677072867602e+000dB,-4.29891393225086e-003°)
5.14079156553772e+001	(4.43677096369243e+000dB,-4.39948950898980e-003°)
5.26053598379076e+001	(4.43677120792045e+000dB,-4.50243524427521e-003°)
5.38306960785383e+001	(4.43677146164168e+000dB,-4.60780787232920e-003°)
5.50845740667633e+001	(4.43677172513985e+000dB,-4.71566551401239e-003°)
5.63676586252890e+001	(4.43677199870010e+000dB,-4.82606771001862e-003°)
5.76806300625321e+001	(4.43677228260846e+000dB,-4.93907545420710e-003°)
5.90241845333277e+001	(4.43677257715111e+000dB,-5.05475122778634e-003°)
6.03990344080403e+001	(4.43677288261381e+000dB,-5.17315903364699e-003°)
6.18059086502718e+001	(4.43677319928093e+000dB,-5.29436443164599e-003°)
6.32455532033675e+001	(4.43677352743489e+000dB,-5.41843457358786e-003°)
6.47187313859256e+001	(4.43677386735513e+000dB,-5.54543823958195e-003°)
6.62262242965182e+001	(4.43677421931734e+000dB,-5.67544587376207e-003°)
6.77688312278404e+001	(4.43677458359256e+000dB,-5.80852962150403e-003°)
6.93473700905062e+001	(4.43677496044612e+000dB,-5.94476336580506e-003°)
7.09626778467150e+001	(4.43677535013684e+000dB,-6.08422276511509e-003°)
7.26156109540202e+001	(4.43677575291587e+000dB,-6.22698529065200e-003°)
7.43070458194344e+001	(4.43677616902592e+000dB,-6.37313026447843e-003°)
7.60378792641121e+001	(4.43677659869994e+000dB,-6.52273889761543e-003°)
7.78090289988560e+001	(4.43677704216045e+000dB,-6.67589432873655e-003°)
7.96214341106993e+001	(4.43677749961838e+000dB,-6.83268166258135e-003°)
8.14760555608224e+001	(4.43677797127210e+000dB,-6.99318800941501e-003°)
8.33738766940670e+001	(4.43677845730654e+000dB,-7.15750252383806e-003°)
8.53159037603184e+001	(4.43677895789235e+000dB,-7.32571644466518e-003°)
8.73031664480331e+001	(4.43677947318502e+000dB,-7.49792313478401e-003°)
8.93367184301925e+001	(4.43678000332412e+000dB,-7.67421812109175e-003°)
9.14176379229749e+001	(4.43678054843276e+000dB,-7.85469913544227e-003°)
9.35470282574395e+001	(4.43678110861689e+000dB,-8.03946615525760e-003°)
9.57260184645275e+001	(4.43678168396497e+000dB,-8.22862144516938e-003°)
9.79557638736891e+001	(4.43678227454761e+000dB,-8.42226959909135e-003°)
1.00237446725454e+002	(4.43678288041740e+000dB,-8.62051758269302e-003°)
1.02572276798273e+002	(4.43678350160898e+000dB,-8.82347477681474e-003°)
1.04961492049954e+002	(4.43678413813906e+000dB,-9.03125302173550e-003°)
1.07406359274050e+002	(4.43678479000695e+000dB,-9.24396666228481e-003°)
1.09908174771525e+002	(4.43678545719495e+000dB,-9.46173259405528e-003°)
1.12468265038070e+002	(4.43678613966917e+000dB,-9.68467031100311e-003°)
1.15087987467431e+002	(4.43678683738052e+000dB,-9.91290195411019e-003°)
1.17768731071118e+002	(4.43678755026576e+000dB,-1.01465523620939e-002°)
1.20511917214871e+002	(4.43678827824907e+000dB,-1.03857491231321e-002°)
1.23319000372296e+002	(4.43678902124359e+000dB,-1.06306226292767e-002°)
1.26191468896038e+002	(4.43678977915321e+000dB,-1.08813061323700e-002°)
1.29130845806931e+002	(4.43679055187481e+000dB,-1.11379358024457e-002°)
1.32138689601519e+002	(4.43679133930037e+000dB,-1.14006507884691e-002°)
1.35216595078396e+002	(4.43679214131964e+000dB,-1.16695932820033e-002°)
1.38366194183787e+002	(4.43679295782269e+000dB,-1.19449085831883e-002°)
1.41589156876827e+002	(4.43679378870295e+000dB,-1.22267451702329e-002°)
1.44887192014998e+002	(4.43679463386018e+000dB,-1.25152547716856e-002°)
1.48262048260183e+002	(4.43679549320370e+000dB,-1.28105924422274e-002°)
1.51715515005836e+002	(4.43679636665579e+000dB,-1.31129166418022e-002°)
1.55249423325738e+002	(4.43679725415515e+000dB,-1.34223893185652e-002°)
1.58865646944856e+002	(4.43679815566046e+000dB,-1.37391759952094e-002°)
1.62566103232819e+002	(4.43679907115404e+000dB,-1.40634458594302e-002°)
1.66352754220534e+002	(4.43680000064558e+000dB,-1.43953718581130e-002°)
1.70227607640475e+002	(4.43680094417579e+000dB,-1.47351307957416e-002°)
1.74192717991216e+002	(4.43680190182019e+000dB,-1.50829034364556e-002°)
1.78250187626749e+002	(4.43680287369277e+000dB,-1.54388746106405e-002°)
1.82402167871181e+002	(4.43680385994967e+000dB,-1.58032333252375e-002°)
1.86650860159398e+002	(4.43680486079275e+000dB,-1.61761728786095e-002°)
1.90998517204287e+002	(4.43680587647313e+000dB,-1.65578909790634e-002°)
1.95447444191162e+002	(4.43680690729453e+000dB,-1.69485898677449e-002°)
1.99999999999999e+002	(4.43680795361654e+000dB,-1.73484764456906e-002°)
2.04658598456150e+002	(4.43680901585786e+000dB,-1.77577624047414e-002°)
2.09425709610179e+002	(4.43681009449907e+000dB,-1.81766643624763e-002°)
2.14303861047521e+002	(4.43681119008567e+000dB,-1.86054040012601e-002°)
2.19295639228636e+002	(4.43681230323053e+000dB,-1.90442082112653e-002°)
2.24403690860392e+002	(4.43681343461643e+000dB,-1.94933092370102e-002°)
2.29630724299376e+002	(4.43681458499839e+000dB,-1.99529448282936e-002°)
2.34979510987905e+002	(4.43681575520553e+000dB,-2.04233583945841e-002°)
2.40452886923482e+002	(4.43681694614329e+000dB,-2.09047991631190e-002°)
2.46053754162476e+002	(4.43681815879482e+000dB,-2.13975223413050e-002°)
2.51785082358833e+002	(4.43681939422263e+000dB,-2.19017892822400e-002°)
2.57649910338626e+002	(4.43682065356995e+000dB,-2.24178676543891e-002°)
2.63651347711281e+002	(4.43682193806180e+000dB,-2.29460316149975e-002°)
2.69792576518330e+002	(4.43682324900598e+000dB,-2.34865619872104e-002°)
2.76076852920576e+002	(4.43682458779388e+000dB,-2.40397464410701e-002°)
2.82507508924550e+002	(4.43682595590109e+000dB,-2.46058796784329e-002°)
2.89087954149185e+002	(4.43682735488786e+000dB,-2.51852636218381e-002°)
2.95821677633641e+002	(4.43682878639938e+000dB,-2.57782076074195e-002°)
3.02712249687241e+002	(4.43683025216603e+000dB,-2.63850285816388e-002°)
3.09763323782495e+002	(4.43683175400323e+000dB,-2.70060513029553e-002°)
3.16978638492222e+002	(4.43683329381142e+000dB,-2.76416085467304e-002°)
3.24362019471785e+002	(4.43683487357560e+000dB,-2.82920413157767e-002°)
3.31917381487511e+002	(4.43683649536497e+000dB,-2.89576990542451e-002°)
3.39648730492348e+002	(4.43683816133230e+000dB,-2.96389398670292e-002°)
3.47560165749874e+002	(4.43683987371310e+000dB,-3.03361307437706e-002°)
3.55655882007783e+002	(4.43684163482472e+000dB,-3.10496477872763e-002°)
3.63940171721995e+002	(4.43684344706511e+000dB,-3.17798764477600e-002°)
3.72417427332572e+002	(4.43684531291165e+000dB,-3.25272117617861e-002°)
3.81092143592648e+002	(4.43684723491949e+000dB,-3.32920585963621e-002°)
3.89968919951608e+002	(4.43684921571989e+000dB,-3.40748318989747e-002°)
3.99052462993775e+002	(4.43685125801823e+000dB,-3.48759569527022e-002°)
4.08347588933904e+002	(4.43685336459177e+000dB,-3.56958696370945e-002°)
4.17859226170806e+002	(4.43685553828716e+000dB,-3.65350166948010e-002°)
4.27592417900445e+002	(4.43685778201773e+000dB,-3.73938560039409e-002°)
4.37552324789909e+002	(4.43686009876029e+000dB,-3.82728568564013e-002°)
4.47744227713666e+002	(4.43686249155179e+000dB,-3.91725002419335e-002°)
4.58173530553553e+002	(4.43686496348554e+000dB,-4.00932791384430e-002°)
4.68845763063983e+002	(4.43686751770698e+000dB,-4.10356988076679e-002°)
4.79766583803896e+002	(4.43687015740918e+000dB,-4.20002770975686e-002°)
4.90941783137004e+002	(4.43687288582787e+000dB,-4.29875447499653e-002°)
5.02377286301914e+002	(4.43687570623589e+000dB,-4.39980457143702e-002°)
5.14079156553771e+002	(4.43687862193739e+000dB,-4.50323374676580e-002°)
5.26053598379074e+002	(4.43688163626135e+000dB,-4.60909913389921e-002°)
5.38306960785381e+002	(4.43688475255466e+000dB,-4.71745928408304e-002°)
5.50845740667631e+002	(4.43688797417473e+000dB,-4.82837420049555e-002°)
5.63676586252888e+002	(4.43689130448147e+000dB,-4.94190537238699e-002°)
5.76806300625319e+002	(4.43689474682877e+000dB,-5.05811580971600e-002°)
5.90241845333275e+002	(4.43689830455544e+000dB,-5.17707007826719e-002°)
6.03990344080401e+002	(4.43690198097554e+000dB,-5.29883433523539e-002°)
6.18059086502716e+002	(4.43690577936834e+000dB,-5.42347636519202e-002°)
6.32455532033673e+002	(4.43690970296753e+000dB,-5.55106561652524e-002°)
6.47187313859254e+002	(4.43691375495008e+000dB,-5.68167323818194e-002°)
6.62262242965179e+002	(4.43691793842467e+000dB,-5.81537211678643e-002°)
6.77688312278402e+002	(4.43692225641949e+000dB,-5.95223691406504e-002°)
6.93473700905060e+002	(4.43692671186989e+000dB,-6.09234410454166e-002°)
7.09626778467148e+002	(4.43693130760560e+000dB,-6.23577201347874e-002°)
7.26156109540200e+002	(4.43693604633761e+000dB,-6.38260085507297e-002°)
7.43070458194342e+002	(4.43694093064510e+000dB,-6.53291277079180e-002°)
7.60378792641119e+002	(4.43694596296206e+000dB,-6.68679186794447e-002°)
7.78090289988558e+002	(4.43695114556407e+000dB,-6.84432425836644e-002°)
7.96214341106991e+002	(4.43695648055516e+000dB,-7.00559809727081e-002°)
8.14760555608222e+002	(4.43696196985487e+000dB,-7.17070362223325e-002°)
8.33738766940667e+002	(4.43696761518587e+000dB,-7.33973319230236e-002°)
8.53159037603181e+002	(4.43697341806189e+000dB,-7.51278132728497e-002°)
8.73031664480328e+002	(4.43697937977646e+000dB,-7.68994474717937e-002°)
8.93367184301922e+002	(4.43698550139244e+000dB,-7.87132241180181e-002°)
9.14176379229746e+002	(4.43699178373264e+000dB,-8.05701556067649e-002°)
9.35470282574392e+002	(4.43699822737142e+000dB,-8.24712775318489e-002°)
9.57260184645272e+002	(4.43700483262786e+000dB,-8.44176490909993e-002°)
9.79557638736888e+002	(4.43701159956022e+000dB,-8.64103534954472e-002°)
1.00237446725454e+003	(4.43701852796226e+000dB,-8.84504983849387e-002°)
1.02572276798272e+003	(4.43702561736121e+000dB,-9.05392162490287e-002°)
1.04961492049954e+003	(4.43703286701799e+000dB,-9.26776648561996e-002°)
1.07406359274050e+003	(4.43704027592925e+000dB,-9.48670276920678e-002°)
1.09908174771524e+003	(4.43704784283198e+000dB,-9.71085144080139e-002°)
1.12468265038069e+003	(4.43705556621019e+000dB,-9.94033612821400e-002°)
1.15087987467431e+003	(4.43706344430445e+000dB,-1.01752831694358e-001°)
1.17768731071117e+003	(4.43707147512357e+000dB,-1.04158216617260e-001°)
1.20511917214871e+003	(4.43707965645918e+000dB,-1.06620835124891e-001°)
1.23319000372296e+003	(4.43708798590276e+000dB,-1.09142034921781e-001°)
1.26191468896038e+003	(4.43709646086538e+000dB,-1.11723192893498e-001°)
1.29130845806930e+003	(4.43710507859998e+000dB,-1.14365715682130e-001°)
1.32138689601518e+003	(4.43711383622614e+000dB,-1.17071040287607e-001°)
1.35216595078396e+003	(4.43712273075733e+000dB,-1.19840634697964e-001°)
1.38366194183787e+003	(4.43713175913040e+000dB,-1.22675998549888e-001°)
1.41589156876827e+003	(4.43714091823724e+000dB,-1.25578663822240e-001°)
1.44887192014997e+003	(4.43715020495835e+000dB,-1.28550195564169e-001°)
1.48262048260183e+003	(4.43715961619830e+000dB,-1.31592192659323e-001°)
1.51715515005836e+003	(4.43716914892243e+000dB,-1.34706288628544e-001°)
1.55249423325738e+003	(4.43717880019514e+000dB,-1.37894152472109e-001°)
1.58865646944855e+003	(4.43718856721892e+000dB,-1.41157489552827e-001°)
1.62566103232819e+003	(4.43719844737418e+000dB,-1.44498042521290e-001°)
1.66352754220533e+003	(4.43720843825957e+000dB,-1.47917592284301e-001°)
1.70227607640474e+003	(4.43721853773228e+000dB,-1.51417959017154e-001°)
1.74192717991215e+003	(4.43722874394828e+000dB,-1.55001003220195e-001°)
1.78250187626748e+003	(4.43723905540201e+000dB,-1.58668626820242e-001°)
1.82402167871181e+003	(4.43724947096535e+000dB,-1.62422774316900e-001°)
