Freq.	(-V(vs)*1000/(V(vi)-V(vs)))-1000
2.00000000000000e+001	(6.46326135133373e+001dB,-1.10371917363196e+001°)
2.04658598456151e+001	(6.46208115592607e+001dB,-1.12807369905686e+001°)
2.09425709610180e+001	(6.46084878812874e+001dB,-1.15289989435756e+001°)
2.14303861047521e+001	(6.45956214080677e+001dB,-1.17820242336097e+001°)
2.19295639228637e+001	(6.45821903878209e+001dB,-1.20398568083757e+001°)
2.24403690860393e+001	(6.45681723808611e+001dB,-1.23025376720505e+001°)
2.29630724299377e+001	(6.45535442534836e+001dB,-1.25701046202743e+001°)
2.34979510987906e+001	(6.45382821733733e+001dB,-1.28425919630397e+001°)
2.40452886923483e+001	(6.45223616067025e+001dB,-1.31200302354897e+001°)
2.46053754162476e+001	(6.45057573170947e+001dB,-1.34024458967085e+001°)
2.51785082358833e+001	(6.44884433666404e+001dB,-1.36898610166683e+001°)
2.57649910338627e+001	(6.44703931191561e+001dB,-1.39822929515943e+001°)
2.63651347711281e+001	(6.44515792458854e+001dB,-1.42797540081022e+001°)
2.69792576518331e+001	(6.44319737338484e+001dB,-1.45822510965768e+001°)
2.76076852920577e+001	(6.44115478970490e+001dB,-1.48897853743762e+001°)
2.82507508924551e+001	(6.43902723907522e+001dB,-1.52023518795723e+001°)
2.89087954149185e+001	(6.43681172290501e+001dB,-1.55199391560752e+001°)
2.95821677633641e+001	(6.43450518059314e+001dB,-1.58425288711338e+001°)
3.02712249687242e+001	(6.43210449200702e+001dB,-1.61700954263499e+001°)
3.09763323782496e+001	(6.42960648035475e+001dB,-1.65026055635113e+001°)
3.16978638492223e+001	(6.42700791547125e+001dB,-1.68400179667048e+001°)
3.24362019471786e+001	(6.42430551753818e+001dB,-1.71822828623451e+001°)
3.31917381487512e+001	(6.42149596125672e+001dB,-1.75293416189247e+001°)
3.39648730492349e+001	(6.41857588049077e+001dB,-1.78811263484696e+001°)
3.47560165749875e+001	(6.41554187339632e+001dB,-1.82375595118544e+001°)
3.55655882007784e+001	(6.41239050805131e+001dB,-1.85985535303113e+001°)
3.63940171721997e+001	(6.40911832859735e+001dB,-1.89640104056307e+001°)
3.72417427332573e+001	(6.40572186190268e+001dB,-1.93338213517169e+001°)
3.81092143592649e+001	(6.40219762475233e+001dB,-1.97078664403161e+001°)
3.89968919951609e+001	(6.39854213156827e+001dB,-2.00860142638732e+001°)
3.99052462993776e+001	(6.39475190265876e+001dB,-2.04681216185994e+001°)
4.08347588933906e+001	(6.39082347299204e+001dB,-2.08540332109439e+001°)
4.17859226170808e+001	(6.38675340148500e+001dB,-2.12435813907390e+001°)
4.27592417900446e+001	(6.38253828079327e+001dB,-2.16365859143583e+001°)
4.37552324789910e+001	(6.37817474758388e+001dB,-2.20328537412506e+001°)
4.47744227713668e+001	(6.37365949326674e+001dB,-2.24321788672140e+001°)
4.58173530553554e+001	(6.36898927515594e+001dB,-2.28343421977408e+001°)
4.68845763063984e+001	(6.36416092802643e+001dB,-2.32391114646890e+001°)
4.79766583803898e+001	(6.35917137602615e+001dB,-2.36462411894249e+001°)
4.90941783137006e+001	(6.35401764489830e+001dB,-2.40554726954262e+001°)
5.02377286301916e+001	(6.34869687446317e+001dB,-2.44665341731380e+001°)
5.14079156553772e+001	(6.34320633130362e+001dB,-2.48791407996413e+001°)
5.26053598379076e+001	(6.33754342159354e+001dB,-2.52929949153961e+001°)
5.38306960785383e+001	(6.33170570400394e+001dB,-2.57077862600101e+001°)
5.50845740667633e+001	(6.32569090261745e+001dB,-2.61231922686128e+001°)
5.63676586252890e+001	(6.31949691977793e+001dB,-2.65388784300082e+001°)
5.76806300625321e+001	(6.31312184879953e+001dB,-2.69544987073458e+001°)
5.90241845333277e+001	(6.30656398645680e+001dB,-2.73696960215823e+001°)
6.03990344080403e+001	(6.29982184517591e+001dB,-2.77841027975096e+001°)
6.18059086502718e+001	(6.29289416484683e+001dB,-2.81973415716200e+001°)
6.32455532033675e+001	(6.28577992417572e+001dB,-2.86090256605535e+001°)
6.47187313859256e+001	(6.27847835149861e+001dB,-2.90187598883443e+001°)
6.62262242965182e+001	(6.27098893497881e+001dB,-2.94261413701685e+001°)
6.77688312278404e+001	(6.26331143211393e+001dB,-2.98307603497725e+001°)
6.93473700905062e+001	(6.25544587848178e+001dB,-3.02322010872774e+001°)
7.09626778467150e+001	(6.24739259565943e+001dB,-3.06300427935906e+001°)
7.26156109540202e+001	(6.23915219825510e+001dB,-3.10238606072232e+001°)
7.43070458194344e+001	(6.23072559999885e+001dB,-3.14132266089317e+001°)
7.60378792641121e+001	(6.22211401884490e+001dB,-3.17977108692626e+001°)
7.78090289988560e+001	(6.21331898104610e+001dB,-3.21768825238017e+001°)
7.96214341106993e+001	(6.20434232416876e+001dB,-3.25503108707062e+001°)
8.14760555608224e+001	(6.19518619902440e+001dB,-3.29175664849429e+001°)
8.33738766940670e+001	(6.18585307050356e+001dB,-3.32782223435665e+001°)
8.53159037603184e+001	(6.17634571730487e+001dB,-3.36318549563389e+001°)
8.73031664480331e+001	(6.16666723056156e+001dB,-3.39780454960458e+001°)
8.93367184301925e+001	(6.15682101137505e+001dB,-3.43163809229593e+001°)
9.14176379229749e+001	(6.14681076727369e+001dB,-3.46464550980715e+001°)
9.35470282574395e+001	(6.13664050762150e+001dB,-3.49678698799436e+001°)
9.57260184645275e+001	(6.12631453800880e+001dB,-3.52802362002905e+001°)
9.79557638736891e+001	(6.11583745366256e+001dB,-3.55831751137413e+001°)
1.00237446725454e+002	(6.10521413191944e+001dB,-3.58763188175706e+001°)
1.02572276798273e+002	(6.09444972380918e+001dB,-3.61593116375851e+001°)
1.04961492049954e+002	(6.08354964479934e+001dB,-3.64318109767511e+001°)
1.07406359274050e+002	(6.07251956475534e+001dB,-3.66934882235723e+001°)
