Freq.	V(n007)/I(R1a_3)
1.50000000000000e+002	(1.22505950258537e+002dB,9.50969247501407e+001°)
1.53493948842113e+002	(1.22304342188271e+002dB,9.52215111954036e+001°)
1.57069282207635e+002	(1.22102678167098e+002dB,9.53493926982953e+001°)
1.60727895785641e+002	(1.21900957364358e+002dB,9.54806709908493e+001°)
1.64471729421478e+002	(1.21699179069245e+002dB,9.56154516017802e+001°)
1.68302768145294e+002	(1.21497342709661e+002dB,9.57538440066709e+001°)
1.72223043224532e+002	(1.21295447872944e+002dB,9.58959617817473e+001°)
1.76234633240929e+002	(1.21093494328616e+002dB,9.60419227608957e+001°)
1.80339665192612e+002	(1.20891482053284e+002dB,9.61918491955057e+001°)
1.84540315621857e+002	(1.20689411257887e+002dB,9.63458679166303e+001°)
1.88838811769125e+002	(1.20487282417419e+002dB,9.65041104988661e+001°)
1.93237432753970e+002	(1.20285096303332e+002dB,9.66667134252456e+001°)
1.97738510783461e+002	(1.20082854018769e+002dB,9.68338182523180e+001°)
2.02344432388748e+002	(1.19880557036840e+002dB,9.70055717744683e+001°)
2.07057639690433e+002	(1.19678207242100e+002dB,9.71821261863802e+001°)
2.11880631693413e+002	(1.19475806975450e+002dB,9.73636392423948e+001°)
2.16815965611889e+002	(1.19273359082628e+002dB,9.75502744113506e+001°)
2.21866258225231e+002	(1.19070866966499e+002dB,9.77422010253015e+001°)
2.27034187265431e+002	(1.18868334643337e+002dB,9.79395944203235e+001°)
2.32322492836872e+002	(1.18665766803274e+002dB,9.81426360673971e+001°)
2.37733978869167e+002	(1.18463168875106e+002dB,9.83515136911334e+001°)
2.43271514603839e+002	(1.18260547095631e+002dB,9.85664213738702e+001°)
2.48938036115634e+002	(1.18057908583655e+002dB,9.87875596424065e+001°)
2.54736547869261e+002	(1.17855261418831e+002dB,9.90151355343806e+001°)
2.60670124312406e+002	(1.17652614725425e+002dB,9.92493626410139e+001°)
2.66741911505838e+002	(1.17449978761106e+002dB,9.94904611226552e+001°)
2.72955128791497e+002	(1.17247365010813e+002dB,9.97386576932659e+001°)
2.79313070499430e+002	(1.17044786285714e+002dB,9.99941855696801e+001°)
2.85819107694487e+002	(1.16842256827209e+002dB,1.00257284381178e+002°)
2.92476689963707e+002	(1.16639792415911e+002dB,1.00528200034605e+002°)
2.99289347245332e+002	(1.16437410485427e+002dB,1.00807184529995e+002°)
3.06260691700429e+002	(1.16235130240732e+002dB,1.01094495721357e+002°)
3.13394419628106e+002	(1.16032972780807e+002dB,1.01390397017064e+002°)
3.20694313425334e+002	(1.15830961225166e+002dB,1.01695157014033e+002°)
3.28164243592433e+002	(1.15629120843739e+002dB,1.02009049059737e+002°)
3.35808170785251e+002	(1.15427479189520e+002dB,1.02332350735928e+002°)
3.43630147915166e+002	(1.15226066233219e+002dB,1.02665343257926e+002°)
