Freq.	V(n006)/I(R1a_2)
1.00000000000000e+004	(1.10975327806236e+002dB,1.56885237448894e+002°)
1.02329299228075e+004	(1.11097668455179e+002dB,1.54684424111919e+002°)
1.04712854805090e+004	(1.11205531842802e+002dB,1.52277946603852e+002°)
1.07151930523761e+004	(1.11293770209643e+002dB,1.49659990419018e+002°)
1.09647819614318e+004	(1.11356511473178e+002dB,1.46830692609481e+002°)
1.12201845430196e+004	(1.11387316425197e+002dB,1.43798175474726e+002°)
1.14815362149688e+004	(1.11379467385346e+002dB,1.40580468489192e+002°)
1.17489755493953e+004	(1.11326396851364e+002dB,1.37206911066280e+002°)
1.20226443461741e+004	(1.11222231663943e+002dB,1.33718555441927e+002°)
1.23026877081238e+004	(1.11062385750414e+002dB,1.30167150513205e+002°)
1.25892541179417e+004	(1.10844097376082e+002dB,1.26612531960928e+002°)
1.28824955169313e+004	(1.10566795013508e+002dB,1.23118638636820e+002°)
1.31825673855641e+004	(1.10232203321954e+002dB,1.19748785615802e+002°)
1.34896288259165e+004	(1.09844163076432e+002dB,1.16561067603011e+002°)
1.38038426460288e+004	(1.09408212222885e+002dB,1.13604720925279e+002°)
1.41253754462275e+004	(1.08931028916983e+002dB,1.10917961411008e+002°)
1.44543977074593e+004	(1.08419852560799e+002dB,1.08527390769965e+002°)
1.47910838816821e+004	(1.07881977467906e+002dB,1.06448704201628e+002°)
1.51356124843621e+004	(1.07324372998397e+002dB,1.04688242926458e+002°)
1.54881661891248e+004	(1.06753443162519e+002dB,1.03244921222651e+002°)
1.58489319246111e+004	(1.06174909835562e+002dB,1.02112156515225e+002°)
1.62181009735893e+004	(1.05593789698014e+002dB,1.01279569140119e+002°)
1.65958690743756e+004	(1.05014432687391e+002dB,1.00734343592877e+002°)
1.69824365246174e+004	(1.04440594145686e+002dB,1.00462232682550e+002°)
1.73780082874937e+004	(1.03875519753693e+002dB,1.00448238545996e+002°)
1.77827941003892e+004	(1.03322029165156e+002dB,1.00677028419406e+002°)
1.81970085860998e+004	(1.02782589830250e+002dB,1.01133148860366e+002°)
1.86208713666287e+004	(1.02259376587420e+002dB,1.01801098306414e+002°)
1.90546071796325e+004	(1.01754315408415e+002dB,1.02665310069612e+002°)
1.94984459975804e+004	(1.01269111545264e+002dB,1.03710089174646e+002°)
1.99526231496888e+004	(1.00805263568319e+002dB,1.04919538146757e+002°)
2.04173794466953e+004	(1.00364065632762e+002dB,1.06277499201094e+002°)
2.08929613085404e+004	(9.99466008999213e+001dB,1.07767533055700e+002°)
2.13796208950223e+004	(9.95537294178661e+001dB,1.09372947475911e+002°)
2.18776162394955e+004	(9.91860739247010e+001dB,1.11076881502877e+002°)
2.23872113856834e+004	(9.88440069438950e+001dB,1.12862444242425e+002°)
2.29086765276777e+004	(9.85276421672609e+001dB,1.14712900495686e+002°)
2.34422881531992e+004	(9.82368324740195e+001dB,1.16611889996082e+002°)
2.39883291901949e+004	(9.79711760673886e+001dB,1.18543663204383e+002°)
2.45470891568503e+004	(9.77300312226829e+001dB,1.20493314973333e+002°)
2.51188643150958e+004	(9.75125391611420e+001dB,1.22446998083861e+002°)
2.57039578276886e+004	(9.73176537212735e+001dB,1.24392101455554e+002°)
2.63026799189538e+004	(9.71441758971885e+001dB,1.26317382184798e+002°)
2.69153480392691e+004	(9.69907910064300e+001dB,1.28213045694458e+002°)
2.75422870333816e+004	(9.68561062387901e+001dB,1.30070773383787e+002°)
2.81838293126445e+004	(9.67386865757236e+001dB,1.31883701568614e+002°)
2.88403150312660e+004	(9.66370874799297e+001dB,1.33646358756777e+002°)
2.95120922666638e+004	(9.65498832493224e+001dB,1.35354570237283e+002°)
3.01995172040201e+004	(9.64756904295778e+001dB,1.37005339634022e+002°)
3.09029543251359e+004	(9.64131861244998e+001dB,1.38596716711197e+002°)
3.16227766016837e+004	(9.63611213969601e+001dB,1.40127659627456e+002°)
3.23593656929628e+004	(9.63183302016389e+001dB,1.41597898341836e+002°)
3.31131121482591e+004	(9.62837344396996e+001dB,1.43007804254329e+002°)
3.38844156139202e+004	(9.62563457918113e+001dB,1.44358269611248e+002°)
3.46736850452531e+004	(9.62352649894491e+001dB,1.45650598831210e+002°)
3.54813389233575e+004	(9.62196791431919e+001dB,1.46886412767024e+002°)
3.63078054770101e+004	(9.62088576768873e+001dB,1.48067566035703e+002°)
3.71535229097172e+004	(9.62021473326132e+001dB,1.49196076918664e+002°)
3.80189396320560e+004	(9.61989666249884e+001dB,1.50274068925843e+002°)
3.89045144994280e+004	(9.61988000422327e+001dB,1.51303722886369e+002°)
3.98107170553496e+004	(9.62011922194661e+001dB,1.52287238328814e+002°)
4.07380277804112e+004	(9.62057422486030e+001dB,1.53226802907198e+002°)
4.16869383470335e+004	(9.62120982389406e+001dB,1.54124568683513e+002°)
4.26579518801592e+004	(9.62199522024285e+001dB,1.54982634169901e+002°)
4.36515832240165e+004	(9.62290353065058e+001dB,1.55803031145805e+002°)
4.46683592150962e+004	(9.62391135139616e+001dB,1.56587715384856e+002°)
4.57088189614874e+004	(9.62499836121807e+001dB,1.57338560544315e+002°)
4.67735141287197e+004	(9.62614696221257e+001dB,1.58057354581123e+002°)
4.78630092322637e+004	(9.62734195693679e+001dB,1.58745798160002e+002°)
4.89778819368445e+004	(9.62857025944761e+001dB,1.59405504609149e+002°)
5.01187233627271e+004	(9.62982063773371e+001dB,1.60038001057634e+002°)
5.12861383991363e+004	(9.63108348488831e+001dB,1.60644730456035e+002°)
5.24807460249771e+004	(9.63235061637683e+001dB,1.61227054239008e+002°)
5.37031796370251e+004	(9.63361509083870e+001dB,1.61786255436445e+002°)
5.49540873857623e+004	(9.63487105199824e+001dB,1.62323542079655e+002°)
5.62341325190347e+004	(9.63611358942497e+001dB,1.62840050781908e+002°)
5.75439937337155e+004	(9.63733861606405e+001dB,1.63336850399491e+002°)
5.88843655355587e+004	(9.63854276064198e+001dB,1.63814945701294e+002°)
6.00000000000000e+004	(9.63950691414813e+001dB,1.64191473509522e+002°)
