Freq.	V(vo)
2.00000000000000e+004	(-4.08330921589321e+001dB,1.68856351339596e+002°)
2.00461047615580e+004	(-4.07563779584089e+001dB,1.68808126838239e+002°)
2.00923158055679e+004	(-4.06794178921000e+001dB,1.68759535735097e+002°)
2.01386333770361e+004	(-4.06022098072610e+001dB,1.68710573608922e+002°)
2.01850577215337e+004	(-4.05247515256320e+001dB,1.68661235966115e+002°)
2.02315890851980e+004	(-4.04470408430429e+001dB,1.68611518239244e+002°)
2.02782277147336e+004	(-4.03690755290099e+001dB,1.68561415785519e+002°)
2.03249738574139e+004	(-4.02908533263252e+001dB,1.68510923885240e+002°)
2.03718277610823e+004	(-4.02123719506381e+001dB,1.68460037740201e+002°)
2.04187896741536e+004	(-4.01336290900285e+001dB,1.68408752472051e+002°)
2.04658598456151e+004	(-4.00546224045720e+001dB,1.68357063120623e+002°)
2.05130385250281e+004	(-3.99753495258960e+001dB,1.68304964642210e+002°)
2.05603259625295e+004	(-3.98958080567280e+001dB,1.68252451907805e+002°)
2.06077224088323e+004	(-3.98159955704344e+001dB,1.68199519701299e+002°)
2.06552281152279e+004	(-3.97359096105505e+001dB,1.68146162717620e+002°)
2.07028433335869e+004	(-3.96555476903013e+001dB,1.68092375560843e+002°)
2.07505683163602e+004	(-3.95749072921121e+001dB,1.68038152742234e+002°)
2.07984033165812e+004	(-3.94939858671107e+001dB,1.67983488678255e+002°)
2.08463485878661e+004	(-3.94127808346184e+001dB,1.67928377688514e+002°)
2.08944043844160e+004	(-3.93312895816312e+001dB,1.67872813993660e+002°)
2.09425709610180e+004	(-3.92495094622913e+001dB,1.67816791713228e+002°)
2.09908485730464e+004	(-3.91674377973467e+001dB,1.67760304863420e+002°)
2.10392374764644e+004	(-3.90850718736008e+001dB,1.67703347354835e+002°)
2.10877379278252e+004	(-3.90024089433504e+001dB,1.67645912990136e+002°)
2.11363501842731e+004	(-3.89194462238126e+001dB,1.67587995461653e+002°)
2.11850745035457e+004	(-3.88361808965396e+001dB,1.67529588348928e+002°)
