Freq.	-V(n005)/I(V1)
2.50000000000000e+004	(9.72034364779593e+001dB,-2.42014537565910e+000°)
2.50576309519475e+004	(9.72056331260225e+001dB,-2.44264810622445e+000°)
2.51153947569599e+004	(9.72078533534561e+001dB,-2.46553531447943e+000°)
2.51732917212951e+004	(9.72100974079784e+001dB,-2.48881650237389e+000°)
2.52313221519171e+004	(9.72123655351797e+001dB,-2.51250147267100e+000°)
2.52894863564975e+004	(9.72146579780513e+001dB,-2.53660034037933e+000°)
2.53477846434170e+004	(9.72169749764738e+001dB,-2.56112354468325e+000°)
2.54062173217674e+004	(9.72193167666637e+001dB,-2.58608186139552e+000°)
2.54647847013529e+004	(9.72216835805722e+001dB,-2.61148641595713e+000°)
2.55234870926920e+004	(9.72240756452351e+001dB,-2.63734869701093e+000°)
2.55823248070188e+004	(9.72264931820676e+001dB,-2.66368057057663e+000°)
2.56412981562852e+004	(9.72289364061021e+001dB,-2.69049429485641e+000°)
2.57004074531618e+004	(9.72314055251624e+001dB,-2.71780253570154e+000°)
2.57596530110404e+004	(9.72339007389706e+001dB,-2.74561838277238e+000°)
2.58190351440349e+004	(9.72364222381804e+001dB,-2.77395536642507e+000°)
2.58785541669836e+004	(9.72389702033324e+001dB,-2.80282747536064e+000°)
2.59382103954503e+004	(9.72415448037235e+001dB,-2.83224917507331e+000°)
2.59980041457265e+004	(9.72441461961848e+001dB,-2.86223542713707e+000°)
2.60579357348326e+004	(9.72467745237604e+001dB,-2.89280170937122e+000°)
2.61180054805200e+004	(9.72494299142783e+001dB,-2.92396403692758e+000°)
2.61782137012725e+004	(9.72521124788066e+001dB,-2.95573898434420e+000°)
2.62385607163080e+004	(9.72548223099839e+001dB,-2.98814370861227e+000°)
2.62990468455805e+004	(9.72575594802144e+001dB,-3.02119597330540e+000°)
2.63596724097814e+004	(9.72603240397177e+001dB,-3.05491417382229e+000°)
2.64204377303414e+004	(9.72631160144192e+001dB,-3.08931736379662e+000°)
2.64813431294322e+004	(9.72659354036713e+001dB,-3.12442528272959e+000°)
2.65423889299681e+004	(9.72687821777877e+001dB,-3.16025838490381e+000°)
2.66035754556079e+004	(9.72716562753797e+001dB,-3.19683786963881e+000°)
2.66649030307564e+004	(9.72745576004741e+001dB,-3.23418571295150e+000°)
2.67263719805664e+004	(9.72774860193979e+001dB,-3.27232470068705e+000°)
2.67879826309401e+004	(9.72804413574082e+001dB,-3.31127846318811e+000°)
2.68497353085311e+004	(9.72834233950476e+001dB,-3.35107151157274e+000°)
2.69116303407458e+004	(9.72864318642009e+001dB,-3.39172927569373e+000°)
2.69736680557457e+004	(9.72894664438296e+001dB,-3.43327814385416e+000°)
2.70358487824484e+004	(9.72925267553550e+001dB,-3.47574550435613e+000°)
2.70981728505300e+004	(9.72956123576624e+001dB,-3.51915978896131e+000°)
2.71606405904266e+004	(9.72987227416922e+001dB,-3.56355051834407e+000°)
2.72232523333358e+004	(9.73018573245849e+001dB,-3.60894834961842e+000°)
2.72860084112189e+004	(9.73050154433399e+001dB,-3.65538512602165e+000°)
2.73489091568023e+004	(9.73081963479470e+001dB,-3.70289392883750e+000°)
2.74119549035796e+004	(9.73113991939471e+001dB,-3.75150913164150e+000°)
2.74751459858130e+004	(9.73146230343691e+001dB,-3.80126645695035e+000°)
2.75384827385353e+004	(9.73178668109925e+001dB,-3.85220303535493e+000°)
2.76019654975518e+004	(9.73211293448755e+001dB,-3.90435746721409e+000°)
2.76655945994416e+004	(9.73244093260839e+001dB,-3.95776988698162e+000°)
2.77293703815600e+004	(9.73277053025529e+001dB,-4.01248203023322e+000°)
2.77932931820397e+004	(9.73310156680035e+001dB,-4.06853730345288e+000°)
2.78573633397932e+004	(9.73343386488315e+001dB,-4.12598085662785e+000°)
2.79215811945140e+004	(9.73376722898791e+001dB,-4.18485965868959e+000°)
2.79859470866787e+004	(9.73410144389880e+001dB,-4.24522257582249e+000°)
2.80504613575490e+004	(9.73443627302284e+001dB,-4.30712045264339e+000°)
2.81151243491731e+004	(9.73477145656847e+001dB,-4.37060619623248e+000°)
2.81799364043877e+004	(9.73510670956698e+001dB,-4.43573486296784e+000°)
2.82448978668199e+004	(9.73544171972281e+001dB,-4.50256374808327e+000°)
2.83100090808888e+004	(9.73577614507738e+001dB,-4.57115247782888e+000°)
2.83752703918078e+004	(9.73610961146987e+001dB,-4.64156310406670e+000°)
2.84406821455857e+004	(9.73644170977668e+001dB,-4.71386020107754e+000°)
2.85062446890291e+004	(9.73677199290984e+001dB,-4.78811096428842e+000°)
2.85719583697442e+004	(9.73709997255291e+001dB,-4.86438531055190e+000°)
2.86378235361383e+004	(9.73742511561066e+001dB,-4.94275597951636e+000°)
